Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Braswell,GeoffreyE.",ANAR135S-AncientMediterraneanCiv(A),S319,24,6,100.0%,100.0%,6.50,A-(3.83),N/A
"Clausing,ElizabethSarahFrances",ANBI135-GeneticAnthroLabTechniques(A),S219,15,5,100.0%,100.0%,3.70,B+(3.60),N/A
"Parish,StevenMartin",ANSC166-FilmandCultureinAsia(A),S219,165,44,100.0%,97.7%,4.50,A-(3.91),A-(3.96)
"Wilder,LinneaLorene",ANTH2-HumanOrigins(A),S219,19,4,100.0%,100.0%,3.00,A(4.00),N/A
"Kennemore,AmyMichelle",ANTH21-RaceandRacisms(A),S219,12,6,100.0%,100.0%,5.83,A-(3.80),N/A
"Russell,WhitneyLauren",ANTH23-DebatingMulticulturalism(A),S219,27,16,100.0%,100.0%,5.00,B+(3.64),A(4.00)
"Liss,BradyJames",ANTH3-GlobalArchaeology(A),S219,16,7,100.0%,100.0%,4.79,A-(3.71),N/A
"Goldstein,PaulS","ANAR117-ArchaeologyField&Lab,SoCal(A)",S119,17,7,100.0%,100.0%,1.36,A(4.00),N/A
"Berman,MichaelDavid",ANSC122-LanguageinSociety(A),S119,29,11,90.9%,100.0%,5.95,B+(3.60),B+(3.53)
"Kozelka,EllenElizabeth",ANSC148-GlobalHealth&CultrlDiversity(A),S119,17,16,100.0%,100.0%,3.63,B+(3.67),N/A
"Howland,MatthewDavid",ANTH101-Foundations/SocialComplexity(A),S119,17,3,100.0%,100.0%,3.83,A(4.00),N/A
"HrvojMihic,Branka",ANTH102-HumansAreCulturalAnimals(A),S119,30,13,100.0%,100.0%,3.12,A-(3.77),B+(3.34)
"Kurian,AmritaAchamma",ANTH21-RaceandRacisms(A),S119,25,19,89.5%,88.9%,5.24,B(3.08),B(3.00)
"Howland,MatthewDavid",ANAR104-IntroGISforAnth&Arch(A),SP19,18,11,81.8%,80.0%,9.05,B(3.00),N/A
"Ben-Yosef,Erez",ANAR114-EnvironmentalHazards-Israel(A),SP19,20,9,55.6%,66.7%,4.72,B(3.00),A-(3.76)
"Shtienberg,Gilad",ANAR115-CoastalGeomorphology/Environ(C),SP19,11,3,100.0%,100.0%,9.50,A(4.00),N/A
"Braswell,GeoffreyE.",ANAR155-StdyAbrd:AncientMesoamerica(A),SP19,20,10,80.0%,80.0%,4.90,A(4.00),A(4.00)
"Non,AmyL",ANBI130-BiologyofInequality(A),SP19,44,24,76.2%,95.2%,3.86,B+(3.32),B-(2.96)
"Lew,CarolineHorton",ANBI136-HumanComparativeNeuroanatomy(A),SP19,27,12,100.0%,100.0%,4.83,A(4.00),A-(3.87)
"Gagneux,Pascal",ANBI139-EvolutionofHumanDisease(A),SP19,70,36,100.0%,100.0%,4.33,A-(3.71),B+(3.32)
"Non,AmyL",ANBI149-Social/BehavioralEpigenetics(A),SP19,10,4,100.0%,100.0%,4.50,A(4.00),N/A
"Strum,ShirleyC.",ANBI174-Conservation/Media:FilmLab(A),SP19,12,3,100.0%,100.0%,2.50,A(4.00),N/A
"OlivasHernandez,OlgaLid",ANSC106-GH:IndigMedinLatinAmerica(A),SP19,37,12,90.9%,72.7%,2.32,A-(3.73),B+(3.54)
"Saravia,PaulaF",ANSC106-GH:IndigMedinLatinAmerica(A),SP19,37,12,90.9%,90.9%,2.32,A-(3.73),B+(3.54)
"Fortier,Jana",ANSC114-FoodCulturesofSouthAsia(A),SP19,22,9,100.0%,100.0%,2.79,B+(3.43),B+(3.66)
"Haviland,JohnB.",ANSC122-LanguageinSociety(A),SP19,44,12,63.6%,60.0%,6.83,B-(2.91),B(3.09)
"Csordas,ThomasJ.",ANSC139-NativeAmericanHealth(A),SP19,28,14,84.6%,61.5%,3.42,B+(3.33),B+(3.32)
"Postero,NancyGrey",ANSC140-HumanRightsII:ContempIssue(A),SP19,33,11,90.9%,100.0%,5.77,B+(3.55),B+(3.52)
"Kaiser,BronwynNicole",ANSC148-GlobalHealth&CultrlDiversity(A),SP19,44,38,92.1%,100.0%,3.71,B+(3.56),B+(3.53)
"Varma,Saiba","ANSC149-Conflict,Health,&Inequality(A)",SP19,30,23,91.3%,100.0%,4.76,B+(3.50),A-(3.80)
"Jenkins,JanisA.",ANSC150-CultureandMentalHealth(A),SP19,5,3,100.0%,100.0%,9.83,B+(3.50),N/A
"Garth,HannaFitzmaurice","ANSC184-Food,Culture,andSociety(A)",SP19,29,12,90.0%,100.0%,4.70,B+(3.50),B+(3.39)
"Hankins,JosephD.",ANSC186-GenderandIncarceration(A),SP19,28,5,100.0%,100.0%,3.70,B(3.20),B+(3.37)
"Goodman,YehudaChaim",ANSC187-MentalHealth/Israel&Diaspora(A),SP19,6,4,75.0%,75.0%,2.50,B(3.00),N/A
"Jassal,Aftab",ANSC188-CulturesofHealing(A),SP19,14,13,100.0%,100.0%,5.12,A-(3.92),N/A
"Jassal,Aftab",ANSC190-YogaPractices(A),SP19,29,19,94.4%,100.0%,2.83,A-(3.88),B+(3.61)
"Brenner,SuzanneA",ANTH103-SocioculturalAnthropology(A),SP19,142,52,86.3%,80.4%,4.07,B+(3.57),B+(3.36)
"Semendeferi,Ekaterini",ANTH192-SeniorSeminarinAnthropology(A),SP19,11,8,100.0%,100.0%,1.00,A(4.00),N/A
"Semendeferi,Ekaterini",ANTH196C-HonorsStudiesinAnthropology(A),SP19,4,3,100.0%,100.0%,3.83,A(4.00),N/A
"HrvojMihic,Branka",ANTH2-HumanOrigins(A),SP19,178,87,78.0%,90.0%,3.65,B(3.02),B(3.04)
"Balaswaminathan,Sowparnika",ANTH21-RaceandRacisms(A),SP19,164,60,84.9%,94.2%,2.80,B+(3.65),B+(3.43)
"Stewart,AlexanderB",ANTH23-DebatingMulticulturalism(A),SP19,162,118,87.2%,94.9%,3.01,B+(3.43),B(3.18)
"Kang,ByungChu",ANTH44-NewMediaintheKoreanWave(A),SP19,71,43,97.6%,97.6%,1.62,A-(3.87),A-(3.74)
"Semendeferi,Ekaterini",ANTH87-FreshmanSeminar(A),SP19,13,9,100.0%,100.0%,0.50,N/A,N/A
"Shtienberg,Gilad",ANAR116-SeaLevelChange-Israel(A),WI19,13,4,100.0%,100.0%,2.00,A-(3.75),N/A
"Fortier,Jana",ANAR124-TheArchaeologyofAsia(A),WI19,19,11,90.9%,90.9%,4.50,A-(3.80),N/A
"Braswell,GeoffreyE.",ANAR153-TheMysteriousMaya(A),WI19,40,22,71.4%,70.0%,4.12,B(3.22),C+(2.69)
"Rivera-Collazo,IsabelC",ANAR164-MaritimeArchaeology(A),WI19,29,13,92.3%,84.6%,4.96,B+(3.62),B+(3.46)
"Rivera-Collazo,IsabelC",ANAR167-Geoarchaeology(A),WI19,6,4,100.0%,100.0%,8.50,A(4.00),N/A
"Semendeferi,Ekaterini",ANBI112-Methods/HumanCompNeuroscience(A),WI19,3,3,100.0%,100.0%,4.50,B+(3.67),N/A
"Gagneux,Pascal",ANBI116-HmnSexualityinEvolutnPers(A),WI19,54,28,88.5%,88.5%,4.06,B(3.15),B(3.06)
"HrvojMihic,Branka",ANBI140-EvolutionofHumanBrain(A),WI19,35,11,90.9%,90.9%,7.41,B(3.20),B(3.16)
"Jassal,Aftab",ANSC120-AnthropologyofReligion(A),WI19,26,24,87.0%,86.4%,3.75,A-(3.75),B+(3.66)
"Brenner,SuzanneA","ANSC125-Gender,Sexuality,&Society(A)",WI19,68,32,93.3%,93.3%,4.50,B+(3.60),B+(3.61)
"Csordas,ThomasJ.",ANSC129-MeaningandHealing(A),WI19,8,3,100.0%,100.0%,5.83,B+(3.67),N/A
