Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Abbasi,Shaghayegh",BENG100-StatReasoningBioengApplns(A),S119,30,9,66.7%,100.0%,7.39,B(3.11),B-(2.70)
"Alexandrov,LudmilB",BENG100-StatReasoningBioengApplns(A),SP19,174,80,60.0%,80.0%,7.38,B(3.14),B-(2.87)
"Huang,Xiaohua",BENG102-MoleculrComponentsLivingSys(A),SP19,41,22,70.0%,55.0%,6.90,B+(3.50),B+(3.41)
"Fraley,StephanieI.",BENG103B-BioengineeringMassTransfer(A),SP19,119,106,86.8%,89.6%,8.82,B(3.28),B-(2.97)
"Engler,AdamJ.",BENG112B-FluidandCellBiomechanics(A),SP19,64,58,94.6%,100.0%,7.18,B+(3.30),B(3.24)
"Contijoch,Francisco",BENG125-Modeling&Computatio/Bioengr(A),SP19,136,36,100.0%,96.8%,6.50,B+(3.42),B+(3.48)
"Wheeler,BruceChristopher",BENG125-Modeling&Computatio/Bioengr(A),SP19,136,36,100.0%,96.8%,6.50,B+(3.42),B+(3.48)
"Mali,PrashantGulabRam",BENG133-NumericalAnalys-ComputatnEng(A),SP19,43,33,78.1%,93.8%,7.69,B(3.21),B(3.27)
"Broccard,FredericDenis",BENG140B-BioengineeringPhysiology(A),SP19,33,8,100.0%,87.5%,7.00,B+(3.50),B-(2.79)
"Alvarez-Cabanillas,Miguel",BENG140B-BioengineeringPhysiology(B),SP19,49,28,46.2%,15.4%,6.50,B+(3.44),B+(3.48)
"Zhang,Kun",BENG160-Chem&MolecularBENGTechniqs(A),SP19,56,32,78.1%,84.4%,7.85,A-(3.74),B+(3.38)
"Cabrales,Pedro",BENG172-BioengineeringLaboratory(A),SP19,51,17,92.9%,100.0%,10.13,B+(3.67),B+(3.41)
"Omens,JeffreyHoward",BENG172-BioengineeringLaboratory(A),SP19,51,17,92.9%,100.0%,10.13,B+(3.67),B+(3.41)
"Bafna,Vineet",BENG182-BiologicalDatabases(A),SP19,26,7,71.4%,85.7%,7.36,B(3.14),B(3.24)
"Kwon,EsterJihae",BENG186A-Principles/BiomaterialsDesign(A),SP19,101,71,82.6%,92.8%,6.38,B+(3.49),B(3.26)
"Wheeler,BruceChristopher",BENG187A-BENGDesignProject:Planning(A),SP19,153,47,83.3%,95.2%,1.09,A(4.00),N/A
"Wheeler,BruceChristopher",BENG187D-BENGDesignProj:Presentation(A),SP19,53,12,100.0%,100.0%,4.68,A-(3.91),B+(3.61)
"Wheeler,BruceChristopher",BENG187D-BENGDesignProj:Presentation(B),SP19,55,9,88.9%,100.0%,3.39,A(4.00),B+(3.61)
"Contijoch,Francisco",BENG189-PhysiologicalSystemsEng(A),SP19,17,17,94.1%,100.0%,6.97,B(3.24),N/A
"Engler,AdamJ.",BENG193-ClinicalBioengineering(A),SP19,19,9,100.0%,100.0%,6.50,A(4.00),N/A
"Sah,RobertLie-Yuan",BENG87-FreshmanSeminar(A),SP19,11,3,100.0%,100.0%,0.50,N/A,N/A
"Omens,JeffreyHoward",BENG87-FreshmanSeminar(C),SP19,19,10,100.0%,100.0%,0.70,N/A,N/A
"Chien,Shu",BENG1-IntroductiontoBioengineering(A),WI19,170,104,79.6%,93.7%,2.79,B+(3.67),N/A
"McCulloch,AndrewDouglas",BENG112A-TissueBiomechanics(A),WI19,70,15,85.7%,78.6%,7.07,B+(3.50),B(3.15)
"Subramaniam,Shankar",BENG120-OrgChem-Structural&Design(A),WI19,53,25,50.0%,65.2%,8.25,B+(3.33),B+(3.38)
"Wang,Yingxiao",BENG120-OrgChem-Structural&Design(A),WI19,52,25,50.0%,54.2%,8.25,B+(3.33),B+(3.38)
"Palsson,BernhardO.",BENG123-DynamicSimulatninBioeng(A),WI19,61,18,76.5%,58.8%,11.72,B+(3.56),B(3.01)
"Wheeler,BruceChristopher",BENG126B-DesignImplmntInformatcsBENG(A),WI19,20,3,66.7%,100.0%,5.17,A(4.00),B+(3.65)
"Subramaniam,Shankar",BENG130-BiotechThermodynamics&Kinet(A),WI19,184,55,55.8%,69.2%,6.50,B(3.25),B+(3.58)
"Cabrales,Pedro",BENG140A-BioengineeringPhysiology(A),WI19,88,51,92.2%,96.1%,6.03,B+(3.40),B(3.24)
"Wheeler,BruceChristopher",BENG148B-DesignImplmntatnCardiacBENG(A),WI19,8,3,100.0%,100.0%,11.50,B+(3.50),N/A
"Wheeler,BruceChristopher",BENG152-BioSystemsEngineeringLab(A),WI19,32,11,100.0%,100.0%,6.10,A(4.00),A-(3.77)
"Huang,Xiaohua",BENG161B-BiochemicalEngineering(A),WI19,40,24,100.0%,87.5%,7.20,A-(3.88),B+(3.68)
"Lewis,NathanE",BENG161B-BiochemicalEngineering(B),WI19,24,3,33.3%,66.7%,5.17,B+(3.67),B(3.16)
"Wang,Yingxiao",BENG168-BiomolecularEngineering(A),WI19,75,20,95.0%,100.0%,6.61,B+(3.63),A-(3.74)
"Wheeler,BruceChristopher",BENG179B-DesignImplmntBioinstrumntatn(A),WI19,59,3,50.0%,100.0%,9.50,B+(3.50),A-(3.87)
"Pevzner,PavelArkadjevich",BENG181-MolecularSequenceAnalysis(A),WI19,26,8,100.0%,85.7%,19.07,A-(3.86),B(3.21)
"Cauwenberghs,Gert",BENG186B-Princpls/BioinstrumentatnDesn(A),WI19,69,16,93.8%,80.0%,9.00,B+(3.38),B+(3.33)
"Wheeler,BruceChristopher",BENG187C-BENGDesignProj:Implemntation(A),WI19,130,13,92.3%,100.0%,5.12,A-(3.92),N/A
"McCulloch,AndrewDouglas",BENG110-FoundationofBiomechanics(A),FA18,63,33,96.8%,93.5%,5.79,B+(3.58),B(3.25)
"Valdez-Jasso,Daniela",BENG110-FoundationofBiomechanics(B),FA18,47,15,76.9%,69.2%,8.04,B+(3.62),B(3.13)
"Metallo,ChristianMichael",BENG122A-BiosystemsandControl(A),FA18,59,18,94.1%,88.2%,6.38,A-(3.71),B+(3.47)
"Wheeler,BruceChristopher",BENG126A-DesignDevBioinformaticsBENG(A),FA18,19,4,100.0%,100.0%,8.50,B+(3.67),N/A
"Coleman,ToddPrentice",BENG134-Measurements/Stats/Probability(A),FA18,32,18,87.5%,93.8%,17.25,B(3.19),B+(3.63)
"Wheeler,BruceChristopher",BENG135-BiomedicalSignals&Systems(A),FA18,19,3,66.7%,100.0%,6.50,B+(3.67),N/A
