Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Smith,AshleyElizabeth",CAT125R-PblcRhetoricPrctCommOnline(A),S219,113,97,90.7%,95.9%,4.25,A-(3.78),B+(3.65)
"Gumm,ElizabethAshley",CAT125R-PblcRhetoricPrctCommOnline(A),S119,129,29,96.3%,100.0%,5.76,A-(3.82),A-(3.70)
"Pantoja,JenniferMetten",CAT125-PublicRhetoric&PractCommun(A),SP19,192,146,80.1%,95.0%,3.60,B+(3.59),B+(3.41)
"Zhang,KefeiKevin",CAT125R-PblcRhetoricPrctCommOnline(A),SP19,197,83,87.2%,93.5%,4.12,A-(3.78),B+(3.67)
"Smith,AshleyElizabeth","CAT3-Culture,Art&TechnologyIII(A)",SP19,296,262,76.7%,75.9%,3.09,B+(3.59),A-(3.78)
"Bigham,DavidJoseph","CAT3-Culture,Art&TechnologyIII(B)",SP19,258,140,78.6%,96.9%,3.57,B+(3.58),B+(3.40)
"Gumm,ElizabethAshley","CAT3-Culture,Art&TechnologyIII(C)",SP19,235,132,59.4%,83.6%,4.00,B+(3.49),B+(3.48)
"Bronstein,PhoebeMalan","CAT3-Culture,Art&TechnologyIII(D)",SP19,253,239,79.8%,88.2%,4.77,B+(3.62),B+(3.48)
"Bronstein,PhoebeMalan",CAT87-FreshmanSeminar(A),SP19,12,9,100.0%,100.0%,2.25,N/A,N/A
"Moran,RyanJames",CAT124-SixthCollegePracticum(A),WI19,7,3,100.0%,100.0%,5.83,A(4.00),N/A
"Ano,MichaelShigeya",CAT125-PublicRhetoric&PractCommun(A),WI19,175,112,82.4%,86.8%,3.83,B+(3.66),B+(3.59)
"Zhang,KefeiKevin",CAT125R-PblcRhetoricPrctCommOnline(A),WI19,182,96,87.4%,94.1%,3.76,A-(3.79),A-(3.73)
"Nguyen,HoangTan","CAT2-Culture,Art&Technology2(A)",WI19,199,130,81.8%,86.2%,3.69,B+(3.47),B+(3.49)
"Thorpe,CharlesRobert","CAT2-Culture,Art&Technology2(B)",WI19,157,116,45.7%,47.8%,4.64,B+(3.31),B(3.23)
"Gumm,ElizabethAshley","CAT2-Culture,Art&Technology2(C)",WI19,195,134,70.8%,76.6%,4.36,B(3.20),B(3.03)
"Bronstein,PhoebeMalan","CAT2-Culture,Art&Technology2(D)",WI19,292,277,89.5%,94.2%,4.67,B+(3.52),B+(3.47)
"Bigham,DavidJoseph","CAT2-Culture,Art&Technology2(E)",WI19,195,124,85.0%,96.7%,4.12,B+(3.50),B+(3.49)
"Bronstein,PhoebeMalan",CAT87-FreshmanSeminar(A),WI19,16,8,100.0%,100.0%,2.00,B(3.00),N/A
"Bigham,DavidJoseph","CAT1-Culture,Art&Technology1(A)",FA18,194,134,86.2%,95.8%,3.82,B+(3.54),B+(3.39)
"Bronstein,PhoebeMalan","CAT1-Culture,Art&Technology1(B)",FA18,194,187,89.7%,94.6%,4.62,B+(3.42),B+(3.39)
"Glaser,Amelia","CAT1-Culture,Art&Technology1(C)",FA18,163,147,55.8%,79.6%,4.31,B+(3.40),B+(3.55)
"Borgo,DavidGarcia","CAT1-Culture,Art&Technology1(D)",FA18,170,163,75.8%,88.2%,3.56,B+(3.49),B+(3.56)
"Ano,MichaelShigeya","CAT1-Culture,Art&Technology1(E)",FA18,152,117,64.5%,74.1%,3.71,B(3.18),B+(3.31)
"Pantoja,JenniferMetten","CAT1-Culture,Art&Technology1(F)",FA18,183,182,80.7%,97.8%,4.18,B+(3.57),B+(3.54)
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(A),FA18,90,34,93.3%,96.6%,4.00,B+(3.67),B+(3.34)
"Smith,AshleyElizabeth",CAT125-PublicRhetoric&PractCommun(B),FA18,148,137,92.5%,96.3%,5.62,B+(3.67),A-(3.72)
"Zhang,KefeiKevin",CAT125R-PblcRhetoricPrctCommOnline(A),FA18,189,123,91.3%,94.8%,3.51,B+(3.68),B+(3.63)
"Smith,AshleyElizabeth",CAT125R-PblcRhetoricPrctCommOnline(A),S118,169,128,90.5%,96.0%,5.60,A-(3.79),A-(3.84)
"Pantoja,JenniferMetten",CAT125-PublicRhetoric&PractCommun(A),SP18,190,174,83.2%,91.9%,3.19,A-(3.75),B+(3.69)
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(B),SP18,91,40,66.7%,93.9%,4.62,B+(3.46),B+(3.32)
"Sartor,Alexandra",CAT125R-PblcRhetoricPrctCommOnline(A),SP18,190,120,87.3%,96.6%,3.96,A-(3.76),A-(3.71)
"Bronstein,PhoebeMalan","CAT3-Culture,Art&TechnologyIII(A)",SP18,269,254,86.2%,92.0%,4.13,B+(3.64),B+(3.61)
"Glaser,Amelia","CAT3-Culture,Art&TechnologyIII(B)",SP18,247,135,74.6%,89.6%,3.79,B+(3.66),B+(3.56)
"Bigham,DavidJoseph","CAT3-Culture,Art&TechnologyIII(C)",SP18,195,107,69.5%,91.4%,3.40,B+(3.41),B+(3.36)
"Smith,AshleyElizabeth","CAT3-Culture,Art&TechnologyIII(D)",SP18,198,174,75.3%,76.3%,3.08,B+(3.56),B+(3.60)
"Godino,JobGideon",CAT124-SixthCollegePracticum(A),WI18,8,4,100.0%,100.0%,3.00,A(4.00),N/A
"Smith,AshleyElizabeth",CAT125-PublicRhetoric&PractCommun(A),WI18,181,148,87.8%,91.8%,5.10,B+(3.66),B+(3.65)
"Sartor,Alexandra",CAT125R-PblcRhetoricPrctCommOnline(A),WI18,190,140,74.5%,94.2%,3.57,B+(3.68),B+(3.65)
"Trigilio,Michael","CAT2-Culture,Art&TechnologyII(A)",WI18,182,171,64.3%,73.7%,4.23,B+(3.38),B+(3.34)
"Glaser,Amelia","CAT2-Culture,Art&TechnologyII(B)",WI18,185,105,70.4%,86.6%,4.46,B+(3.49),B+(3.47)
