Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Talbot,JanB",CENG101B-HeatTransfer(A),WI13,130,57,94.5%,76.4%,7.31,B+(3.40),B-(2.88)
"Opatkiewicz,JustinPaul",CENG102-ChemicalEnginThermodynamics(A),WI13,155,152,95.4%,98.7%,8.57,B+(3.37),B+(3.39)
"Herz,RichardK",CENG124A-ChemPlant&ProcessDesignI(A),WI13,81,25,83.3%,62.5%,9.37,B+(3.57),B+(3.43)
"Opatkiewicz,JustinPaul",CENG176A-ChemEngineerngProcessLabI(A),WI13,79,24,95.8%,87.5%,10.07,B+(3.65),B+(3.55)
"Talbot,JanB",CENG176A-ChemEngineerngProcessLabI(A),WI13,79,23,91.3%,60.9%,9.80,B+(3.50),B+(3.55)
"Zhang,Liangfang",CENG176A-ChemEngineerngProcessLabI(A),WI13,79,23,91.3%,95.7%,9.86,B+(3.62),B+(3.55)
"Talbot,JanB",CENG1-ScopeofChemicalEngineering(A),FA12,244,111,92.6%,94.7%,1.00,A-(3.91),N/A
"Opatkiewicz,JustinPaul",CENG100-ProcessModl&Computn/ChemEngn(A),FA12,224,192,89.5%,97.4%,8.50,B(3.15),B(3.04)
"Williams,EboneeP.",CENG100-ProcessModl&Computn/ChemEngn(A),FA12,224,191,88.4%,32.8%,8.37,B(3.14),B(3.04)
"Miller,DavidR.",CENG101A-IntroductoryFluidMechanics(A),FA12,225,87,70.5%,73.1%,12.50,B(3.23),B-(2.89)
"Opatkiewicz,JustinPaul",CENG101A-IntroductoryFluidMechanics(A),FA12,225,87,71.1%,95.2%,12.45,B(3.23),B-(2.89)
"Herz,RichardK",CENG120-ChemicalProcessDynmics&Cntrl(A),FA12,78,29,78.3%,43.5%,7.37,B-(2.91),B(3.07)
"Zhang,Liangfang",CENG122-SeparationProcesses(A),FA12,83,28,96.3%,96.3%,5.50,B+(3.50),B(3.20)
"Arya,Gaurav",CENG101C-MassTransfer(A),SP12,85,28,100.0%,92.9%,6.71,B+(3.68),B+(3.33)
"Herz,RichardK",CENG113-ChemicalReactionEngineering(A),SP12,111,40,82.1%,57.9%,8.14,B+(3.39),B(3.14)
"Chau,PaoC.",CENG124B-ChemPlant&ProcessDesignII(A),SP12,64,12,66.7%,58.3%,10.00,B+(3.67),B+(3.42)
"Chau,PaoC.",CENG176B-ChemEngineerngProcessLabII(A),SP12,63,11,77.8%,60.0%,9.30,B+(3.36),B+(3.44)
"Talbot,JanB",CENG176B-ChemEngineerngProcessLabII(A),SP12,63,11,80.0%,81.8%,9.05,B+(3.36),B+(3.44)
"Zhang,Liangfang",CENG176B-ChemEngineerngProcessLabII(A),SP12,63,11,80.0%,100.0%,9.23,B+(3.36),B+(3.44)
"Talbot,JanB",CENG101B-HeatTransfer(A),WI12,90,45,91.1%,64.4%,7.48,B+(3.60),B-(2.87)
"Cha,JenniferN",CENG102-ChemicalEnginThermodynamics(A),WI12,117,54,96.3%,94.3%,8.65,B+(3.45),B-(2.90)
"Chau,PaoC.",CENG124A-ChemPlant&ProcessDesignI(A),WI12,66,22,61.9%,19.0%,14.20,B+(3.38),B(3.24)
"Chau,PaoC.",CENG176A-ChemEngineerngProcessLabI(A),WI12,64,16,62.5%,31.3%,11.63,B+(3.31),B+(3.50)
"Talbot,JanB",CENG176A-ChemEngineerngProcessLabI(A),WI12,64,10,66.7%,66.7%,10.30,B+(3.31),B+(3.50)
"Zhang,Liangfang",CENG176A-ChemEngineerngProcessLabI(A),WI12,64,12,75.0%,91.7%,9.50,B+(3.31),B+(3.50)
"Talbot,JanB",CENG1-ScopeofChemicalEngineering(A),FA11,162,86,91.7%,94.0%,0.57,A(4.00),N/A
"Herz,RichardK",CENG100-ProcessModl&Computn/ChemEngn(A),FA11,116,58,86.0%,54.4%,6.75,B+(3.36),B-(2.88)
"Williams,EboneeP.",CENG100-ProcessModl&Computn/ChemEngn(B),FA11,49,30,79.3%,51.7%,6.71,B(3.25),B-(2.93)
"Miller,DavidR.",CENG101A-IntroductoryFluidMechanics(A),FA11,197,92,80.2%,78.0%,11.51,B(3.19),B-(2.91)
"Herz,RichardK",CENG120-ChemicalProcessDynmics&Cntrl(A),FA11,107,35,74.3%,34.3%,7.99,B(3.00),B-(2.95)
"Zhang,Liangfang",CENG122-SeparationProcesses(A),FA11,62,19,94.7%,100.0%,6.61,B+(3.67),B(3.29)
"Arya,Gaurav",CENG101C-MassTransfer(A),SP11,72,31,96.6%,86.2%,6.43,B+(3.43),B(3.20)
"Herz,RichardK",CENG113-ChemicalReactionEngineering(A),SP11,78,27,84.6%,61.5%,8.04,B(3.16),B-(3.00)
"Chau,PaoC.",CENG124B-ChemPlant&ProcessDesignII(A),SP11,60,17,64.7%,23.5%,14.13,A-(3.73),B+(3.58)
"Chau,PaoC.",CENG176B-ChemEngineerngProcessLabII(A),SP11,60,15,66.7%,33.3%,8.50,A-(3.83),B+(3.54)
"Talbot,JanB",CENG1-ScopeofChemicalEngineering(A),WI11,102,49,91.8%,95.9%,0.79,A(4.00),N/A
"Herz,RichardK",CENG101B-HeatTransfer(A),WI11,75,30,73.3%,55.2%,8.23,B+(3.30),B(3.04)
"Cha,JenniferN",CENG102-ChemicalEnginThermodynamics(B),WI11,79,30,92.6%,89.3%,7.95,B(3.24),B-(2.97)
"Chau,PaoC.",CENG124A-ChemPlant&ProcessDesignI(A),WI11,62,29,46.4%,7.1%,17.33,B+(3.38),B(3.25)
"Chau,PaoC.",CENG176A-ChemEngineerngProcessLabI(A),WI11,60,24,68.2%,18.2%,13.41,B+(3.52),B+(3.54)
"Talbot,JanB",CENG176A-ChemEngineerngProcessLabI(A),WI11,60,20,77.8%,61.1%,13.06,B+(3.52),B+(3.54)
"Zhang,Liangfang",CENG176A-ChemEngineerngProcessLabI(A),WI11,60,21,73.7%,100.0%,12.71,B+(3.52),B+(3.54)
"Herz,RichardK",CENG100-ProcessModl&Computn/ChemEngn(A),FA10,84,49,81.6%,47.9%,6.26,B(3.12),B-(2.97)
"Miller,DavidR.",CENG101A-IntroductoryFluidMechanics(A),FA10,140,71,81.4%,87.1%,11.04,B(3.13),B-(2.89)
"Herz,RichardK",CENG120-ChemicalProcessDynmics&Cntrl(A),FA10,69,35,57.1%,34.3%,7.93,B(3.06),B-(2.90)
"Zhang,Liangfang",CENG122-SeparationProcesses(B),FA10,66,36,91.7%,97.2%,7.00,B+(3.45),B(3.20)
"Herz,RichardK",CENG100-ProcessModl&Computn/ChemEngn(A),SU10,19,6,100.0%,66.7%,7.83,B+(3.40),N/A
"Arya,Gaurav",CENG101C-MassTransfer(A),SP10,72,32,93.8%,84.4%,6.75,B+(3.55),B(3.09)
"Herz,RichardK",CENG113-ChemicalReactionEngineering(A),SP10,116,48,89.6%,66.7%,9.54,B(3.26),B-(2.95)
"Chau,PaoC.",CENG124B-ChemPlant&ProcessDesignII(A),SP10,63,16,86.7%,81.3%,16.50,B(3.29),B+(3.61)
