Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Nguyen,HoangTan",CGS119-AsianAmericanFilmandMedia(A),S219,14,4,100.0%,100.0%,5.17,A(4.00),N/A
"Martinez,America",CGS105-QueerTheory(A),S119,7,4,100.0%,100.0%,6.00,B(3.00),N/A
"Werner,BradleyT.",CGS105-QueerTheory(A),S119,7,4,100.0%,100.0%,6.00,B(3.00),N/A
"Shaikh,Hina",CGS112-Sexuality&Nation(A),S119,13,10,100.0%,100.0%,7.30,B+(3.60),N/A
"Hankins,JosephD.",CGS100B-ConceptualizingGndr:Methods(A),SP19,25,8,85.7%,100.0%,4.50,A(4.00),B+(3.57)
"Kheshti,Roshanak",CGS112-Sexuality&Nation(A),SP19,24,10,100.0%,100.0%,3.90,B(3.25),A-(3.73)
"Icreverzi,KimberlyHeathe",CGS113-Gender&SexualityintheArts(A),SP19,19,9,100.0%,100.0%,4.94,A-(3.75),N/A
"Taylor-Garcia,Daphne","CGS114-Gender,Race,Ethnicity&Class(A)",SP19,19,5,80.0%,100.0%,4.90,B(3.00),N/A
"Hankins,JosephD.",CGS118-GenderandIncarceration(A),SP19,14,6,100.0%,100.0%,3.83,B+(3.50),N/A
"Whitley,LeilaMarie",CGS122-Adv.Top/Compar.Perspectives(A),SP19,10,8,100.0%,100.0%,5.75,B+(3.63),N/A
"Whitley,LeilaMarie",CGS2B-Intro/CGS:SocialFormations(A),SP19,40,31,100.0%,100.0%,3.79,A-(3.74),B+(3.67)
"Hankins,JosephD.",CGS87-FreshmanSeminar(A),SP19,16,9,100.0%,100.0%,1.07,A(4.00),N/A
"Whitley,LeilaMarie","CGS101-Gender,Modernity&Globalization(A)",WI19,44,18,76.5%,76.5%,4.74,A-(3.77),B+(3.57)
"Wesling,MeganE.",CGS105-QueerTheory(A),WI19,49,28,89.3%,85.7%,6.14,B(3.08),B(3.09)
"Whitley,LeilaMarie",CGS106-Gender&theLaw(A),WI19,33,14,92.9%,92.9%,4.93,A-(3.79),B+(3.42)
"elTayeb,Fatima","CGS108-Gender,Race,&ArtificialInt(A)",WI19,11,9,88.9%,88.9%,3.61,B+(3.40),N/A
"Icreverzi,KimberlyHeathe",CGS122-Adv.Top/Compar.Perspectives(A),WI19,5,3,100.0%,100.0%,3.17,A(4.00),N/A
"Perez,CrystalRoxanaRamirez",CGS137-LatinaIssues&CulturalProd.(A),WI19,11,4,100.0%,100.0%,5.00,A-(3.75),N/A
"Taylor-Garcia,Daphne","CGS150-Visuality,Sexuality,andRace(A)",WI19,12,5,80.0%,80.0%,5.30,A-(3.75),N/A
"Hankins,JosephD.",CGS87-FreshmanSeminar(A),WI19,16,10,100.0%,100.0%,1.39,N/A,N/A
"Whitley,LeilaMarie",CGS100A-ConceptualizingGndr:Theories(A),FA18,24,11,90.0%,100.0%,4.14,B+(3.55),B+(3.56)
"Whitley,LeilaMarie",CGS111-GenderandtheBody(A),FA18,31,13,83.3%,81.8%,5.67,A-(3.75),B+(3.30)
"Icreverzi,KimberlyHeathe",CGS122-Adv.Top/Compar.Perspectives(A),FA18,10,4,75.0%,75.0%,4.00,B+(3.33),N/A
"Kaplan,SaraClarke",CGS190-HonorsSeminar(A),FA18,4,3,100.0%,100.0%,16.50,B+(3.67),N/A
"Icreverzi,KimberlyHeathe","CGS2A-Intro/CGS:KeyTerms,Concepts(A)",FA18,100,46,75.0%,83.7%,5.32,B+(3.31),B(3.20)
"Wesling,MeganE.",CGS87-FreshmanSeminar(B),FA18,11,8,100.0%,100.0%,0.50,N/A,N/A
"Nguyen,HoangTan",CGS87-FreshmanSeminar(C),FA18,11,7,100.0%,100.0%,1.64,A(4.00),N/A
"Abusneineh,BayanAbdelmajid",CGS123-Gender&ReproductivePolitics(A),S218,9,9,100.0%,100.0%,6.06,A-(3.88),N/A
"MartinSandino,AmandaMariaYoland","CGS2A-Intro/CGS:KeyTerms,Concepts(A)",S218,30,10,90.0%,100.0%,2.30,A-(3.88),A-(3.79)
"Kheshti,Roshanak",CGS105-QueerTheory(A),S118,14,4,100.0%,75.0%,9.00,A-(3.75),N/A
"Celleri,Maria",CGS112-Sexuality&Nation(A),S118,12,3,100.0%,100.0%,5.17,A(4.00),N/A
"Nguyen,LyThuy","CGS114-Gender,Race,Ethnicity&Class(A)",S118,3,3,100.0%,100.0%,4.50,B+(3.33),N/A
"Gore,DayoF.",CGS100B-ConceptualizingGndr:Methods(A),SP18,14,4,66.7%,66.7%,5.00,B+(3.50),N/A
"Zarate,SalvadorElias",CGS106-Gender&theLaw(A),SP18,33,26,100.0%,100.0%,5.04,A-(3.80),A-(3.88)
"Dorr,KirstieA.",CGS112-Sexuality&Nation(A),SP18,24,10,100.0%,100.0%,3.17,A-(3.88),A-(3.87)
"Taylor-Garcia,Daphne","CGS114-Gender,Race,Ethnicity&Class(A)",SP18,18,11,100.0%,100.0%,5.90,A-(3.90),N/A
"Hankins,JosephD.",CGS118-GenderandIncarceration(A),SP18,12,4,100.0%,100.0%,5.50,A-(3.75),N/A
"Zarate,SalvadorElias",CGS187-LatinxSexualities(A),SP18,17,7,100.0%,100.0%,4.50,A-(3.86),N/A
"Hernandez,Jillian",CGS2B-Intro/CGS:SocialFormations(A),SP18,45,23,100.0%,100.0%,3.64,A-(3.80),B+(3.59)
"Hankins,JosephD.",CGS87-FreshmanSeminar(B),SP18,14,5,100.0%,100.0%,0.90,N/A,N/A
"Zarate,SalvadorElias","CGS101-Gender,Modernity&Globalization(A)",WI18,40,24,95.7%,95.7%,5.58,A-(3.71),A-(3.78)
"Wesling,MeganE.",CGS105-QueerTheory(A),WI18,36,19,100.0%,100.0%,5.45,B+(3.53),B+(3.54)
"Zarate,SalvadorElias",CGS123-Gender&ReproductivePolitics(A),WI18,17,11,100.0%,100.0%,5.30,A(4.00),N/A
"Hernandez,Jillian",CGS137-LatinaIssues&CulturalProd.(A),WI18,12,7,100.0%,100.0%,5.07,A(4.00),N/A
"Taylor-Garcia,Daphne","CGS150-Visuality,Sexuality,andRace(A)",WI18,14,8,100.0%,100.0%,4.75,A-(3.75),N/A
"Hankins,JosephD.",CGS87-FreshmanSeminar(A),WI18,17,12,90.9%,100.0%,1.77,A(4.00),N/A
"Zarate,SalvadorElias",CGS100A-ConceptualizingGndr:Theories(A),FA17,19,10,100.0%,100.0%,4.50,B(3.11),N/A
"Kaplan,SaraClarke",CGS190-HonorsSeminar(A),FA17,6,3,50.0%,100.0%,8.50,A(4.00),N/A
"Zarate,SalvadorElias","CGS2A-Intro/CGS:KeyTerms,Concepts(A)",FA17,103,77,96.1%,97.2%,4.92,B+(3.41),B+(3.46)
"Serlin,David",CGS87-FreshmanSeminar(A),FA17,16,8,100.0%,100.0%,2.25,A(4.00),N/A
"MartinSandino,AmandaMariaYoland",CGS2A-Intro/CGS:SocialMovements(A),S217,25,12,83.3%,90.0%,4.67,B+(3.67),A-(3.75)
"Hartblay,CassandraS",CGS102-TopicsinCriticalGenderStds(A),S117,11,10,88.9%,100.0%,7.17,B+(3.38),N/A
"Dorr,KirstieA.",CGS112-Sexuality&Nation(A),S117,18,4,100.0%,100.0%,4.00,A-(3.75),N/A
"Nguyen,LyThuy","CGS114-Gender,Race,Ethnicity&Class(A)",S117,10,3,100.0%,100.0%,8.50,B(3.00),N/A
"Eileraas,KarinaAstrid",CGS111-GenderandtheBody(A),SP17,29,14,100.0%,92.3%,5.27,B+(3.42),B+(3.40)
"Taylor-Garcia,Daphne","CGS114-Gender,Race,Ethnicity&Class(A)",SP17,15,6,80.0%,100.0%,3.30,A-(3.80),N/A
"Shelby,KarenLee",CGS2B-Intro/CGS:Gender&Institutions(A),SP17,38,22,94.7%,100.0%,5.28,B+(3.47),A-(3.71)
"Eileraas,KarinaAstrid","CGS101-Gender,Modernity&Globalization(A)",WI17,38,18,77.8%,61.1%,3.91,B+(3.35),B+(3.69)
"Eileraas,KarinaAstrid",CGS103-FeministTheory(A),WI17,18,8,85.7%,100.0%,4.21,A-(3.71),N/A
"Taylor-Garcia,Daphne","CGS150-Visuality,Sexuality,andRace(A)",WI17,9,3,33.3%,66.7%,2.50,B+(3.67),N/A
"Kini,AshvinRathnanand",CGS165-Sex&Gendr/AfrAmerCommunities(A),WI17,7,5,100.0%,100.0%,4.00,A(4.00),N/A
"Serlin,David",CGS87-FreshmanSeminar(A),WI17,11,7,71.4%,71.4%,0.50,N/A,N/A
"Eileraas,KarinaAstrid",CGS100-ConceptlzgGender:Theory&Methd(A),FA16,40,19,88.9%,55.6%,3.61,A-(3.75),B+(3.62)
"Johnson,SaraE.",CGS102-TopicsinCriticalGenderStds(A),FA16,12,9,88.9%,100.0%,6.72,A-(3.75),N/A
"Shelby,KarenLee",CGS102-TopicsinCriticalGenderStds(B),FA16,8,7,100.0%,100.0%,3.64,B+(3.57),N/A
"Hankins,JosephD.",CGS180-Labor'sRelations(A),FA16,12,8,100.0%,100.0%,5.75,B+(3.50),N/A
"Eileraas,KarinaAstrid",CGS2A-Intro/CGS:SocialMovements(A),FA16,91,46,81.0%,81.0%,4.50,B+(3.63),A-(3.72)
"Hankins,JosephD.",CGS87-FreshmanSeminar(A),FA16,17,11,100.0%,100.0%,1.70,A(4.00),N/A
"Kim,Eunsong",CGS113-Gender&SexualityintheArts(A),S216,7,5,100.0%,100.0%,5.50,B+(3.50),N/A
"Singh,Vineeta",CGS2A-Intro/CGS:SocialMovements(A),S216,19,7,100.0%,100.0%,4.83,B(3.17),N/A
"Ting,JuneYuen",CGS104-Adv.Top/Compar.Perspectives(A),S116,9,6,100.0%,100.0%,6.50,A(4.00),N/A
"Kheshti,Roshanak",CGS105-QueerTheory(A),S116,19,7,71.4%,85.7%,5.93,B+(3.33),N/A
"Santizo,GabrielaDomitila",CGS105-QueerTheory(A),SP16,31,6,66.7%,83.3%,6.50,C+(2.67),B+(3.54)
"Shelby,KarenLee",CGS106-GenderEquality&theLaw(A),SP16,33,29,96.4%,96.4%,4.87,B+(3.35),B+(3.41)
"Dorr,KirstieA.",CGS112-Sexuality&Nation(A),SP16,21,12,81.8%,100.0%,4.32,B+(3.67),B+(3.45)
"Santizo,GabrielaDomitila",CGS113-Gender&SexualityintheArts(A),SP16,12,8,87.5%,87.5%,4.50,A-(3.75),N/A
"Kaplan,SaraClarke",CGS2B-Intro/CGS:Gender&Institutions(A),SP16,45,20,100.0%,100.0%,4.50,B(3.22),B(3.02)
"Serlin,David",CGS87-FreshmanSeminar(A),SP16,10,7,100.0%,100.0%,1.17,N/A,N/A
"Hankins,JosephD.",CGS87-FreshmanSeminar(B),SP16,9,4,100.0%,100.0%,1.50,A(4.00),N/A
"Santizo,GabrielaDomitila","CGS101-Gender,Modernity&Globalization(A)",WI16,46,27,80.8%,88.5%,5.42,B+(3.63),A-(3.83)
"Kaplan,SaraClarke",CGS102-TopicsinCriticalGenderStds(A),WI16,12,5,100.0%,100.0%,5.70,A-(3.80),N/A
