Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Bussey,ThomasJ",CHEM114A-BiochemicalStructure&Function(A),S219,65,11,90.0%,90.0%,10.70,A-(3.70),B-(2.86)
"Kim,JohnHyunJoon",CHEM40A-OrganicChemistryI(A),S219,84,54,96.3%,100.0%,9.75,B+(3.37),B-(2.96)
"Klosterman,JeremyK",CHEM40B-OrganicChemistryII(A),S219,54,14,64.3%,76.9%,11.93,B-(2.92),C+(2.53)
"Klosterman,JeremyK",CHEM40C-OrganicChemistryIII(A),S219,54,24,78.3%,82.6%,9.46,B-(2.82),C+(2.67)
"Bussey,ThomasJ",CHEM6A-GeneralChemistryI(A),S219,85,35,100.0%,96.7%,6.63,B+(3.52),B-(2.85)
"Berman,JuddMoss",CHEM6B-GeneralChemistryII(A),S219,41,14,92.9%,78.6%,8.50,B+(3.36),C+(2.51)
"Schnoebelen,CarlyLynn",CHEM6C-GeneralChemistryIII(A),S219,108,36,86.1%,91.7%,6.44,B(3.23),B-(2.80)
"Berg,KyleRobert",CHEM11-ThePeriodicTable(A),S119,28,20,84.2%,100.0%,6.80,B+(3.33),B(3.19)
"Peacock,Riley",CHEM40A-OrganicChemistryI(A),S119,93,84,85.7%,90.5%,10.43,B(3.04),B-(2.76)
"Weizman,Haim",CHEM40B-OrganicChemistryII(A),S119,88,24,79.2%,91.3%,8.17,B-(2.88),B-(2.78)
"Ternansky,RobertJ.",CHEM40C-OrganicChemistryIII(A),S119,43,13,100.0%,92.3%,11.88,B-(2.92),B-(2.82)
"Weizman,Haim",CHEM43A-OrganicChemistryLaboratory(A),S119,142,37,65.7%,70.6%,10.28,B(3.03),B(3.04)
"Hoeger,Carl",CHEM6A-GeneralChemistryI(A),S119,56,13,75.0%,75.0%,9.33,B-(2.83),B-(2.84)
"Leigh,Brian",CHEM6B-GeneralChemistryII(A),S119,68,22,90.9%,100.0%,9.41,B-(2.86),B-(2.84)
"Hoeger,Carl",CHEM6C-GeneralChemistryIII(A),S119,75,23,85.7%,81.0%,9.17,B-(2.95),B(3.02)
"Leigh,Brian",CHEM7L-GeneralChemistryLaboratory(A),S119,92,32,80.6%,93.5%,7.50,B(3.23),B(3.03)
"Slade,Jonathan",CHEM100A-AnalyticalChemistryLab(A),SP19,94,42,81.0%,97.6%,8.50,B(3.26),B+(3.45)
"Pomeroy,RobertS.",CHEM100B-InstrumentalChemistryLab(A),SP19,30,13,84.6%,84.6%,8.50,B-(2.77),B+(3.33)
"Pomeroy,RobertS.",CHEM100B-InstrumentalChemistryLab(B),SP19,23,13,75.0%,91.7%,9.83,B+(3.33),B+(3.33)
"Sinha,Amitabha",CHEM105A-PhysicalChemistryLaboratory(A),SP19,38,15,76.9%,100.0%,10.65,B(3.08),B+(3.42)
"Sinha,Amitabha",CHEM105A-PhysicalChemistryLaboratory(B),SP19,38,17,87.5%,93.8%,8.90,B+(3.33),B+(3.42)
"Jennings,PatriciaA.",CHEM108-ProteinBiochemistryLab(A),SP19,46,18,94.1%,58.8%,6.50,B+(3.41),B+(3.68)
"Jennings,PatriciaA.",CHEM108-ProteinBiochemistryLab(B),SP19,38,17,76.5%,76.5%,7.44,B+(3.53),B+(3.68)
"Wang,Wei",CHEM11-ThePeriodicTable(A),SP19,276,159,80.5%,80.5%,4.12,B(3.21),B(3.05)
"Debelouchina,GaliaT",CHEM113-BiophysicalChemofMacromolec(A),SP19,28,8,87.5%,87.5%,7.75,A(4.00),A-(3.91)
"Komives,ElizabethA",CHEM113-BiophysicalChemofMacromolec(A),SP19,28,8,87.5%,87.5%,7.75,A(4.00),A-(3.91)
"Opella,StanleyJ",CHEM114A-BiochemicalStructure&Function(A),SP19,103,77,86.8%,71.1%,4.24,B+(3.58),B(3.19)
"Joseph,Simpson",CHEM114C-BiosynthesisofMacromolecules(A),SP19,252,103,71.3%,72.3%,7.09,B(3.11),C+(2.50)
"Sailor,MichaelJoseph",CHEM120B-InorganicChemistryII(A),SP19,75,34,93.5%,96.8%,6.18,B(3.29),B(3.17)
"Schimpf,AlinaM",CHEM123-AdvancedInorganicChemLab(A),SP19,14,4,100.0%,100.0%,6.50,A-(3.75),N/A
"Crowell,JohnE",CHEM126-PhysicalChem:QuantumMech(A),SP19,64,22,63.6%,59.1%,9.14,B(3.05),B-(2.98)
"YuenZhou,Joel",CHEM127-PhysicalChem:Thermodynamics(A),SP19,165,107,77.4%,88.7%,8.12,B(3.09),B-(2.95)
"Xiong,Wei",CHEM132-ChemPhysics:StatThermoII(A),SP19,80,27,70.4%,92.3%,8.04,C+(2.62),B-(2.78)
"Ternansky,RobertJ.",CHEM143B-OrganicChemistryLabII(A),SP19,129,62,75.4%,54.4%,7.45,B(3.00),B(3.25)
"Weizman,Haim",CHEM151-MoleculesThatChangedWorld(A),SP19,77,28,96.2%,96.3%,3.19,B+(3.54),B+(3.48)
"Burkart,MichaelD",CHEM157-Bioorganic&NaturalProdChem(A),SP19,39,25,100.0%,100.0%,5.17,B+(3.30),B(3.26)
"Devaraj,NealKrishna",CHEM168-DrugSynthesisandDesign(A),SP19,98,48,91.7%,95.8%,3.99,B(3.30),B(3.10)
"Prather,KimberlyA",CHEM173-AtmosphericChemistry(A),SP19,64,24,91.3%,82.6%,6.07,B-(2.82),B(3.15)
"Dickson,AndrewGilmore",CHEM174-ChemPrinofMarineSystems(A),SP19,26,12,63.6%,63.6%,6.86,B-(2.73),B(3.23)
"Bussey,ThomasJ",CHEM188-CapstoneSeminScienceEductn(A),SP19,11,3,100.0%,100.0%,3.83,A(4.00),N/A
"Albizati,KimF.",CHEM40A-OrganicChemistryI(A),SP19,245,96,91.0%,98.9%,6.54,B(3.00),C+(2.67)
"Weizman,Haim",CHEM40B-OrganicChemistryII(A),SP19,301,125,81.2%,91.2%,7.44,B-(2.88),B-(2.86)
"Siegel,DionicioR.",CHEM40B-OrganicChemistryII(B),SP19,301,140,90.9%,96.2%,6.11,B(3.13),B(3.10)
"Ternansky,RobertJ.",CHEM40C-OrganicChemistryIII(A),SP19,142,65,75.9%,92.9%,8.15,B-(2.91),B-(2.72)
"Hoeger,Carl",CHEM40C-OrganicChemistryIII(B),SP19,368,135,65.1%,73.0%,8.75,B-(2.88),B-(2.82)
"Tor,Yitzhak",CHEM40CH-HonorsOrganicChemistryIII(A),SP19,95,49,95.7%,97.8%,6.54,B+(3.67),B+(3.55)
"Klosterman,JeremyK",CHEM43A-OrganicChemistryLaboratory(A),SP19,244,216,74.3%,77.6%,8.11,B(3.23),B(3.14)
"Klosterman,JeremyK",CHEM43A-OrganicChemistryLaboratory(B),SP19,215,195,77.1%,79.2%,8.09,B+(3.34),B(3.14)
"Deshmukh,Lalit",CHEM6A-GeneralChemistryI(A),SP19,238,145,80.0%,80.6%,5.34,B-(2.92),C(2.17)
"Young,Mark",CHEM6B-GeneralChemistryII(A),SP19,336,165,72.4%,58.2%,6.50,B-(2.75),C+(2.62)
"Crowell,JohnE",CHEM6B-GeneralChemistryII(B),SP19,181,66,59.7%,42.6%,7.05,B-(2.77),C+(2.45)
"Debelouchina,GaliaT",CHEM6C-GeneralChemistryIII(A),SP19,394,315,93.6%,98.1%,5.41,B+(3.32),B(3.15)
"Brydges,Stacey",CHEM6C-GeneralChemistryIII(B),SP19,422,215,87.3%,93.6%,5.58,B(3.28),B(3.14)
"Lam,TinYiu",CHEM6C-GeneralChemistryIII(C),SP19,417,222,84.0%,88.9%,6.17,B(3.17),B-(2.88)
"Hoeger,Carl",CHEM6C-GeneralChemistryIII(E),SP19,184,101,81.9%,75.3%,7.36,B-(2.90),B-(2.82)
"Bussey,ThomasJ",CHEM6C-GeneralChemistryIII(F),SP19,88,47,91.3%,100.0%,5.37,B(3.15),B-(2.97)
"Kubiak,CliffordPaul",CHEM6CH-HonorsGeneralChemistryIII(A),SP19,59,31,83.3%,90.0%,6.44,B+(3.42),B(3.28)
"Schnoebelen,CarlyLynn",CHEM7L-GeneralChemistryLaboratory(A),SP19,277,157,96.7%,96.0%,4.54,A-(3.81),A-(3.80)
"Leigh,Brian",CHEM7L-GeneralChemistryLaboratory(B),SP19,327,172,89.1%,98.2%,6.89,B(3.22),B(3.05)
"Brydges,Stacey",CHEM7LM-GeneralChemistryLab-Majors(A),SP19,95,53,82.7%,98.1%,7.67,B+(3.62),A-(3.73)
"Leigh,Brian",CHEM87-FreshmanSeminar(A),SP19,15,11,100.0%,100.0%,0.90,A(4.00),N/A
"Makale,MilanTheodore",CHEM93-CancerTherapeutic/Diagnostic(A),SP19,26,8,100.0%,100.0%,1.93,A(4.00),B+(3.51)
"Bussey,ThomasJ",CHEM96-IntroductntoTeachingScience(A),SP19,23,10,100.0%,100.0%,3.61,A-(3.75),B+(3.58)
"Brydges,Stacey",CHEM1-ScopeofChemandBiochem(A),WI19,11,8,100.0%,100.0%,1.36,A(4.00),N/A
"Pomeroy,RobertS.",CHEM100A-AnalyticalChemistryLab(A),WI19,130,52,81.6%,87.0%,8.85,B(3.25),B(3.18)
"Pomeroy,RobertS.",CHEM100B-InstrumentalChemistryLab(A),WI19,29,11,90.0%,100.0%,9.50,B+(3.60),B+(3.33)
"Young,Mark",CHEM105A-PhysicalChemistryLaboratory(A),WI19,40,13,60.0%,60.0%,11.50,B+(3.50),B-(2.86)
"Young,Mark",CHEM105A-PhysicalChemistryLaboratory(B),WI19,24,9,37.5%,37.5%,7.25,B(3.13),B-(2.86)
"McHugh,ColleenA",CHEM109-RecombinantDNALaboratory(A),WI19,44,20,94.4%,100.0%,10.82,B(3.16),B+(3.44)
"McHugh,ColleenA",CHEM109-RecombinantDNALaboratory(B),WI19,22,11,100.0%,100.0%,9.23,B+(3.36),B+(3.44)
"Komives,ElizabethA",CHEM114B-BiochemEnergetics&Metabolism(A),WI19,265,120,99.1%,99.1%,7.58,B+(3.50),B(3.24)
"Komor,AlexisC",CHEM116-ChemicalBiology(A),WI19,4,3,100.0%,100.0%,4.50,C+(2.33),N/A
"Amaro,RommieE",CHEM118-PharmacologyandToxicology(A),WI19,118,59,96.2%,90.6%,5.73,B+(3.45),B(3.14)
"Huang,Xuemei",CHEM12-MoleculesandReactions(A),WI19,60,25,77.3%,86.4%,4.95,B+(3.35),B-(2.96)
