Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Xu,Li",CHIN100CN-ThirdYrChinese/Non-NativeIII(A),SP19,9,4,100.0%,100.0%,5.50,B+(3.67),N/A
"Chen,Pei-Chia",CHIN10CD-FirstYrChinese/DialectIII(A),SP19,23,9,100.0%,100.0%,3.64,A-(3.71),A-(3.75)
"Chen,Pei-Chia",CHIN10CD-FirstYrChinese/DialectIII(B),SP19,26,13,100.0%,100.0%,6.17,B+(3.64),A-(3.75)
"Xu,Li",CHIN10CM-FirstYrChinese/MandarinIII(A),SP19,30,11,100.0%,100.0%,5.23,A-(3.80),B+(3.67)
"Cha,Samuel",CHIN10CN-FirstYrChinese/Non-NativeIII(A),SP19,27,8,100.0%,100.0%,8.25,B+(3.60),B+(3.39)
"Cha,Samuel",CHIN10CN-FirstYrChinese/Non-NativeIII(B),SP19,32,10,100.0%,100.0%,6.70,B+(3.67),B+(3.39)
"Xu,Li",CHIN165A-BusinessChinese(A),SP19,14,11,100.0%,90.0%,4.10,A-(3.88),N/A
"Wang,Xiao",CHIN169B-MedicalChineseII(A),SP19,8,4,100.0%,100.0%,3.50,A(4.00),N/A
"Wang,Xiao",CHIN20CD-SecondYrChinese-DialectIII(A),SP19,10,7,100.0%,100.0%,3.50,A(4.00),N/A
"Anderson,Qin-Hong",CHIN20CN-SecondYrChinese/NonNativeIII(A),SP19,17,17,100.0%,100.0%,3.09,A-(3.91),N/A
"Anderson,Qin-Hong",CHIN20CN-SecondYrChinese/NonNativeIII(B),SP19,17,13,100.0%,100.0%,4.35,A-(3.80),N/A
"Anderson,Qin-Hong",CHIN100BM-ThirdYrChinese/HeritageSpII(A),WI19,15,14,92.9%,92.9%,2.93,B+(3.50),N/A
"Wang,Chuchu",CHIN100BN-ThirdYrChinese/Non-NativeII(A),WI19,13,4,100.0%,100.0%,2.50,A-(3.75),N/A
"Chen,Pei-Chia",CHIN10BD-FirstYrChinese/DialectSpII(A),WI19,24,6,100.0%,100.0%,6.83,B+(3.50),B+(3.65)
