Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Davis,JoshuaDaniel","COGS101B-Learning,MemoryandAttention(A)",S219,94,65,96.9%,98.4%,5.25,B+(3.53),B(3.12)
"Bristol,RachelElizabeth",COGS101C-Language(A),S219,31,28,81.5%,100.0%,7.39,B+(3.40),B(3.26)
"Allen,MichaelGordon",COGS11-Minds&Brains(A),S219,17,16,93.8%,93.8%,4.88,B+(3.64),N/A
"Hoffman,DrewEllen",COGS14B-Intro.toStatisticalAnalysis(A),S219,52,14,61.5%,76.9%,4.35,B+(3.38),B-(2.77)
"Pineda,JaimeA",COGS171GS-MirrorNeuronSystem(A),S219,25,3,100.0%,100.0%,5.17,A(4.00),A-(3.74)
"Pineda,JaimeA","COGS174GS-Drugs:Brain,MindandCulture(A)",S219,25,3,100.0%,100.0%,3.83,A(4.00),B+(3.65)
"Gupta,Anjum",COGS18-IntroductiontoPython(A),S219,104,37,89.2%,70.3%,6.82,B+(3.40),B+(3.32)
"Boyle,MaryE.T.",COGS187A-Usability&Info.Architecture(A),S219,61,13,75.0%,90.9%,5.83,A-(3.75),A-(3.77)
"Gupta,Anjum",COGS188-AIAlgorithms(A),S219,35,8,85.7%,85.7%,6.79,A-(3.71),B(3.07)
"Miller,CarsonGrant",COGS3-IntroductiontoComputing(A),S219,29,8,62.5%,75.0%,5.50,B+(3.33),B-(2.70)
"Allen,MichaelGordon",COGS100-CyborgsNowandintheFuture(A),S119,57,54,83.3%,88.9%,6.69,B(3.25),B+(3.34)
"Bristol,RachelElizabeth",COGS101A-SensationandPerception(A),S119,61,58,96.6%,98.3%,6.46,B+(3.47),B+(3.39)
"Boyle,MaryE.T.",COGS107A-NeuroanatomyandPhysiology(A),S119,116,92,69.7%,71.6%,10.66,C+(2.63),C+(2.58)
"Bardolph,MeganDalene",COGS109-Modeling&DataAnalysis(A),S119,23,16,93.8%,100.0%,5.50,A-(3.75),B+(3.55)
"Gao,Richard",COGS118C-NeuralSignalProcessing(A),S119,33,29,93.1%,100.0%,8.07,B+(3.64),B+(3.66)
"Johnson,ChristineM.",COGS143GS-AnimalCognition(A),S119,24,19,94.7%,94.7%,7.97,B+(3.63),B+(3.41)
"Davis,JoshuaDaniel",COGS14A-Intro.toResearchMethods(A),S119,89,31,96.4%,89.3%,4.91,B+(3.69),B(3.18)
"Relaford-Doyle,Josephine",COGS152-CognitiveFoundationsofMath(A),S119,29,22,95.2%,100.0%,4.98,B+(3.67),B+(3.53)
"Boyle,MaryE.T.",COGS17-NeurobiologyofCognition(A),S119,69,22,90.0%,85.0%,6.40,A-(3.70),B(3.04)
"Johnson,ChristineM.",COGS184GS-Modeling/EvolutionofCognitn(A),S119,24,19,100.0%,100.0%,7.45,B+(3.53),B+(3.36)
"Boyle,MaryE.T.",COGS1-IntroductiontoCognitiveSci(A),SP19,480,409,85.2%,85.2%,3.78,B+(3.31),B(3.07)
"Hollan,JamesD.",COGS10-CognitvConsequence/Technology(A),SP19,282,171,66.7%,70.3%,3.38,B(3.28),B+(3.55)
"Scott,TaylorJackson",COGS100-CyborgsNowandintheFuture(A),SP19,201,176,78.9%,92.6%,4.28,B(3.29),B+(3.41)
"Bristol,RachelElizabeth",COGS101A-SensationandPerception(A),SP19,225,179,93.2%,93.8%,4.41,B(3.23),B-(2.93)
"Hoffman,DrewEllen","COGS101B-Learning,MemoryandAttention(A)",SP19,338,190,96.8%,97.8%,3.99,B+(3.60),B+(3.32)
"Cooperrider,KensyA",COGS101C-Language(A),SP19,158,60,94.6%,100.0%,3.89,B+(3.55),B+(3.38)
"Scott,TaylorJackson",COGS102C-CognitiveDesign(A),SP19,144,124,98.4%,99.2%,7.78,A-(3.91),A-(3.98)
"Chiba,Andrea",COGS107C-CognitiveNeuroscience(A),SP19,246,92,86.6%,89.0%,4.96,B+(3.51),B+(3.54)
"Ellis,ShannonElizabeth",COGS108-DataScienceinPractice(A),SP19,301,238,96.1%,98.7%,5.33,A-(3.73),A-(3.77)
"Ellis,ShannonElizabeth",COGS108-DataScienceinPractice(B),SP19,476,339,88.6%,93.7%,5.00,B+(3.69),A-(3.77)
"Boroditsky,Lera",COGS11-Minds&Brains(A),SP19,125,52,89.6%,87.0%,3.56,B+(3.37),B-(2.99)
"Deak,GedeonO.",COGS115-NeurologclDevlp&CogntvChng(A),SP19,74,20,83.3%,88.9%,5.87,B(3.11),B-(2.89)
"Tu,Zhuowen",COGS118A-IntrotoMachineLearningI(A),SP19,190,137,87.3%,68.4%,7.38,B+(3.41),B+(3.41)
"Mukamel,EranA",COGS118C-NeuralSignalProcessing(A),SP19,48,33,90.6%,96.9%,8.44,B+(3.39),B(3.15)
"Saygin,AyseP",COGS119-Programming/ExperimentalRes.(A),SP19,17,7,83.3%,66.7%,3.83,A-(3.83),N/A
"Boroditsky,Lera","COGS12-Language,Culture&Cognition(A)",SP19,56,21,90.5%,90.5%,2.69,A-(3.78),B+(3.37)
"Guo,PhilipJ",COGS121-HumanComptrInteracProgStud(A),SP19,144,52,94.0%,98.0%,6.70,A-(3.83),A-(3.83)
"Rossano,Federico",COGS13-FldMethods:CognitioninWild(A),SP19,307,149,84.4%,97.9%,3.82,B+(3.39),B(3.24)
"Hoffman,DrewEllen",COGS14B-Intro.toStatisticalAnalysis(A),SP19,218,139,84.8%,87.0%,4.58,B+(3.31),B(3.02)
"Nunez,RafaelE",COGS152-CognitiveFoundationsofMath(A),SP19,49,14,92.3%,100.0%,3.88,B(3.00),B-(2.94)
