Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Gluzman,EllenYelena","COMM100A-Comm,thePerson&EverydayLife(A)",S219,36,21,95.2%,95.2%,7.55,B+(3.35),B(3.17)
"Bush,BarbaraAnn","COMM100B-Comm,Culture&Representation(A)",S219,14,11,90.9%,100.0%,8.86,A-(3.73),N/A
"Collins,CarolineImani",COMM103F-HowtoReadaFilm(A),S219,26,19,100.0%,100.0%,3.34,A-(3.95),B+(3.63)
"Walton,JonathanDouglas",COMM105G-CT:ComputerGameStudies(A),S219,38,9,100.0%,100.0%,4.28,B+(3.67),B+(3.39)
"Whitworth-Smith,AndrewC",COMM109D-MC:Advertising&Society(A),S219,36,32,96.9%,100.0%,5.31,B+(3.43),B+(3.36)
"Cortes,DiegoM",COMM111T-CCP:CulturalPoliticsofSport(A),S219,29,5,80.0%,60.0%,5.70,A-(3.80),B+(3.60)
"Guarrasi,Ivana",COMM170-Biography&LifeStories(A),S219,16,9,100.0%,100.0%,4.28,A-(3.89),N/A
"Dubee,AlexWilliam",COMM10-IntroductiontoCommunication(A),S119,48,16,80.0%,100.0%,4.37,A-(3.82),B+(3.64)
"PalosPons,Manel","COMM100C-Comm,Institutions&Power(A)",S119,22,20,100.0%,100.0%,5.20,B+(3.55),B+(3.55)
"McKenna,Denise",COMM107-VisualCulture(A),S119,20,4,75.0%,75.0%,8.50,A-(3.75),B+(3.60)
"Huang,Poyao",COMM108A-PoliticsofBodies:Intro(A),S119,14,11,81.8%,90.9%,5.05,B(3.27),N/A
"Havis,Allan",COMM113T-IntmTopicsinCommunication(A),S119,25,9,100.0%,100.0%,3.75,A(4.00),B(3.11)
"Dewey,MatthewD",COMM113T-IntmTopicsinCommunication(C),S119,11,4,100.0%,100.0%,3.50,A-(3.75),N/A
"Boateng,Boatema","COMM138-BlackWomen,Feminism&Media(A)",S119,13,4,75.0%,75.0%,8.00,B(3.25),N/A
"Anderson,PatrickW.",COMM190-JuniorSeminarinComm(A),S119,22,4,100.0%,100.0%,5.83,B+(3.33),A-(3.75)
"DominguezRubio,Fernando",COMM10-IntroductiontoCommunication(A),SP19,150,61,72.9%,72.4%,5.82,B(3.08),B-(2.75)
"Gates,Kelly","COMM100C-Comm,Institutions&Power(A)",SP19,317,112,77.5%,71.0%,4.38,B+(3.42),B(3.08)
"Martinico,DanielJ",COMM101D-MPL:Non-LinearDigitalEditing(A),SP19,20,8,100.0%,100.0%,6.50,B+(3.57),B+(3.66)
"Ahn,PatriciaJeehyun",COMM101T-MediaProdLab:TopicsinProd(A),SP19,25,3,100.0%,100.0%,8.50,A(4.00),A-(3.77)
"Campion,CamilleE",COMM102C-MMPP:Media&DesignPracticum(A),SP19,20,8,100.0%,100.0%,4.50,A-(3.86),A-(3.77)
"Tanaka,StefanA.",COMM106C-CI:HistorythruComics-Japan(A),SP19,40,9,88.9%,100.0%,6.72,B-(2.88),B(3.12)
"McKenna,Denise",COMM106F-CI:TheFilmIndustry(A),SP19,124,37,80.6%,69.4%,3.72,B+(3.47),B(3.18)
"CordobaAzcarate,Matilde",COMM106G-CI:Tourism-GlobalIndustry(A),SP19,40,25,95.5%,95.5%,3.58,A-(3.71),B+(3.70)
"Dewey,MatthewD",COMM106V-CI:TVIndustry(A),SP19,40,15,83.3%,90.9%,4.19,B+(3.31),B(3.17)
"Huang,Poyao",COMM108A-PoliticsofBodies:Intro(A),SP19,40,24,68.2%,72.7%,4.14,B+(3.38),B(3.19)
"Hickman,Louise",COMM108D-POB:Disability(A),SP19,39,21,85.0%,90.0%,4.21,B+(3.57),B+(3.34)
"Guarrasi,Ivana","COMM110T-LLC:Language,Thought&Media(A)",SP19,41,19,100.0%,100.0%,5.32,A-(3.82),B+(3.69)
"Tanaka,StefanA.",COMM112C-TheIdeaofChildhood(A),SP19,40,14,84.6%,91.7%,4.35,B(3.15),B-(2.77)
"Conner,ThomasHartnell",COMM113T-IntmTopicsinCommunication(B),SP19,37,10,80.0%,80.0%,2.30,B+(3.50),B+(3.50)
"Pezzoli,Keith",COMM114J-CSI:FoodJustice(A),SP19,56,12,83.3%,100.0%,5.23,B+(3.45),B+(3.57)
"Serlin,David",COMM114P-CSI:PublicHistory&Museums(A),SP19,40,12,72.7%,81.8%,3.67,B(3.25),C+(2.65)
"Irani,LillyC",COMM124B-CriticalDesign/TopicStudio(A),SP19,14,4,75.0%,100.0%,4.50,A(4.00),N/A
"Davis,ZeinabuI.","COMM132-AdvTopics-Comm,Poli&Socty(A)",SP19,48,13,91.7%,100.0%,3.50,A-(3.75),B+(3.51)
"Ahn,PatriciaJeehyun",COMM146-AdvTopics-CulturalProduction(A),SP19,31,15,100.0%,100.0%,4.23,A-(3.93),A-(3.84)
"Jack,CarolineSarah",COMM146-AdvTopics-CulturalProduction(B),SP19,40,14,75.0%,72.7%,5.17,B+(3.38),B(3.20)
"Cortes,DiegoM",COMM146-AdvTopics-CulturalProduction(C),SP19,42,26,100.0%,96.0%,3.81,A-(3.77),B+(3.54)
"Serlin,David",COMM153-ArchitectureasCommunication(A),SP19,40,11,81.8%,90.9%,3.41,B+(3.64),B(3.23)
"Zilberg,Elana","COMM155-LatinoSpace,Place&Culture(A)",SP19,25,6,75.0%,75.0%,3.70,B(3.25),B(3.23)
"Whitworth-Smith,AndrewC",COMM162-AdvStudiesinCulIndustries(A),SP19,27,24,100.0%,100.0%,3.08,A-(3.71),B+(3.31)
"Iatarola,BrianaMarie",COMM175-CulturesofConsumption(A),SP19,43,15,93.3%,93.3%,4.77,B+(3.40),B+(3.58)
"Goldfarb,Brian",COMM190-JuniorSeminarinComm(B),SP19,23,7,100.0%,100.0%,4.83,A-(3.71),B+(3.47)
"Gates,Kelly",COMM190-JuniorSeminarinComm(D),SP19,23,8,87.5%,75.0%,4.50,A-(3.88),A-(3.73)
"Zilberg,Elana",COMM196B-HonorsSeminar/Communication(A),SP19,10,5,100.0%,100.0%,12.90,A-(3.80),N/A
"Anderson,PatrickW.",COMM10-IntroductiontoCommunication(A),WI19,199,93,81.6%,88.4%,4.12,B+(3.52),B-(2.81)
"Serlin,David","COMM100B-Comm,Culture&Representation(A)",WI19,286,140,84.4%,89.1%,4.60,B+(3.49),B+(3.46)
"Ahn,PatriciaJeehyun",COMM101-IntroAudio-VisMediaPractice(A),WI19,93,46,100.0%,97.5%,5.12,A-(3.93),B+(3.53)
"Martinico,DanielJ",COMM101N-MPL:SoundPrductn&Manipulatn(A),WI19,21,13,100.0%,100.0%,5.88,B+(3.69),B+(3.53)
"Campion,CamilleE",COMM102C-MMPP:Media&DesignPracticum(A),WI19,19,5,100.0%,100.0%,2.90,A-(3.80),N/A
