Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Moore,JohnC.",CONT150A-CollegeAcadMentorProgram(A),WI18,7,4,75.0%,75.0%,1.00,N/A,N/A
"Kong,AngelaWai-Yin",CONT1S-TheUniversityinSociety(A),S217,297,166,94.2%,96.1%,6.07,B(3.29),N/A
"Velasquez,Patrick",CONT1-TheUniversityinSociety(A),S216,234,117,96.0%,100.0%,7.99,B(3.26),N/A
"Moore,JohnC.",CONT150A-CollegeAcadMentorProgram(A),SP16,14,4,100.0%,100.0%,3.83,C(2.00),N/A
"Moore,JohnC.",CONT150A-CollegeAcadMentorProgram(A),WI16,11,3,100.0%,100.0%,9.50,A(4.00),N/A
"Velasquez,Patrick",CONT1-TheUniversityinSociety(A),S215,184,110,99.0%,97.9%,7.53,B+(3.30),N/A
"Moore,JohnC.",CONT150A-CollegeAcadMentorProgram(A),SP15,8,4,75.0%,75.0%,1.00,A(4.00),N/A
"Wastal,CarrieKing","CONT68-Disability,RaceandDiversity(A)",WI15,7,5,100.0%,100.0%,3.50,A-(3.80),N/A
"Moore,JohnC.",CONT150A-CollegeAcadMentorProgram(A),FA14,7,3,100.0%,100.0%,4.50,N/A,N/A
"Velasquez,Patrick",CONT1-TheUniversityinSociety(A),S214,164,85,98.6%,98.6%,8.06,B(3.18),N/A
"Velasquez,Patrick",CONT1-TheUniversityinSociety(A),S213,150,76,98.5%,98.5%,9.71,B(3.27),N/A
"Velasquez,Patrick",CONT1-TheUniversityinSociety(A),S212,146,65,93.8%,96.9%,10.13,B+(3.50),N/A
"Velasquez,Patrick",CONT1-TheUniversityinSociety(A),S211,139,50,94.0%,92.0%,10.42,B(3.26),N/A
"Velasquez,Patrick",CONT1-TheUniversityinSociety(A),SU10,140,82,96.3%,97.5%,10.23,B+(3.43),N/A
"Velasquez,Patrick",CONT1-TheUniversityinSociety(A),SU09,118,53,98.1%,98.1%,9.48,B(3.19),N/A
