Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Cao,Yingjun",CSE100-AdvancedDataStructures(A),S219,34,26,96.2%,92.3%,18.88,B(3.08),B-(2.87)
"Braun,Oliver",CSE101-Design&AnalysisofAlgorithm(A),S219,37,28,100.0%,96.3%,8.72,B(3.27),B(3.17)
"Miranda,GregoryJoseph",CSE11-Intr/ComputerSci&Obj-Ori:Java(A),S219,32,7,71.4%,71.4%,11.93,B+(3.57),B(3.11)
"August,RobertHenry",CSE11-Intr/ComputerSci&Obj-Ori:Java(B),S219,27,14,100.0%,100.0%,10.00,A-(3.75),B+(3.40)
"Polyzos,GeorgeC",CSE123-ComputerNetworks(A),S219,32,10,100.0%,70.0%,11.50,B-(2.90),B-(2.93)
"Pister,KaiserStefan",CSE130-ProgrmngLang:Princpl&Paradigm(A),S219,31,31,93.5%,96.8%,9.43,B+(3.30),B+(3.41)
"Eldon,John",CSE140-Component&DesgnTech/DigtlSys(B),S219,48,10,87.5%,75.0%,10.50,B+(3.38),B(3.09)
"Eldon,John",CSE140L-DigitalSystemsLaboratory(A),S219,48,9,100.0%,100.0%,9.17,A(4.00),B+(3.35)
"Tseng,Hung-Wei",CSE141-Intro/ComputerArchitecture(A),S219,28,16,86.7%,100.0%,8.63,B(3.27),B+(3.59)
"Merrill,DevonJames",CSE141-Intro/ComputerArchitecture(B),S219,15,4,75.0%,100.0%,8.50,B+(3.50),N/A
"Tseng,Hung-Wei",CSE141L-Project/ComputerArchitecture(A),S219,35,12,72.7%,90.9%,12.14,B(3.27),B(3.25)
"Merrill,DevonJames",CSE141L-Project/ComputerArchitecture(B),S219,16,4,75.0%,75.0%,8.00,A-(3.75),N/A
"Geumlek,JosephDonald",CSE151-IntrotoA.I.StatsApproach(A),S219,34,24,100.0%,100.0%,8.83,B(3.21),B+(3.34)
"Kumar,Rakesh",CSE190-Topics/ComputerSci&Engineer(A),S219,19,6,100.0%,100.0%,5.83,B+(3.67),N/A
"Bach,QuangTran",CSE20-Intro/DiscreteMathematics(A),S219,26,6,100.0%,80.0%,7.17,B+(3.67),B+(3.50)
