Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Johnston,EmilyRonay",DOC100D-Promises&Contradictions/USCult(A),S219,11,11,100.0%,100.0%,5.90,A-(3.70),N/A
"Pass,NatalyeJoann",DOC100D-Promises&Contradictions/USCult(A),SP19,26,11,100.0%,100.0%,7.77,A-(3.73),B(3.19)
"Pass,NatalyeJoann",DOC100D-Promises&Contradictions/USCult(B),SP19,12,5,100.0%,100.0%,5.30,A(4.00),B(3.19)
"Solomon,AmandaLeeAlbaniel",DOC3-Imagination(A),SP19,287,270,64.4%,93.3%,4.49,B(3.25),B+(3.44)
"Johnston,EmilyRonay",DOC3-Imagination(B),SP19,276,253,65.6%,94.4%,3.79,B(3.28),B+(3.41)
"Strom,MeganC.",DOC3-Imagination(C),SP19,249,216,60.5%,80.9%,4.30,B(3.22),B+(3.38)
"Strom,MeganC.",DOC3-Imagination(D),SP19,237,215,57.5%,77.1%,3.91,B+(3.30),B+(3.38)
"Pass,NatalyeJoann",DOC100D-Promises&Contradictions/USCult(A),WI19,22,13,84.6%,91.7%,7.42,B+(3.67),B+(3.44)
"Pass,NatalyeJoann",DOC100D-Promises&Contradictions/USCult(B),WI19,16,7,100.0%,100.0%,4.17,A(4.00),B+(3.44)
"Johnston,EmilyRonay",DOC2-Justice(A),WI19,269,259,72.1%,94.5%,4.66,B(3.11),B(3.21)
"Solomon,AmandaLeeAlbaniel",DOC2-Justice(B),WI19,283,270,78.5%,94.4%,4.88,B(3.24),B(3.29)
"Strom,MeganC.",DOC2-Justice(C),WI19,277,263,70.2%,81.3%,4.88,B(3.28),B(3.24)
"Strom,MeganC.",DOC2-Justice(D),WI19,214,205,74.6%,79.0%,5.33,B(3.16),B(3.24)
"Solomon,AmandaLeeAlbaniel",DOC1-Diversity(A),FA18,283,270,83.9%,96.6%,5.04,B(3.19),B(3.25)
"Strom,MeganC.",DOC1-Diversity(B),FA18,317,306,72.9%,86.2%,4.31,B(3.27),B+(3.32)
"Strom,MeganC.",DOC1-Diversity(C),FA18,284,276,77.5%,91.9%,4.61,B(3.30),B+(3.32)
"Johnston,EmilyRonay",DOC1-Diversity(D),FA18,127,122,81.1%,95.9%,4.43,B(3.29),B+(3.34)
