Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Saad,AndrewS",ECE100-LinearElectronicSystems(A),S319,35,34,79.4%,76.5%,5.85,B+(3.32),N/A
"Silberman,Jack",ECE148-IntrotoAutonomousVehicles(A),S219,14,10,100.0%,100.0%,15.70,A(4.00),N/A
"AbiSamra,NicholasCamill",ECE180-TopicsinECE(A),S219,29,16,100.0%,100.0%,4.23,A-(3.80),B+(3.48)
"Morris,KarcherWilliam",ECE5-IntrotoECE(A),S219,37,22,100.0%,100.0%,8.59,A-(3.82),A-(3.86)
"AbiSamra,NicholasCamill",ECE180-TopicsinECE(A),S119,30,11,100.0%,100.0%,6.14,A-(3.91),B+(3.53)
"An,Cheolhong",ECE180-TopicsinECE(B),S119,16,5,75.0%,75.0%,7.00,A(4.00),N/A
"Shevchenko,ValentinI",ECE45-CircuitsandSystems(A),S119,29,18,88.9%,88.9%,7.61,B+(3.39),B+(3.46)
"Baghdadchi,Saharnaz",ECE101-LinearSystemsFundamentals(A),SP19,113,99,83.3%,84.2%,6.99,B(3.14),B-(2.87)
"Kuzum,Duygu",ECE103-Fundamntls/Devices&Materials(A),SP19,53,21,94.7%,100.0%,6.82,B(3.26),B-(2.89)
"Fullerton,EricE",ECE107-Electromagnetism(A),SP19,104,34,80.0%,60.0%,10.10,B(3.00),B-(2.80)
"Zeger,KennethA.",ECE109-EngineeringProbability&Stats(A),SP19,163,54,57.4%,76.6%,7.39,C+(2.67),C+(2.61)
"Yip,Michael",ECE115-FastPrototyping(A),SP19,13,10,100.0%,100.0%,10.94,A-(3.80),N/A
"Quest,KevinB",ECE120-SolarSystemPhysics(A),SP19,59,19,94.4%,94.4%,3.94,B+(3.39),B+(3.36)
"Sievenpiper,DanielF.",ECE123-AntennaSystemsEngineering(A),SP19,37,15,100.0%,100.0%,6.81,A-(3.75),B(3.16)
"Esmaili,Gholamreza",ECE124-MotorDrives(A),SP19,18,6,100.0%,100.0%,13.17,B+(3.50),N/A
"Esmaili,Gholamreza",ECE125B-IntrotoPowerElectronicsII(A),SP19,26,10,100.0%,100.0%,9.83,B(3.22),B(3.22)
"Taur,Yuan",ECE135B-ElectronicDevices(A),SP19,13,6,66.7%,83.3%,4.17,B(3.00),N/A
