Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Famulari,Melissa",ECON1-PrinciplesofMicroeconomics(A),S219,111,72,95.7%,97.1%,4.67,B(3.28),B-(2.90)
"Famulari,Melissa",ECON100A-MicroeconomicsA(A),S219,52,30,93.3%,83.3%,6.70,B+(3.60),B-(2.78)
"Sinitsyn,Maxim",ECON100B-MicroeconomicsB(A),S219,41,8,100.0%,100.0%,5.00,B+(3.63),C+(2.68)
"Sinitsyn,Maxim",ECON100C-MicroeconomicsC(A),S219,34,10,100.0%,100.0%,6.10,B+(3.40),B(3.00)
"Newhouse,HerbertS",ECON109-GameTheory(A),S219,88,50,93.9%,93.9%,6.05,B+(3.30),B-(2.79)
"Levkoff,StevenB.",ECON110A-MacroeconomicsA(A),S219,35,27,92.6%,84.0%,7.24,B(3.07),C+(2.69)
"Levkoff,StevenB.",ECON110B-MacroeconomicsB(A),S219,43,30,100.0%,100.0%,6.23,B(3.20),C+(2.62)
"Tocoian,Oana",ECON120A-EconometricsA(A),S219,18,9,88.9%,100.0%,7.61,B(3.22),N/A
"O,MunPyung",ECON120B-EconometricsB(A),S219,31,27,96.3%,96.3%,9.31,B+(3.50),B-(2.98)
"Nieto-Barthaburu,Augusto",ECON131-EconomicsoftheEnvironment(A),S219,79,43,95.2%,95.2%,5.94,B+(3.42),B-(2.75)
"Squires,DaleE",ECON144-EconomicsofConservation(A),S219,62,17,100.0%,100.0%,6.50,B+(3.44),B(3.02)
"Newhouse,HerbertS",ECON171-DecisionsUnderUncertainty(A),S219,43,23,78.3%,91.3%,6.93,B+(3.38),C+(2.66)
"Zeng,WendySu",ECON3-PrinciplesofMacroeconomics(A),S219,43,34,97.0%,93.9%,5.11,B+(3.65),B+(3.36)
"Anderson,JohnCharles",ECON4-FinancialAccounting(A),S219,7,3,100.0%,100.0%,5.83,A(4.00),N/A
"Newhouse,HerbertS",ECON100A-MicroeconomicsA(A),S119,59,9,75.0%,87.5%,8.25,B(3.13),B-(2.73)
"Levkoff,StevenB.",ECON100B-MicroeconomicsB(A),S119,45,29,93.1%,96.6%,6.02,B(3.24),B-(2.87)
"Levkoff,StevenB.",ECON100C-MicroeconomicsC(A),S119,64,40,91.9%,91.9%,7.87,B(3.11),B-(2.77)
"O,MunPyung",ECON120B-EconometricsB(A),S119,53,36,97.0%,97.0%,8.02,B+(3.47),B(3.06)
"O,MunPyung",ECON120C-EconometricsC(A),S119,76,34,90.6%,90.6%,7.06,B+(3.39),B(3.00)
"Krumholz,Samuel",ECON2-MarketImperfections&Policy(A),S119,61,22,100.0%,95.0%,5.77,B+(3.50),B-(2.97)
"Denislamova,Olga",ECON3-PrinciplesofMacroeconomics(B),S119,21,15,100.0%,100.0%,6.93,B+(3.58),B(3.22)
"Candido,MariaTeresa",ECON1-PrinciplesofMicroeconomics(A),SP19,229,79,91.8%,93.2%,3.87,B+(3.54),B-(2.94)
"Sinitsyn,Maxim",ECON100A-MicroeconomicsA(A),SP19,137,81,74.1%,80.2%,6.45,B-(2.99),C+(2.32)
"Sinitsyn,Maxim",ECON100A-MicroeconomicsA(B),SP19,136,90,82.0%,88.8%,5.93,B(3.09),C+(2.32)
"Tocoian,Oana",ECON100B-MicroeconomicsB(A),SP19,159,70,80.6%,77.6%,6.92,B(3.24),B-(2.91)
"Tocoian,Oana",ECON100B-MicroeconomicsB(B),SP19,143,69,90.6%,81.0%,5.83,B+(3.47),B-(2.91)
"Du,Songzi",ECON100C-MicroeconomicsC(A),SP19,42,12,100.0%,72.7%,4.68,B+(3.40),B-(2.74)
"Du,Songzi",ECON100C-MicroeconomicsC(B),SP19,48,22,66.7%,61.1%,7.61,B-(2.72),B-(2.74)
"Levkoff,StevenB.",ECON100C-MicroeconomicsC(C),SP19,70,50,91.8%,95.9%,5.81,B(3.26),B-(2.85)
"Levkoff,StevenB.",ECON100C-MicroeconomicsC(D),SP19,120,72,95.8%,95.8%,7.39,B(3.30),B-(2.85)
"Bowen,T.Renee",ECON106-Int'lEconomicAgreements(A),SP19,17,4,75.0%,100.0%,4.00,B(3.25),N/A
"Rondina,Giacomo",ECON110A-MacroeconomicsA(A),SP19,118,80,89.6%,88.3%,6.18,B(3.25),C+(2.67)
"Rondina,Giacomo",ECON110A-MacroeconomicsA(B),SP19,142,93,84.8%,89.1%,5.51,B(3.14),C+(2.67)
"Candido,MariaTeresa",ECON110B-MacroeconomicsB(A),SP19,235,75,97.1%,98.6%,7.49,B+(3.45),B-(2.88)
"Rondina,Giacomo",ECON112-MacroeconomicDataAnalysis(A),SP19,24,16,100.0%,100.0%,6.25,B(3.25),B(3.26)
"Nieto-Barthaburu,Augusto",ECON120A-EconometricsA(A),SP19,59,38,90.9%,87.9%,4.08,B(3.29),B-(2.71)
"Nieto-Barthaburu,Augusto",ECON120A-EconometricsA(B),SP19,146,84,96.2%,96.2%,4.43,B+(3.38),B-(2.71)
"O,MunPyung",ECON120B-EconometricsB(A),SP19,175,108,83.8%,81.9%,6.25,B(3.20),B-(2.89)
"O,MunPyung",ECON120B-EconometricsB(B),SP19,175,97,84.9%,76.1%,6.26,B(3.18),B-(2.89)
"Sun,Yixiao",ECON120C-EconometricsC(A),SP19,157,62,80.3%,80.0%,5.91,B+(3.32),B-(2.89)
