Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"WishardGuerra,AlisonG.",EDS115-CogDevelopment&Education(A),S319,22,6,66.7%,66.7%,5.83,A(4.00),N/A
"Black,AlisonMichelle","EDS117-Language,Culture&Education(A)",S319,39,30,96.7%,100.0%,5.37,A-(3.97),N/A
"Forbes,CherylA","EDS125-Hist,Polic&Theory/BilingualEd(A)",S319,32,3,100.0%,100.0%,3.50,A(4.00),N/A
"Holtzman,CarenLynn",EDS128B-Intro/Teaching&Learning(Elem)(A),S319,24,7,100.0%,100.0%,5.50,A(4.00),N/A
"Dean,DallawrenceEdward",EDS25-AmHigherEdu&CollegiateExper(A),S219,144,72,96.8%,100.0%,4.65,B+(3.69),A-(3.75)
"Dean,DallawrenceEdward",EDS25-AmHigherEdu&CollegiateExper(B),S219,145,95,94.3%,95.4%,3.74,A-(3.73),A-(3.75)
"Cohen,ShanaR",EDS110R-EarlyLearningEnvironments(A),SP19,20,5,100.0%,100.0%,4.50,B+(3.60),B(3.06)
"Cohen,ShanaR",EDS111-ChildFamilyCommunity(A),SP19,42,19,89.5%,88.9%,4.39,A-(3.83),B+(3.68)
"Gallagher-Geurtsen,TriciaMeghan",EDS112-U.S.UrbanEducation(A),SP19,49,40,95.0%,97.5%,4.55,A-(3.84),A-(3.70)
"Contreras,FrancesE.",EDS113-Chicanas/os&LatinosinEdu(A),SP19,53,17,88.2%,76.5%,4.15,A-(3.75),A-(3.82)
"Lockton,Marie",EDS115-CogDevelopment&Education(A),SP19,49,11,100.0%,100.0%,2.70,A-(3.90),A-(3.74)
"Dean,DallawrenceEdward",EDS116-EquityMindedEducation(A),SP19,68,28,100.0%,100.0%,2.93,A(4.00),A-(3.99)
"Dean,DallawrenceEdward",EDS116-EquityMindedEducation(B),SP19,40,11,100.0%,100.0%,2.50,A(4.00),A-(3.99)
"Jones,Makeba","EDS117-Language,Culture&Education(A)",SP19,70,25,95.8%,100.0%,3.30,A-(3.96),A-(3.82)
"Dean,DallawrenceEdward","EDS117-Language,Culture&Education(B)",SP19,32,15,93.3%,92.9%,5.70,A-(3.75),B+(3.64)
"SimonSalazar,HarryLove",EDS118-AdolescentDevlp&Education(A),SP19,29,14,91.7%,81.8%,4.17,B+(3.45),B+(3.68)
"Simon,ElizabethA",EDS124AR-TeachComputation/DigitalWorld(A),SP19,125,27,100.0%,100.0%,7.86,B+(3.55),B+(3.54)
"Gallagher-Geurtsen,TriciaMeghan","EDS125-Hist,Polic&Theory/BilingualEd(A)",SP19,59,56,98.2%,98.2%,3.43,A-(3.85),A-(3.92)
