Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Herbst,Matthew",ENVR142GS-Wilderness&HumValuesAbroad(A),S119,18,8,100.0%,100.0%,6.25,B+(3.63),N/A
"Daly,HeatherMarie",ENVR102-SelectedTopics/EnvironmntlSt(B),SP19,15,6,100.0%,100.0%,5.17,A-(3.80),N/A
"Herbst,Matthew",ENVR140-WildernessandHumanValues(A),SP19,55,24,95.7%,95.7%,5.11,B+(3.55),B+(3.33)
"Herbst,Matthew",ENVR87-FreshmanSeminar(A),SP19,13,6,100.0%,100.0%,1.17,A(4.00),N/A
"Herbst,Matthew",ENVR87-FreshmanSeminar(B),SP19,14,9,100.0%,100.0%,0.72,N/A,N/A
"Patterson,TimothyRaymond",ENVR110-EnvironmentalLaw(B),WI19,62,28,76.9%,88.5%,3.91,B(3.29),B+(3.36)
"Talley,TheresaS.",ENVR120-CoastalEcology(A),WI19,19,13,92.3%,100.0%,4.19,A-(3.83),N/A
"Herbst,Matthew",ENVR141-Wilderness&HumanValueWorksh(A),WI19,6,3,100.0%,100.0%,3.83,A(4.00),N/A
"Henter,HeatherJ.",ENVR102-SelectedTopics/EnvironmntlSt(A),FA18,22,19,94.7%,100.0%,3.45,B+(3.68),B+(3.37)
"Shaheen,Robina",ENVR30-EnvironmentalIssues:NatSci(A),FA18,142,116,54.3%,40.9%,3.74,B+(3.42),B+(3.53)
"Talley,TheresaS.",ENVR120-CoastalEcology(A),SP18,18,4,100.0%,100.0%,4.00,B+(3.67),N/A
"Herbst,Matthew",ENVR140-WildernessandHumanValues(A),SP18,48,21,85.0%,84.2%,4.90,B+(3.44),B(3.11)
"Henter,HeatherJ.",ENVR102-SelectedTopics/EnvironmntlSt(A),WI18,22,18,72.2%,83.3%,4.06,B+(3.35),B+(3.34)
"Ochoa,EdwardHenry",ENVR110-EnvironmentalLaw(A),WI18,63,20,100.0%,94.4%,5.94,B(3.23),B-(2.78)
"Gowan,Jennifer",ENVR30-EnvironmentalIssues:NatSci(A),FA17,118,63,88.5%,89.8%,4.25,B+(3.47),A-(3.71)
"Herbst,Matthew",ENVR140-WildernessandHumanValues(A),S217,10,8,87.5%,87.5%,10.00,B+(3.50),N/A
"Talley,TheresaS.",ENVR120-CoastalEcology(A),SP17,22,22,100.0%,100.0%,3.83,B+(3.57),A-(3.89)
"Herbst,Matthew",ENVR140-WildernessandHumanValues(A),SP17,21,12,100.0%,100.0%,6.17,B+(3.38),B+(3.44)
"Ochoa,EdwardHenry",ENVR110-EnvironmentalLaw(A),WI17,66,27,92.0%,88.0%,6.74,B-(2.95),C+(2.59)
"Herbst,Matthew",ENVR141-Wilderness&HumanValueWorksh(A),WI17,5,5,100.0%,100.0%,6.90,A(4.00),N/A
"Gowan,Jennifer",ENVR30-EnvironmentalIssues:NatSci(A),FA16,115,56,78.6%,64.3%,4.28,B(3.24),B(3.18)
"Eckles,MeganAlma",ENVR102-SelectedTopics/EnvironmntlSt(A),SP16,27,13,100.0%,100.0%,3.58,B+(3.67),A-(3.76)
"Eckles,MeganAlma",ENVR140-WildernessandHumanValues(B),SP16,27,18,100.0%,100.0%,5.79,B+(3.60),B(3.18)
"Ochoa,EdwardHenry",ENVR110-EnvironmentalLaw(A),WI16,54,29,92.9%,92.9%,5.46,B-(2.90),B(3.19)
"Talley,TheresaS.",ENVR120-CoastalEcology(A),WI16,17,12,100.0%,100.0%,3.50,B+(3.55),N/A
"Eckles,MeganAlma",ENVR141-Wilderness&HumanValueWorksh(A),WI16,9,5,100.0%,100.0%,4.50,N/A,N/A
"Eckles,MeganAlma",ENVR30-EnvironmentalIssues:NatSci(A),FA15,119,66,96.8%,96.8%,4.07,B+(3.42),B-(2.91)
"Eckles,MeganAlma",ENVR102-SelectedTopics/EnvironmntlSt(A),SP15,30,14,91.7%,83.3%,3.17,A-(3.75),A-(3.93)
"Niles,JohnO.",ENVR102-SelectedTopics/EnvironmntlSt(B),SP15,23,16,100.0%,100.0%,4.00,B+(3.64),B(3.21)
"Talley,TheresaS.",ENVR120-CoastalEcology(A),SP15,17,15,100.0%,100.0%,3.83,B+(3.67),N/A
"Hineline,MarkLawrence",ENVR140-WildernessandHumanValues(A),SP15,89,30,92.6%,77.8%,4.13,A-(3.78),B+(3.70)
"Ochoa,EdwardHenry",ENVR110-EnvironmentalLaw(A),WI15,39,15,73.3%,73.3%,6.50,B+(3.33),B(3.22)
"Eckles,MeganAlma",ENVR141-Wilderness&HumanValueWorksh(A),WI15,6,3,100.0%,100.0%,3.83,A(4.00),N/A
"Hunefeldt,Christine",ENVR87-FreshmanSeminar(A),WI15,10,3,66.7%,66.7%,0.50,N/A,N/A
"Eckles,MeganAlma",ENVR30-EnvironmentalIssues:NatSci(A),FA14,117,50,98.0%,100.0%,3.60,B+(3.42),B(3.15)
"Eckles,MeganAlma",ENVR102-SelectedTopics/EnvironmntlSt(A),SP14,30,11,100.0%,100.0%,5.10,A-(3.89),A-(3.99)
"Talley,TheresaS.",ENVR120-CoastalEcology(A),SP14,16,16,100.0%,100.0%,4.00,A-(3.94),N/A
"Hineline,MarkLawrence",ENVR140-WildernessandHumanValues(A),SP14,87,29,88.5%,84.6%,3.19,A-(3.91),A-(3.77)
"Ochoa,EdwardHenry",ENVR110-EnvironmentalLaw(A),WI14,39,11,81.8%,81.8%,4.32,B(3.22),B-(2.88)
"Hineline,MarkLawrence",ENVR141-Wilderness&HumanValueWorksh(A),WI14,10,6,100.0%,100.0%,2.83,A(4.00),A(4.00)
"Eckles,MeganAlma",ENVR30-EnvironmentalIssues:NatSci(A),FA13,111,64,98.4%,98.4%,3.09,A-(3.75),B+(3.56)
"Hineline,MarkLawrence",ENVR140-WildernessandHumanValues(A),S213,14,5,100.0%,100.0%,6.90,B+(3.60),N/A
"Eckles,MeganAlma",ENVR102-SelectedTopics/EnvironmntlSt(A),SP13,30,17,94.1%,94.1%,3.68,A-(3.94),A-(3.88)
"Talley,TheresaS.",ENVR120-CoastalEcology(A),SP13,16,13,100.0%,100.0%,4.19,A-(3.77),N/A
"Ochoa,EdwardHenry",ENVR110-EnvironmentalLaw(A),WI13,54,22,86.4%,86.4%,5.14,B(3.15),B+(3.38)
"Hineline,MarkLawrence",ENVR140-WildernessandHumanValues(A),WI13,73,39,94.9%,92.3%,4.19,A-(3.82),A-(3.71)
"Eckles,MeganAlma",ENVR30-EnvironmentalIssues:NatSci(A),FA12,117,48,91.1%,93.3%,3.97,B+(3.38),B(3.02)
"Hineline,MarkLawrence",ENVR140-WildernessandHumanValues(A),S212,21,3,100.0%,100.0%,5.83,A(4.00),B+(3.37)
"Talley,TheresaS.",ENVR120-CoastalEcology(A),SP12,23,20,100.0%,100.0%,5.50,A-(3.72),A(4.00)
"Hilger,JamesR.",ENVR130-EnvironmentalIssues:SocSci(A),SP12,86,39,82.1%,53.8%,4.14,A-(3.74),B-(2.83)
"Ochoa,EdwardHenry",ENVR110-EnvironmentalLaw(A),WI12,51,28,82.1%,85.7%,6.21,B(3.23),B(3.25)
"Hineline,MarkLawrence",ENVR140-WildernessandHumanValues(A),WI12,79,43,95.3%,93.0%,4.31,A-(3.78),B+(3.50)
"Dayton,PaulK.",ENVR87-FreshmanSeminar(A),WI12,19,12,90.9%,100.0%,0.50,N/A,N/A
"Talley,TheresaS.",ENVR30-EnvironmentalIssues:NatSci(A),FA11,103,95,91.5%,94.7%,4.82,B+(3.67),B+(3.65)
"Dayton,PaulK.",ENVR87-FreshmanSeminar(A),FA11,15,12,100.0%,100.0%,0.83,A(4.00),N/A
"Niles,JohnO.",ENVR102-SelectedTopics/EnvironmntlSt(A),SP11,33,20,95.0%,95.0%,5.60,B(3.28),B(3.21)
"Talley,TheresaS.",ENVR120-CoastalEcology(A),SP11,22,15,100.0%,100.0%,3.43,A-(3.85),A-(3.88)
"Hilger,JamesR.",ENVR130-EnvironmentalIssues:SocSci(A),SP11,66,57,71.9%,48.2%,3.45,B+(3.33),B(3.23)
"Ochoa,EdwardHenry",ENVR110-EnvironmentalLaw(A),WI11,45,29,96.6%,89.7%,5.88,B+(3.39),A-(3.74)
"Hineline,MarkLawrence",ENVR140-WildernessandHumanValues(A),WI11,85,39,97.4%,97.4%,3.58,B+(3.53),B+(3.38)
"Dayton,PaulK.",ENVR87-FreshmanSeminar(A),WI11,19,12,100.0%,100.0%,0.68,A(4.00),N/A
"Hineline,MarkLawrence",ENVR141-Wilderness&HumanValueWorksh(A),FA10,9,7,83.3%,100.0%,4.83,A(4.00),N/A
"Griest,Kim",ENVR30-EnvironmentalIssues:NatSci(A),FA10,128,65,87.7%,87.5%,4.28,B+(3.47),B(3.03)
"Talley,TheresaS.",ENVR120-CoastalEcology(A),SP10,16,9,100.0%,100.0%,4.06,B+(3.67),N/A
"Callender,CraigAdam",ENVR130-EnvironmentalIssues:SocSci(A),SP10,101,55,85.5%,66.7%,4.09,B(3.29),B(3.28)
"Hineline,MarkLawrence",ENVR140-WildernessandHumanValues(A),SP10,98,46,87.0%,76.1%,2.76,A-(3.83),A-(3.72)
"Niles,JohnO.",ENVR102-SelectedTopics/EnvironmntlSt(A),WI10,39,17,94.1%,94.1%,4.97,B+(3.67),B+(3.44)
"Ochoa,EdwardHenry",ENVR110-EnvironmentalLaw(A),WI10,47,21,95.2%,100.0%,5.64,B+(3.69),B+(3.33)
"Kleissl,Jan",ENVR87-FreshmanSeminar(A),WI10,9,6,100.0%,100.0%,0.90,A(4.00),N/A
"Griest,Kim",ENVR30-EnvironmentalIssues:NatSci(A),FA09,112,63,80.6%,83.6%,3.07,B+(3.45),B-(2.79)
"Martin,EricCollin",ENVR102-SelectedTopics/EnvironmntlSt(A),SP09,25,17,100.0%,100.0%,4.26,B+(3.67),B(3.24)
