Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Herbst,Matthew",ERC192-ERCSeniorSeminar(A),SP19,28,8,100.0%,100.0%,2.21,N/A,N/A
"Evans,IvanT",ERC89-PracticuminMathTutoring(A),SP19,7,3,100.0%,100.0%,5.83,A(4.00),N/A
"Evans,IvanT",ERC192A-GlobalServicePrepSeminar(A),WI19,14,5,100.0%,75.0%,2.50,A(4.00),N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(A),WI19,21,13,100.0%,100.0%,0.50,A(4.00),N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(A),WI19,11,8,100.0%,100.0%,0.50,A(4.00),N/A
"Herbst,Matthew",ERC1-FirstYearExperience(A),FA18,103,74,81.9%,95.8%,1.06,A-(3.71),N/A
"Herbst,Matthew",ERC2-TransferYearExperience(A),FA18,43,24,95.5%,100.0%,1.68,A(4.00),N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(A),FA18,16,9,100.0%,100.0%,0.94,A(4.00),N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(B),FA18,14,12,100.0%,100.0%,0.86,A(4.00),N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(A),FA18,13,9,100.0%,100.0%,1.17,A(4.00),N/A
"Evans,IvanT",ERC190GS-EnvironSustainability/Zambia(A),S118,24,5,100.0%,100.0%,1.50,A(4.00),A(4.00)
"Herbst,Matthew",ERC87-FreshmanSeminar(A),SP18,11,8,100.0%,100.0%,1.00,A(4.00),N/A
"Evans,IvanT",ERC89-PracticuminMathTutoring(A),SP18,5,3,100.0%,66.7%,3.83,N/A,N/A
"Evans,IvanT",ERC192-ERCSeniorSeminar(A),WI18,20,10,100.0%,100.0%,1.30,A(4.00),N/A
"Evans,IvanT",ERC192A-GlobalServicePrepSeminar(A),WI18,26,15,85.7%,78.6%,1.64,B+(3.50),B+(3.59)
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(A),WI18,20,11,100.0%,88.9%,0.50,N/A,N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(B),WI18,7,7,100.0%,100.0%,1.64,A(4.00),N/A
"Herbst,Matthew",ERC1-FirstYearExperience(A),FA17,94,63,91.5%,100.0%,0.84,A-(3.92),N/A
"Evans,IvanT",ERC2-TransferYearExperience(A),FA17,43,23,78.3%,100.0%,1.20,A(4.00),N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(A),FA17,15,10,100.0%,100.0%,0.70,A(4.00),N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(B),FA17,15,6,100.0%,100.0%,0.50,A(4.00),N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(A),FA17,13,10,100.0%,90.0%,1.10,A(4.00),N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(B),FA17,10,6,100.0%,100.0%,1.50,A(4.00),N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(A),SP17,22,4,100.0%,100.0%,0.50,N/A,N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(A),SP17,10,4,100.0%,100.0%,1.17,N/A,N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(B),SP17,13,6,100.0%,100.0%,1.30,A(4.00),N/A
"Evans,IvanT",ERC192A-GlobalServicePrepSeminar(A),WI17,14,4,100.0%,75.0%,0.50,A(4.00),N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(A),WI17,35,10,100.0%,87.5%,0.50,A(4.00),N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(A),WI17,6,5,100.0%,100.0%,0.90,N/A,N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(B),WI17,12,6,100.0%,100.0%,0.83,N/A,N/A
"Evans,IvanT",ERC89-PracticuminMathTutoring(A),WI17,9,5,75.0%,75.0%,4.00,A(4.00),N/A
"Herbst,Matthew",ERC1-FirstYearExperience(A),FA16,87,42,89.7%,97.4%,1.63,A-(3.92),N/A
"Brydges,Stacey",ERC2-TransferYearExperience(A),FA16,12,7,100.0%,100.0%,0.50,A(4.00),N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(A),FA16,19,9,88.9%,100.0%,0.94,N/A,N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(B),FA16,21,12,100.0%,100.0%,1.50,A(4.00),N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(A),FA16,9,6,100.0%,100.0%,1.17,N/A,N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(B),FA16,9,8,100.0%,100.0%,0.50,N/A,N/A
"Evans,IvanT",ERC89-PracticuminMathTutoring(A),FA16,10,4,66.7%,66.7%,1.83,N/A,N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(A),SP16,19,8,100.0%,100.0%,1.50,N/A,N/A
"Evans,IvanT",ERC89-PracticuminMathTutoring(A),SP16,16,8,87.5%,62.5%,4.25,A(4.00),N/A
"Murillo,DanaV.",ERC192A-GlobalServicePrepSeminar(A),WI16,9,4,100.0%,100.0%,2.00,A(4.00),N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(A),WI16,21,16,93.3%,100.0%,0.50,A(4.00),N/A
"Evans,IvanT",ERC89-PracticuminMathTutoring(A),WI16,13,5,80.0%,60.0%,4.90,N/A,N/A
"Herbst,Matthew",ERC1-FirstYearExperience(A),FA15,87,44,90.9%,100.0%,1.55,A-(3.75),N/A
"Evans,IvanT",ERC2-TransferYearExperience(A),FA15,19,14,76.9%,100.0%,2.17,A(4.00),N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(A),FA15,24,13,100.0%,100.0%,0.50,N/A,N/A
"Evans,IvanT",ERC20-FrshmnHonorsSem:IntntlTheme(B),FA15,21,11,90.9%,90.9%,0.50,A-(3.75),N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(A),FA15,11,10,90.0%,90.0%,1.30,A(4.00),N/A
"Evans,IvanT",ERC89-PracticuminMathTutoring(A),FA15,15,7,100.0%,85.7%,1.83,N/A,N/A
"Madsen,RichardP.",ERC20-FrshmnHonorsSem:IntntlTheme(B),SP15,12,6,100.0%,100.0%,2.10,A(4.00),N/A
"Herbst,Matthew",ERC87-FreshmanSeminar(A),SP15,9,6,100.0%,100.0%,1.70,N/A,N/A
