Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Aluwihare,Lihini",ESYS10-IntrotoEnvironmentalSystems(A),SP19,31,13,69.2%,84.6%,3.50,B+(3.45),A-(3.71)
"Teranes,Jane",ESYS103-EnvrnmntlChall:Science&Sol(A),SP19,105,38,94.4%,100.0%,3.56,B+(3.44),B(3.24)
"Teranes,Jane",ESYS190B-EnvirSys/SeniorSeminar(A),SP19,57,11,100.0%,100.0%,9.05,A-(3.91),A-(3.91)
"Russell,LynnM.",ESYS102-TheSolidandFluidEarth(A),WI19,92,41,91.4%,94.3%,4.90,B+(3.43),B-(2.87)
"Allen,Eric",ESYS101-EnvironmentalBiology(A),FA18,145,61,94.7%,94.7%,3.88,B+(3.50),B+(3.31)
"Taylor,JenniferRebecca",ESYS101-EnvironmentalBiology(A),FA18,146,61,94.7%,90.9%,3.88,B+(3.50),B+(3.31)
"Teranes,Jane",ESYS90-UndergraduateSeminar(A),FA18,26,18,100.0%,93.8%,0.50,A(4.00),N/A
"Teranes,Jane",ESYS103-EnvrnmntlChall:Science&Sol(A),SP18,95,32,93.5%,96.8%,4.44,B+(3.41),B(3.20)
"Teranes,Jane",ESYS190B-EnvirSys/SeniorSeminar(A),SP18,54,11,100.0%,100.0%,4.14,A-(3.82),A-(3.90)
"Minster,JeanBernardH.",ESYS102-TheSolidandFluidEarth(A),WI18,113,47,93.3%,88.6%,4.68,B+(3.31),B-(2.86)
"Russell,LynnM.",ESYS102-TheSolidandFluidEarth(A),WI18,113,47,93.3%,88.6%,4.68,B+(3.31),B-(2.86)
"Teranes,Jane",ESYS90-UndergraduateSeminar(A),WI18,14,11,100.0%,100.0%,0.50,A(4.00),N/A
"Teranes,Jane",ESYS10-IntrotoEnvironmentalSystems(A),FA17,57,28,92.6%,92.6%,3.09,A-(3.75),B+(3.62)
"Allen,Eric",ESYS101-EnvironmentalBiology(A),FA17,142,58,98.1%,98.1%,3.99,B+(3.56),B(3.29)
"Taylor,JenniferRebecca",ESYS101-EnvironmentalBiology(A),FA17,142,58,98.1%,90.4%,3.99,B+(3.56),B(3.29)
"Teranes,Jane",ESYS103-EnvrnmntlChall:Science&Sol(A),SP17,71,29,96.4%,92.9%,4.79,B+(3.52),B(3.16)
"Teranes,Jane",ESYS190B-EnvirSys/SeniorSeminar(A),SP17,42,10,100.0%,100.0%,4.06,A-(3.88),A-(3.91)
"Minster,JeanBernardH.",ESYS102-TheSolidandFluidEarth(A),WI17,84,38,86.1%,44.4%,4.22,B(3.11),B(3.14)
"Russell,LynnM.",ESYS102-TheSolidandFluidEarth(A),WI17,83,38,86.1%,86.1%,4.28,B(3.14),B(3.14)
"Allen,Eric",ESYS101-EnvironmentalBiology(A),FA16,124,48,84.1%,100.0%,3.66,B(3.20),B(3.27)
"Taylor,JenniferRebecca",ESYS101-EnvironmentalBiology(A),FA16,126,47,83.7%,88.4%,3.79,B(3.18),B(3.27)
"Teranes,Jane",ESYS87-FreshmanSeminar(A),FA16,16,7,83.3%,100.0%,3.83,N/A,N/A
"Teranes,Jane",ESYS90-UndergraduateSeminar(A),FA16,22,10,88.9%,100.0%,0.50,A(4.00),N/A
"Cramer,KatieLynn",ESYS10-IntrotoEnvironmentalSystems(A),SP16,35,27,96.3%,100.0%,3.24,B(3.29),B(3.26)
"Haymet,Anthony",ESYS10-IntrotoEnvironmentalSystems(A),SP16,33,25,96.0%,56.0%,3.30,B(3.23),B(3.26)
"Teranes,Jane",ESYS103-EnvrnmntlChall:Science&Sol(A),SP16,93,39,91.7%,94.4%,4.79,B+(3.60),B(3.27)
"Teranes,Jane",ESYS190B-EnvirSys/SeniorSeminar(A),SP16,40,22,95.2%,100.0%,6.50,A-(3.95),A-(3.83)
"Key,KerryWilliam",ESYS102-TheSolidandFluidEarth(A),WI16,93,48,93.0%,97.6%,3.74,B(3.26),B(3.06)
"Russell,LynnM.",ESYS102-TheSolidandFluidEarth(A),WI16,92,46,92.9%,68.3%,3.77,B(3.27),B(3.06)
"Allen,Eric",ESYS101-EnvironmentalBiology(A),FA15,130,45,95.3%,97.7%,4.93,B+(3.38),B(3.23)
"Taylor,JenniferRebecca",ESYS101-EnvironmentalBiology(A),FA15,132,45,95.3%,83.7%,4.88,B+(3.38),B(3.23)
"Teranes,Jane",ESYS90-UndergraduateSeminar(A),FA15,27,15,100.0%,100.0%,1.64,A(4.00),N/A
"Eckles,MeganAlma",ESYS190B-EnvirSys/SeniorSeminar(A),S115,8,3,66.7%,100.0%,9.17,A(4.00),N/A
"Teranes,Jane",ESYS103-EnvrnmntlChall:Science&Sol(A),SP15,76,34,97.1%,97.1%,3.79,B+(3.67),B+(3.32)
"Teranes,Jane",ESYS190B-EnvirSys/SeniorSeminar(A),SP15,21,12,100.0%,100.0%,8.68,A-(3.80),A-(3.95)
"Teranes,Jane",ESYS190B-EnvirSys/SeniorSeminar(B),SP15,20,9,100.0%,100.0%,5.39,A-(3.86),A-(3.95)
"Haymet,Anthony",ESYS10-IntrotoEnvironmentalSystems(A),WI15,57,30,75.9%,69.0%,3.79,B(3.11),B(3.09)
"Key,KerryWilliam",ESYS102-TheSolidandFluidEarth(A),WI15,105,44,87.5%,95.0%,4.00,B+(3.36),B(3.08)
