Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Choi,EstherMin","ETHN108-Race,Culture&SocialChange(A)",S219,18,7,85.7%,85.7%,5.07,B+(3.57),N/A
"Vazquez,Cynthia",ETHN110-WrldViews/IndigenousAmerica(A),S219,26,19,78.9%,63.2%,4.61,B+(3.47),B+(3.37)
"Linton,MellissaFranceska",ETHN2-Intro:CirculationsofDifference(A),S219,96,33,89.7%,96.2%,3.21,A-(3.76),A-(3.78)
"Jones,AundreyMaurice",ETHN101-EthnicImagesinFilm(A),S119,9,5,100.0%,100.0%,5.70,A-(3.75),N/A
"Daly,HeatherMarie",ETHN112A-History/NativeAmericans/USI(A),S119,14,5,100.0%,100.0%,4.90,B+(3.40),N/A
"Shaikh,Hina",ETHN127-Sexuality&Nation(A),S119,11,9,88.9%,88.9%,5.83,A-(3.88),N/A
"Aguilar,KevanAntonio",ETHN131-Social&EconHist/SouthwestII(A),S119,10,5,100.0%,100.0%,6.50,A(4.00),N/A
"Padilla,Omar","ETHN182-Race,Gender,SexualitySciFi(A)",S119,34,30,96.6%,100.0%,4.90,A-(3.76),A(4.00)
"Saisi,BokeNyaboke","ETHN183-Gender,Race,Ethnicity&Class(A)",S119,11,6,80.0%,60.0%,3.30,A-(3.80),N/A
"Fuste,JoseIgnacio",ETHN100C-SocialJusticePraxis(A),SP19,33,17,100.0%,94.1%,5.38,B+(3.69),A-(3.85)
"Visweswaran,Kamala",ETHN102-SciandTechn:Race/Gendr/Class(A),SP19,26,7,40.0%,60.0%,4.10,C+(2.67),B+(3.48)
"Ho,Lisa",ETHN109-Race&SocialMovements(A),SP19,35,7,100.0%,85.7%,1.83,B+(3.40),B+(3.34)
"Shaikh,Hina","ETHN115-Monsters,OrphansandRobots(A)",SP19,38,16,100.0%,100.0%,3.79,B+(3.69),B+(3.47)
"Perez,CrystalRoxanaRamirez",ETHN119-RaceintheAmericas(A),SP19,32,23,85.7%,90.5%,3.90,B+(3.58),B(3.27)
"Man,SimeonS",ETHN120D-Race&OralHist.inSanDiego(A),SP19,13,7,85.7%,100.0%,6.79,B+(3.57),N/A
"Ho,Lisa",ETHN122-AsianAmericanCult&Identity(A),SP19,35,15,92.9%,92.9%,3.36,A-(3.77),A-(3.74)
"Kheshti,Roshanak",ETHN127-Sexuality&Nation(A),SP19,24,8,66.7%,83.3%,3.83,B+(3.50),A-(3.76)
"Linton,MellissaFranceska",ETHN129-Asn&LatnaImmgrntWrkrs/GlblE(A),SP19,20,8,100.0%,100.0%,5.64,B+(3.67),A-(3.70)
"Kharputly,NadeenShB",ETHN142-Medcn/Race&GloblPoli/Inequity(A),SP19,54,16,100.0%,86.7%,2.75,A-(3.88),B+(3.65)
"Marez,CurtisF.",ETHN143-Chicana/oFilm&MediaStudies(A),SP19,34,16,100.0%,100.0%,3.13,A-(3.86),A-(3.80)
"Kharputly,NadeenShB",ETHN153-Citizenship&CivilRts/20thc(A),SP19,27,11,100.0%,100.0%,3.77,A-(3.90),B+(3.45)
"Jones,AundreyMaurice",ETHN161-BlackPoli&Protestsince1941(A),SP19,16,3,100.0%,100.0%,3.17,A(4.00),N/A
"Allen,RachelElizabeth",ETHN179-DiscoverJazz(A),SP19,30,27,85.2%,88.9%,2.57,B+(3.41),B+(3.30)
"Taylor-Garcia,Daphne","ETHN183-Gender,Race,Ethnicity&Class(A)",SP19,21,6,100.0%,100.0%,6.50,B(3.25),B+(3.43)
"Hidalgo,MelissaMartha",ETHN187-LatinxSexualities(A),SP19,9,3,100.0%,100.0%,3.83,B+(3.67),N/A
"Patel,Shaista",ETHN189-SpecialTopics/EthnicStudies(A),SP19,24,13,91.7%,100.0%,5.17,A-(3.73),B+(3.32)
"Streeby,Shelley",ETHN189-SpecialTopics/EthnicStudies(B),SP19,11,8,100.0%,100.0%,6.75,A-(3.71),N/A
"Streeby,Shelley",ETHN3-Intro:MakingCulture(A),SP19,386,233,81.6%,87.3%,3.66,A-(3.72),A-(3.73)
"Taylor-Garcia,Daphne",ETHN100B-InterdisciplinaryMethodologies(A),WI19,33,9,88.9%,88.9%,4.00,A-(3.75),A-(3.81)
"Fuste,JoseIgnacio",ETHN101-EthnicImagesinFilm(A),WI19,70,30,100.0%,100.0%,3.29,A-(3.75),B+(3.65)
"Kharputly,NadeenShB","ETHN104-Race,Space,&Segregation(A)",WI19,49,24,100.0%,100.0%,3.33,B+(3.70),B+(3.52)
"Perez,CrystalRoxanaRamirez",ETHN116-US-MexicoBordr/Comp.Perspect(A),WI19,34,12,100.0%,100.0%,5.30,B+(3.67),B+(3.32)
"Kharputly,NadeenShB",ETHN117-OrganicSocialMovements(A),WI19,46,29,100.0%,100.0%,3.79,A-(3.74),A-(3.76)
"Ho,Lisa",ETHN121-ContempAsianAmericanHistory(A),WI19,43,16,100.0%,100.0%,3.43,A-(3.80),A-(3.86)
"Marez,CurtisF.",ETHN139-ChicanoLiteratureinEnglish(A),WI19,25,15,93.3%,100.0%,4.77,B+(3.64),B(3.21)
"Taylor-Garcia,Daphne","ETHN150-Visuality,Sexuality,andRace(A)",WI19,13,9,100.0%,100.0%,5.36,B(3.17),N/A
"Espiritu,Yen",ETHN155-U.S.Militarism(A),WI19,36,13,100.0%,100.0%,4.35,B+(3.67),B(3.27)
"Davis,AnthonyCurtis",ETHN179-DiscoverJazz(A),WI19,22,8,57.1%,71.4%,3.07,B(3.00),B(3.17)
"Streeby,Shelley","ETHN182-Race,Gender,SexualitySciFi(A)",WI19,48,42,97.6%,100.0%,4.12,B+(3.59),A-(3.78)
"Ho,Lisa",ETHN189-SpecialTopics/EthnicStudies(A),WI19,23,10,87.5%,100.0%,4.00,A-(3.75),B+(3.60)
"Dorr,KirstieA.",ETHN2-Intro:CirculationsofDifference(A),WI19,389,191,74.7%,70.8%,3.52,B+(3.63),B+(3.60)
"Gore,DayoF.",ETHN1-Intro:LandandLabor(A),FA18,385,203,81.3%,77.5%,3.97,B+(3.59),B+(3.56)
"Espiritu,Yen",ETHN100A-TheoreticalApproaches(A),FA18,37,14,92.9%,85.7%,5.64,B(3.00),B-(2.85)
"Kharputly,NadeenShB",ETHN103-EnvironmentalRacism(A),FA18,34,27,100.0%,100.0%,3.24,A-(3.83),A-(3.72)
"Montesinos,JorgeRoberto",ETHN113-DecolonizingEducation(A),FA18,30,9,87.5%,75.0%,2.50,A-(3.88),A(4.00)
"Dorr,KirstieA.",ETHN118-ContempraryImmigrationIssues(A),FA18,53,21,100.0%,100.0%,4.90,B+(3.60),A-(3.87)
"Ho,Lisa",ETHN123-AsianAmericanPolitics(A),FA18,33,15,93.3%,100.0%,3.21,A-(3.77),A-(3.81)
"Ho,Lisa",ETHN151-EthnicPoliticsinAmerica(A),FA18,35,16,100.0%,100.0%,3.13,B+(3.67),B+(3.59)
"Kharputly,NadeenShB",ETHN152-LawandCivilRights(A),FA18,32,25,100.0%,100.0%,3.54,B+(3.68),B+(3.63)
"Patel,Shaista",ETHN163E-DecolonialTheory(A),FA18,14,6,100.0%,100.0%,4.50,B+(3.60),N/A
"Nicolazzo,SarahE.",ETHN168-ComparativeEthnicLiterature(A),FA18,9,3,100.0%,100.0%,5.17,B+(3.50),N/A
"Borgo,DavidGarcia",ETHN178-Blues:AnOralTradition(A),FA18,29,20,85.0%,85.0%,2.40,A-(3.79),B+(3.61)
"Daly,HeatherMarie","ETHN185-Discourse,Power&Inequality(A)",FA18,28,13,84.6%,75.0%,3.58,B+(3.67),B+(3.53)
"Blaise,JeanG",ETHN190-ResearchMethods/Ethnic&Racial(A),FA18,7,3,100.0%,100.0%,3.50,A(4.00),N/A
"Kozen,CathleenKiyomi",ETHN20-IntrotoAsianAmerStudies(B),FA18,56,23,80.0%,55.0%,4.20,B+(3.53),B+(3.39)
"GarciaHernandez,Yessica",ETHN101-EthnicImagesinFilm(A),S218,23,6,100.0%,100.0%,6.83,A-(3.83),B+(3.53)
"Quintanilla,LeslieJocelyn",ETHN103-EnvironmentalRacism(A),S218,31,19,94.7%,94.7%,6.18,B+(3.56),B+(3.55)
"Hidalgo,MelissaMartha",ETHN132-ChicanoDramaticLiterature(A),S218,12,4,100.0%,66.7%,5.00,B+(3.50),N/A
"Celleri,Maria",ETHN127-Sexuality&Nation(A),S118,20,6,83.3%,100.0%,4.50,B+(3.50),B+(3.65)
"Padilla,Omar","ETHN182-Race,Gender,SexualitySciFi(A)",S118,28,26,100.0%,100.0%,4.42,A-(3.76),A-(3.97)
"Nguyen,LyThuy","ETHN183-Gender,Race,Ethnicity&Class(A)",S118,11,3,100.0%,100.0%,4.50,B+(3.33),N/A
"Yang,K.Wayne",ETHN100C-SocialJusticePraxis(A),SP18,38,14,100.0%,100.0%,6.67,A-(3.85),A(4.00)
"Marez,CurtisF.",ETHN101-EthnicImagesinFilm(A),SP18,52,21,94.7%,100.0%,3.50,B+(3.63),B+(3.53)
"Celleri,Maria","ETHN106-Life,DeathandtheHuman(A)",SP18,33,16,100.0%,100.0%,4.13,B+(3.63),B+(3.61)
"DeLeon,Justin",ETHN110-WrldViews/IndigenousAmerica(A),SP18,39,23,100.0%,100.0%,3.72,A(4.00),A-(3.96)
"DeLeon,Justin",ETHN111-NativeAmericanLiterature(A),SP18,42,15,100.0%,100.0%,4.64,A-(3.83),A-(3.89)
"Kharputly,NadeenShB",ETHN118-ContempraryImmigrationIssues(A),SP18,35,29,100.0%,100.0%,3.81,B+(3.48),B+(3.34)
"Hidalgo,MelissaMartha",ETHN120-Race/Perfrm:PoltcsPoplrCult(A),SP18,30,5,100.0%,100.0%,2.50,B+(3.40),B+(3.34)
"Blanco,JohnD",ETHN124-AsianAmericanLiterature(A),SP18,34,16,80.0%,86.7%,4.10,B+(3.54),A-(3.76)
"Dorr,KirstieA.",ETHN127-Sexuality&Nation(A),SP18,24,8,100.0%,100.0%,4.75,B+(3.67),A-(3.77)
"Ho,Lisa",ETHN129-Asn&LatnaImmgrntWrkrs/GlblE(A),SP18,20,7,100.0%,100.0%,5.93,B+(3.57),A-(3.88)
"Williams,RobertZachary",ETHN149-AfricanAmrcnHist/the20thC.(A),SP18,15,4,100.0%,100.0%,3.83,A(4.00),N/A
"Suzuki,ErinM.",ETHN168-ComparativeEthnicLiterature(A),SP18,9,4,100.0%,100.0%,4.50,A(4.00),N/A
"Davis,AnthonyCurtis",ETHN179-DiscoverJazz(A),SP18,18,6,50.0%,50.0%,3.70,B(3.00),N/A
"Taylor-Garcia,Daphne","ETHN183-Gender,Race,Ethnicity&Class(A)",SP18,18,7,100.0%,100.0%,3.93,B+(3.60),N/A
"Zarate,SalvadorElias",ETHN187-LatinxSexualities(A),SP18,14,8,100.0%,100.0%,5.75,B+(3.63),N/A
"Kharputly,NadeenShB",ETHN189-SpecialTopics/EthnicStudies(A),SP18,10,6,100.0%,100.0%,4.17,B+(3.67),N/A
"Kheshti,Roshanak",ETHN3-Intro:MakingCulture(A),SP18,398,149,78.3%,85.0%,3.92,A-(3.74),A-(3.80)
"Marez,CurtisF.",ETHN100B-InterdisciplinaryMethodologies(A),WI18,41,8,57.1%,66.7%,3.00,A-(3.88),B+(3.64)
"DeLeon,Justin","ETHN104-Race,Space,&Segregation(A)",WI18,64,28,100.0%,96.2%,4.04,B+(3.68),A-(3.80)
"Duzel,Esin",ETHN109-Race&SocialMovements(A),WI18,17,11,90.9%,90.9%,4.50,B+(3.60),N/A
"DeLeon,Justin",ETHN113-DecolonizingEducation(A),WI18,33,13,100.0%,100.0%,4.65,A-(3.77),A-(3.93)
"Alomar,Maisam",ETHN119-RaceintheAmericas(A),WI18,13,7,100.0%,100.0%,6.50,B(3.29),N/A
"Nguyen,LyThuy",ETHN122-AsianAmericanCult&Identity(A),WI18,45,24,91.3%,82.6%,3.14,B+(3.55),B+(3.43)
"Hernandez,Jillian",ETHN137-LatinaIssues&CulturalProd.(A),WI18,10,5,100.0%,100.0%,4.50,A-(3.80),N/A
"Taylor-Garcia,Daphne","ETHN150-Visuality,Sexuality,andRace(A)",WI18,15,12,100.0%,100.0%,5.00,A-(3.73),N/A
"Kharputly,NadeenShB",ETHN151-EthnicPoliticsinAmerica(A),WI18,9,8,100.0%,100.0%,3.75,A(4.00),N/A
"Ho,Lisa",ETHN152-LawandCivilRights(A),WI18,37,19,82.4%,88.2%,3.32,A-(3.76),A-(3.77)
"Burelle,JulieSaraVeronique",ETHN163F-PlayingIndian:NativeAmCinem(A),WI18,17,7,100.0%,100.0%,1.93,A-(3.83),N/A
"Kharputly,NadeenShB",ETHN166-Topic:Arab/MuslimAmerIdenty(A),WI18,10,7,100.0%,100.0%,4.79,A-(3.83),N/A
"Nordeson,KjellGunnar",ETHN179-DiscoverJazz(A),WI18,16,9,75.0%,75.0%,3.00,B+(3.57),N/A
"Streeby,Shelley","ETHN182-Race,Gender,SexualitySciFi(A)",WI18,35,12,58.3%,63.6%,4.00,A-(3.89),A-(3.81)
"Hidalgo,MelissaMartha","ETHN185-Discourse,Power&Inequality(A)",WI18,18,7,66.7%,66.7%,5.83,B(3.20),N/A
"Espiritu,Yen",ETHN2-Intro:CirculationsofDifference(A),WI18,369,201,90.6%,89.4%,3.42,A-(3.78),A-(3.81)
"Frank,RossH.",ETHN1-Intro:LandandLabor(A),FA17,385,183,65.5%,52.6%,3.89,B+(3.57),B+(3.59)
"Espiritu,Yen",ETHN100A-TheoreticalApproaches(A),FA17,35,11,100.0%,100.0%,7.41,B+(3.36),B+(3.46)
"DeLeon,Justin",ETHN103-EnvironmentalRacism(A),FA17,48,23,95.5%,100.0%,4.95,A-(3.86),A-(3.78)
"Kharputly,NadeenShB",ETHN105-EthnicDiversityandtheCity(A),FA17,26,15,93.3%,93.3%,7.03,A-(3.71),B+(3.51)
"Hidalgo,MelissaMartha",ETHN116-US-MexicoBordr/Comp.Perspect(A),FA17,20,8,87.5%,100.0%,7.75,B+(3.63),B+(3.65)
"Visweswaran,Kamala",ETHN141-GandhiintheModernWorld(A),FA17,14,3,100.0%,100.0%,3.83,A(4.00),N/A
"Hidalgo,MelissaMartha",ETHN143-Chicana/oFilm&MediaStudies(A),FA17,24,5,100.0%,100.0%,5.70,B+(3.40),B+(3.65)
"Espiritu,Yen",ETHN155-U.S.Militarism(A),FA17,44,17,87.5%,86.7%,5.38,B+(3.44),B+(3.47)
"DeLeon,Justin",ETHN160-GlobalIndigenousStudies(A),FA17,22,7,100.0%,100.0%,8.90,A-(3.75),B+(3.46)
