Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(A),SP19,20,12,100.0%,100.0%,0.67,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(B),SP19,20,8,100.0%,100.0%,1.50,N/A,N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(D),SP19,18,5,80.0%,80.0%,0.90,N/A,N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),WI19,14,6,100.0%,100.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),WI19,14,7,100.0%,100.0%,1.07,B+(3.50),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(C),WI19,15,5,100.0%,100.0%,0.50,N/A,N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(D),WI19,15,7,100.0%,100.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),FA18,19,8,100.0%,100.0%,0.50,B(3.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),FA18,19,11,90.0%,100.0%,0.50,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(C),FA18,20,9,87.5%,87.5%,0.75,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(D),FA18,19,10,100.0%,100.0%,0.50,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(E),FA18,10,5,100.0%,100.0%,0.50,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(E),SP18,15,4,100.0%,100.0%,0.50,N/A,N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(F),SP18,17,6,60.0%,60.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(G),SP18,12,7,100.0%,100.0%,0.79,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(H),SP18,8,5,100.0%,100.0%,0.50,N/A,N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(A),WI18,19,13,100.0%,100.0%,0.68,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(B),WI18,13,9,100.0%,100.0%,0.50,N/A,N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(C),WI18,18,9,100.0%,100.0%,0.94,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(D),WI18,15,11,100.0%,100.0%,0.70,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(E),WI18,17,12,90.9%,90.9%,0.67,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(A),FA17,19,11,100.0%,100.0%,0.50,N/A,N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(B),FA17,18,10,90.0%,100.0%,0.70,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),SP17,18,10,100.0%,100.0%,1.17,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),SP17,17,6,100.0%,100.0%,1.17,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(C),SP17,18,11,100.0%,100.0%,0.50,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(D),SP17,18,4,75.0%,75.0%,1.50,B(3.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(A),WI17,16,8,85.7%,85.7%,2.21,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(B),WI17,18,11,100.0%,100.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(C),WI17,15,11,100.0%,100.0%,1.05,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(D),WI17,17,5,100.0%,100.0%,0.90,N/A,N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),FA16,21,13,100.0%,100.0%,0.50,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(D),FA16,19,9,83.3%,100.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(E),FA16,20,11,80.0%,90.0%,0.70,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(F),FA16,18,6,100.0%,80.0%,0.50,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(A),SP16,19,8,100.0%,100.0%,0.75,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(B),SP16,19,9,100.0%,100.0%,1.17,N/A,N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(C),SP16,15,6,100.0%,100.0%,0.50,N/A,N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(D),SP16,17,6,100.0%,100.0%,0.83,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(A),WI16,18,12,100.0%,100.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),WI16,18,13,100.0%,100.0%,0.67,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(C),WI16,18,10,100.0%,100.0%,0.50,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(D),WI16,19,7,100.0%,100.0%,0.50,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(A),FA15,19,12,100.0%,100.0%,0.50,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(D),FA15,18,13,69.2%,100.0%,0.65,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(A),SP15,15,7,100.0%,100.0%,3.07,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),SP15,19,11,100.0%,100.0%,0.50,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(C),SP15,18,8,100.0%,100.0%,0.79,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(D),SP15,18,10,100.0%,100.0%,0.50,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(A),WI15,19,10,100.0%,100.0%,0.90,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),WI15,21,11,100.0%,100.0%,2.14,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(C),WI15,15,10,100.0%,100.0%,0.50,A(4.00),N/A
"Rahimi,Babak",FILM87-FilmStudiesFreshmanSeminar(A),FA14,20,13,90.9%,90.9%,1.17,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(B),FA14,21,12,100.0%,100.0%,0.86,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(C),FA14,17,12,91.7%,91.7%,0.67,A(4.00),N/A
"Havis,Allan",FILM87-FilmStudiesFreshmanSeminar(A),SP14,17,10,100.0%,100.0%,0.70,A(4.00),N/A
