Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Hall,MatthewAaron",HIEU137-NewImperialsmtoDecoloniztn(A),S219,20,10,88.9%,100.0%,2.90,A-(3.89),A-(3.76)
"Gray,TaylorErin",HIEU152-EverydayLife/DictatorialSoc(A),S219,22,20,90.0%,90.0%,7.40,B(3.22),B(3.24)
"Marcos,PatriciaMartins",HILD30-HistoryofPublicHealth(A),S219,8,4,75.0%,75.0%,5.50,B(3.00),N/A
"Ramirez,Jorge",HILD7C-Race&Ethnicity/UnitedStates(A),S219,20,5,80.0%,75.0%,6.50,B+(3.60),B+(3.47)
"Golan,Tal",HISC119-BiologyandSociety(A),S219,22,8,100.0%,87.5%,3.50,A-(3.75),A-(3.80)
"Carreras,MariaVictoria",HITO126-AHistoryofChildhood(A),S219,19,11,100.0%,100.0%,5.77,B+(3.45),N/A
"Patterson,PatrickH.","HITO156GS-Div,Equity,InclusionUS/Eur(A)",S219,21,4,66.7%,100.0%,5.83,B+(3.33),A-(3.76)
"Man,SimeonS",HIUS103-UnitedStates&PacificWorld(A),S219,28,19,100.0%,100.0%,4.38,B+(3.64),A-(3.82)
"Malone,KevanQuinn",HIUS149-UnitedStatesinthe1960's(A),S219,21,9,100.0%,100.0%,4.94,B(3.25),A-(3.70)
"Jiao,Yupeng",HIEA131-China/War&Revolution1911-49(A),S119,29,12,100.0%,100.0%,5.41,B(3.13),B+(3.56)
"Kenny,Michael",HIEU109-NationalisminEurope(A),S119,27,7,85.7%,100.0%,5.93,B(3.29),B(3.15)
"Wood,LaurenElizabeth",HIEU111-EuropeintheMiddleAges(A),S119,28,9,88.9%,100.0%,4.00,B+(3.38),B+(3.52)
"Parrish,MichaelE.",HIEU121GS-Scotl/EnglCivilWar1601-1689(A),S119,28,18,94.1%,100.0%,7.09,B+(3.33),B(3.30)
"Tronzo,William",HIEU124GS-TheCityInItaly(A),S119,25,14,100.0%,100.0%,3.36,A-(3.93),A-(3.95)
"Kefalas,Kalliopi",HIEU136B-Society/SocThought1870-1989(A),S119,10,9,77.8%,88.9%,6.28,B(3.25),N/A
"Radcliff,PamelaB.",HIEU151GS-SpainSince1808(A),S119,26,23,100.0%,100.0%,5.68,A-(3.70),A-(3.72)
"Campos,Amie",HILA113-Lord&PeasantinLatinAmerica(A),S119,16,5,100.0%,100.0%,6.10,B+(3.60),N/A
"MoralesFontanilla,ManuelAntonio",HILA114-DictatorshipsinLatinAmerica(A),S119,23,17,100.0%,100.0%,4.13,B+(3.53),B+(3.63)
"Kokinis,TroyAndreas",HILD14-Film&HistoryinLatinAmer(A),S119,31,22,95.5%,100.0%,3.05,B+(3.45),A-(3.70)
"Mack,Graeme",HILD2A-UnitedStatesHistory(A),S119,25,23,91.3%,100.0%,4.23,B+(3.57),B+(3.53)
"Silverman,ReubenWilliam",HINE118-MiddleEast/TwentiethCentury(A),S119,15,9,88.9%,100.0%,6.94,B+(3.56),N/A
"Hineline,MarkLawrence",HISC105-HistoryofEnvironmentalism(A),S119,24,12,100.0%,91.7%,2.83,A(4.00),A(4.00)
"Man,SimeonS",HITO160GS-GlobalizationandDiaspora(A),S119,13,7,100.0%,100.0%,2.79,B+(3.57),N/A
"Daly,HeatherMarie",HIUS108A-History/NativeAmericans/USI(A),S119,12,4,100.0%,100.0%,4.50,B(3.00),N/A
"Castaneda,MiguelAngel",HIUS113-HistoryofMexicanAmerica(A),S119,20,4,100.0%,100.0%,5.00,B+(3.50),B+(3.48)
"Man,SimeonS",HIUS125GS-AsianAmericanSocialMovemnts(A),S119,13,7,100.0%,100.0%,2.79,B+(3.57),N/A
"Kwak,Nancy",HIUS143GS-BuiltEnv20thCent.(A),S119,24,8,100.0%,100.0%,5.36,B+(3.67),A-(3.75)
"Aguilar,KevanAntonio",HIUS159-Social&EconHist/SouthwestII(A),S119,13,6,83.3%,83.3%,5.83,A-(3.83),N/A
"Matsumura,WendyY",HIEA115-Social&Cultural/20thCJapan(A),SP19,105,30,76.9%,88.5%,4.88,B+(3.42),B+(3.54)
"Pickowicz,PaulG.",HIEA133-20thCChina/CulturalHistory(A),SP19,44,19,100.0%,100.0%,6.15,A-(3.94),A-(3.94)
"Lu,Weijing",HIEA138-Women&theChineseRevolution(A),SP19,35,16,81.3%,81.3%,3.88,B-(2.85),C+(2.69)
"Lu,Weijing",HIEA171-Society&Culture/PremodChina(A),SP19,15,5,100.0%,100.0%,4.00,B+(3.50),N/A
"Demetriou,Denise","HIEU106-Egypt,Greece,andRome(A)",SP19,100,80,81.0%,83.5%,4.29,B(3.05),B(3.17)
"Neuheiser,Joerg",HIEU150-ModernBritishHistory(A),SP19,70,57,80.4%,91.1%,4.75,B(3.28),B(3.07)
"Graham,JessicaLynn",HILA121A-HistoryofBrazilthrough1889(A),SP19,75,31,86.7%,93.3%,4.57,B+(3.47),B+(3.63)
"Vitz,Matthew",HILA132-ModernMexico(A),SP19,146,44,88.1%,88.1%,3.88,B+(3.47),B+(3.39)
"Matsumura,WendyY",HILD12-Twentieth-CenturyEastAsia(A),SP19,197,78,62.0%,55.1%,4.08,B(3.23),B+(3.31)
"Hendrickson,GeraldM.",HILD2C-UnitedStatesHistory(A),SP19,197,124,88.4%,94.1%,3.78,B+(3.31),B(3.16)
"Alvarez,LuisA",HILD7C-Race&Ethnicity/UnitedStates(A),SP19,384,185,92.4%,91.8%,3.37,B+(3.58),B+(3.40)
"Balberg,Mira",HINE115-DeathandDyinginAntiquity(A),SP19,75,26,100.0%,100.0%,3.54,B+(3.65),B+(3.47)
"Tchir,PaulKostNikolai",HINE116-MidEast/AgeofEuroEmpires(A),SP19,46,19,89.5%,94.7%,4.71,B+(3.44),B+(3.31)
"Provence,Michael",HINE120-MiddleEastintheNewCentury(A),SP19,60,21,84.2%,88.9%,3.87,B+(3.67),B+(3.47)
"Gere,CatherinaM.",HISC108-LifeSciencesin20thCentury(A),SP19,115,46,97.8%,97.8%,3.97,B+(3.45),B+(3.42)
"Golan,Tal","HISC131-Science,Technology,&Law(A)",SP19,74,27,73.9%,73.9%,4.50,B+(3.53),B+(3.35)
"MoralesFontanilla,ManuelAntonio",HITO155-Race/Sport/Inequality20thCen(A),SP19,74,69,98.5%,98.5%,3.00,B+(3.67),B+(3.48)
"Golan,Tal",HITO87-FreshmanSeminar(A),SP19,9,5,100.0%,100.0%,0.90,A(4.00),N/A
"Patterson,PatrickH.",HITO87-FreshmanSeminar(B),SP19,9,6,100.0%,100.0%,1.83,N/A,N/A
"Klann,MaryCameron",HIUS108B-History/NativeAmericans/USII(A),SP19,55,40,97.4%,100.0%,5.32,B+(3.31),B(3.24)
"Fairchild,StephanieKate",HIUS113-HistoryofMexicanAmerica(A),SP19,56,17,100.0%,100.0%,4.38,B+(3.50),B(3.05)
"Man,SimeonS",HIUS120D-Race&OralHist.inSanDiego(A),SP19,12,5,100.0%,100.0%,10.00,A(4.00),N/A
"Wishon,MarkT","HIUS135-TheAtlanticWorld,1492-1803(A)",SP19,47,17,88.2%,94.1%,4.13,B+(3.38),B-(2.84)
"Kharputly,NadeenShB",HIUS136-Citizenship&CivilRts/20thc(A),SP19,27,7,100.0%,100.0%,4.21,A-(3.86),A-(3.82)
"Gutierrez,DavidG",HIUS180-Immigration&Ethnicity/AmerSoc(A),SP19,10,6,100.0%,100.0%,4.83,B+(3.50),N/A
"Hendrickson,GeraldM.",HIUS181-Topicsin20thCenturyU.S.(A),SP19,15,6,100.0%,100.0%,10.83,B(3.17),N/A
"Prestholdt,Jeremy",HIAF113-SmallWarsGloblOrdr/Afrca&Asia(A),WI19,129,46,100.0%,100.0%,3.26,A-(3.70),B+(3.41)
"Matsumura,WendyY",HIEA112-Japan:Mid-19thC.-USOccupatn(A),WI19,100,39,78.9%,89.2%,4.29,B+(3.52),B+(3.41)
"Schneewind,Sarah",HIEA124-LifeinMingChina(1368-1644)(A),WI19,49,30,89.3%,89.3%,5.36,B+(3.32),B(3.18)
"Watts,EdwardJ.",HIEU102-RomanHistory(A),WI19,112,46,91.1%,88.9%,5.12,B+(3.37),B-(2.94)
"Caciola,NancyA",HIEU107-PaganEurope&ChristianAftermath(A),WI19,49,21,95.0%,100.0%,3.90,B+(3.63),B+(3.61)
"Neuheiser,Joerg",HIEU128-Europesince1945(A),WI19,52,44,97.7%,97.7%,5.32,B(3.25),B-(2.99)
"Radcliff,PamelaB.","HIEU146-Fascism,Communism1919-1945(A)",WI19,114,84,95.2%,96.4%,4.76,B+(3.50),B(3.20)
"Edelman,RobertS.",HIEU156-Hist.SovietUnion1905-1991(A),WI19,38,17,81.3%,93.8%,5.00,B+(3.60),B+(3.58)
"Hertz,Deborah",HIEU158-WhyHitler?HowAuschwitz?(A),WI19,70,43,89.5%,78.9%,4.29,B+(3.56),B(3.21)
"Lettieri,MichaelJoseph",HILA118-USAgression/LatinAm1898-Prs(A),WI19,38,10,100.0%,100.0%,5.10,B+(3.40),B(3.19)
"Cowan,BenjaminA",HILA121B-HistoryofBrazil1889-Present(A),WI19,49,16,100.0%,100.0%,4.25,B+(3.54),A-(3.80)
"Cowan,BenjaminA",HILA124A-Hist/Women&Gendor/LatinAmerca(A),WI19,29,12,100.0%,100.0%,5.59,A-(3.82),B+(3.60)
"Lu,Weijing","HILD11-EastAsia&theWest,1279-1911(A)",WI19,186,83,78.0%,76.8%,4.45,B(3.15),B(3.08)
"Klein,Rachel",HILD2B-UnitedStatesHistory(A),WI19,186,87,73.2%,76.8%,3.33,B+(3.30),B(3.26)
"Gere,CatherinaM.",HILD30-HistoryofPublicHealth(A),WI19,61,29,89.7%,100.0%,3.26,A-(3.71),B+(3.47)
"Man,SimeonS",HILD7B-Race&Ethnicity/UnitedStates(A),WI19,371,249,84.8%,90.9%,3.93,B+(3.42),B+(3.42)
"Balberg,Mira",HINE100-TheHebrewBibleandHistory(A),WI19,41,14,92.3%,100.0%,3.27,A-(3.75),B+(3.53)
"Wasef,MirnaMofid",HINE118-MiddleEast/TwentiethCentury(A),WI19,41,16,100.0%,100.0%,3.79,B+(3.69),B+(3.53)
"Westman,RobertS",HISC106-TheScientificRevolution(A),WI19,36,17,58.8%,70.6%,4.26,C+(2.56),B-(2.99)
