Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Markman,Kristina","HUM3-Renaissance,Reform&EarlyEurop(A)",S219,43,33,78.8%,93.9%,7.95,B(3.00),B(3.09)
"Patterson,PatrickH.","HUM3GS-Renaissance,Reform&EarlyEurop(A)",S219,21,3,100.0%,100.0%,5.50,B+(3.50),A-(3.96)
"Caldwell,MichaelAlan","HUM4-Enlightmnt,Romnt,Rev/1660-1848(A)",S219,42,11,66.7%,100.0%,4.72,B(3.11),B-(2.89)
"Giordano,KaileyNicole",HUM5-ModernCulture(1848-Present)(A),S219,42,34,84.4%,100.0%,7.77,B-(2.94),B(3.20)
"Patterson,PatrickH.","HUM3-Renaissance,Reform&EarlyEurop(A)",S119,43,34,76.5%,94.1%,8.56,B(3.03),B(3.15)
"Tronzo,William","HUM3GS-Renaissance,Reform&EarlyEurop(A)",S119,28,16,100.0%,100.0%,3.43,A-(3.87),A-(3.96)
"Zroka,AmyLiane","HUM4-Enlightmnt,Romnt,Rev/1660-1848(A)",S119,37,8,100.0%,100.0%,8.50,B-(2.83),C+(2.63)
"Parrish,MichaelE.","HUM4GS-Enlightmnt,Romnt,Rev/1660-1848(A)",S119,28,18,100.0%,100.0%,7.72,B(3.13),B+(3.50)
"Caldwell,MichaelAlan",HUM5-ModernCulture(1848-Present)(A),S119,36,8,100.0%,100.0%,9.36,B(3.29),B-(2.91)
"Thompson,KatherineAnneMerit",HUM5-ModernCulture(1848-Present)(B),S119,42,41,82.9%,97.6%,7.43,B-(2.93),B-(2.95)
"Markman,Kristina","HUM2-Rome,Christianity&MiddleAges(A)",SP19,308,256,69.6%,92.7%,6.41,B(3.08),B(3.04)
"Smarr,JanetL.","HUM2-Rome,Christianity&MiddleAges(B)",SP19,128,81,57.5%,71.6%,5.63,B(3.05),B-(2.73)
"Chodorow,StanleyA.","HUM2-Rome,Christianity&MiddleAges(C)",SP19,128,110,59.4%,73.3%,6.16,B(3.11),B-(2.82)
"Watts,EdwardJ.","HUM2-Rome,Christianity&MiddleAges(D)",SP19,192,137,67.7%,92.8%,6.33,B(3.05),B-(2.97)
"Lerer,Seth","HUM2-Rome,Christianity&MiddleAges(E)",SP19,321,247,74.8%,96.1%,5.04,B(3.12),B-(2.97)
"Lyon,AntonyJ.",HUM5-ModernCulture(1848-Present)(B),SP19,300,236,71.1%,94.3%,5.65,B-(2.93),B-(2.84)
"Markman,Kristina",HUM1-Foundatns/WestCiv:Israel&Grce(A),WI19,190,167,69.9%,93.0%,6.32,B-(2.98),B(3.03)
"Cox,StephenD.",HUM1-Foundatns/WestCiv:Israel&Grce(B),WI19,286,242,81.8%,94.5%,7.46,B(3.13),B(3.14)
"Johnson,Monte",HUM1-Foundatns/WestCiv:Israel&Grce(C),WI19,122,80,72.6%,91.2%,5.90,B(3.03),B(3.02)
"Demetriou,Denise",HUM1-Foundatns/WestCiv:Israel&Grce(D),WI19,141,124,65.0%,82.0%,6.04,B(3.02),B(3.01)
"Lyon,AntonyJ.",HUM1-Foundatns/WestCiv:Israel&Grce(E),WI19,302,268,78.3%,98.0%,6.37,B-(2.96),B(3.10)
"Zroka,AmyLiane","HUM4-Enlightmnt,Romnt,Rev/1660-1848(A)",WI19,168,123,71.2%,88.0%,5.09,B(3.08),B-(2.91)
"Watkins,Eric","HUM4-Enlightmnt,Romnt,Rev/1660-1848(B)",WI19,199,166,69.2%,87.3%,4.33,B(3.09),B(3.02)
"Kontje,ToddCurtis","HUM4-Enlightmnt,Romnt,Rev/1660-1848(C)",WI19,118,77,56.1%,84.1%,5.19,B(3.00),B-(2.82)
"Lyon,AntonyJ.","HUM3-Renaissance,Reform&EarlyEurop(A)",FA18,267,213,76.4%,95.8%,5.94,B(3.05),B(3.02)
"Patterson,PatrickH.","HUM3-Renaissance,Reform&EarlyEurop(B)",FA18,217,169,73.0%,86.3%,5.65,B(3.15),B(3.15)
"Markman,Kristina","HUM3-Renaissance,Reform&EarlyEurop(C)",FA18,156,133,69.4%,94.3%,4.71,B-(2.91),B(3.02)
"Henderson,DavidKenneth","HUM3-Renaissance,Reform&EarlyEurop(D)",FA18,130,104,52.9%,92.0%,4.73,B-(2.99),B-(2.98)
"Caldwell,MichaelAlan","HUM3-Renaissance,Reform&EarlyEurop(A)",S218,40,19,68.8%,100.0%,10.75,B(3.06),B(3.28)
"Patterson,PatrickH.","HUM3GS-Renaissance,Reform&EarlyEurop(A)",S218,18,17,75.0%,100.0%,7.50,A-(3.80),N/A
"Lyon,AntonyJ.","HUM4-Enlightmnt,Romnt,Rev/1660-1848(A)",S218,40,34,84.8%,100.0%,9.21,B(3.00),B(3.27)
"Zroka,AmyLiane",HUM5-ModernCulture(1848-Present)(A),S218,44,18,68.8%,75.0%,8.13,B(3.19),B-(2.87)
"Patterson,PatrickH.","HUM3-Renaissance,Reform&EarlyEurop(A)",S118,42,36,88.9%,94.4%,8.72,B(3.17),B(3.24)
"Herbst,Matthew","HUM3GS-Renaissance,Reform&EarlyEurop(A)",S118,28,23,100.0%,100.0%,8.41,B+(3.68),B+(3.60)
