Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Gagnon,JeffreyC",INTL190-Seminar/InternationalStudies(A),S219,15,6,100.0%,100.0%,9.17,B+(3.50),N/A
"Samstad,JamesG.",INTL190-Seminar/InternationalStudies(B),S219,14,3,66.7%,100.0%,9.17,B(3.00),N/A
"Lettieri,MichaelJoseph",INTL190-Seminar/InternationalStudies(A),S119,15,4,100.0%,100.0%,6.50,C+(2.50),N/A
"Gilson,Nancy",INTL101-Cult&Society/Intrn'lPerspec(A),SP19,272,105,72.3%,76.0%,5.29,B(3.13),C+(2.59)
"Haggard,StephanM.","INTL102-Econ,Politics&Intn'lChange(A)",SP19,272,99,88.5%,95.8%,5.30,B+(3.33),B(3.26)
"Clemens,Jeffrey",INTL190-Seminar/InternationalStudies(A),SP19,21,7,100.0%,100.0%,6.79,A-(3.83),B+(3.51)
"Niehaus,Paul",INTL190-Seminar/InternationalStudies(B),SP19,21,4,75.0%,100.0%,5.50,B-(2.75),B(3.10)
"Auerbach,BradfordC",INTL190-Seminar/InternationalStudies(C),SP19,25,11,100.0%,100.0%,3.90,B+(3.60),B+(3.38)
"Major,Ivan",INTL190-Seminar/InternationalStudies(E),SP19,25,9,77.8%,88.9%,4.06,B+(3.56),A-(3.86)
"Fisk,DavidLee",INTL190-Seminar/InternationalStudies(F),SP19,25,7,85.7%,100.0%,6.50,B+(3.57),B+(3.39)
"Kshatriya,KristaC",INTL190-Seminar/InternationalStudies(G),SP19,25,10,90.0%,100.0%,7.30,B+(3.40),B(3.25)
"Lettieri,MichaelJoseph",INTL190-Seminar/InternationalStudies(H),SP19,25,9,100.0%,100.0%,7.83,B+(3.44),B+(3.50)
"MendesSantos,FabianoGui",INTL190-Seminar/InternationalStudies(I),SP19,19,5,100.0%,80.0%,3.70,B+(3.40),N/A
"Kshatriya,KristaC",INTL190-Seminar/InternationalStudies(J),SP19,20,8,87.5%,87.5%,5.50,B+(3.50),B(3.25)
"Vitz,Matthew",INTL101-Cult&Society/Intrn'lPerspec(A),WI19,270,124,85.7%,86.4%,4.95,B+(3.48),B+(3.34)
"Broz,JamesLawrence","INTL102-Econ,Politics&Intn'lChange(A)",WI19,254,131,84.8%,82.4%,5.70,B(3.18),B(3.13)
"Feeley,MaureenCatherine",INTL190-Seminar/InternationalStudies(A),WI19,20,7,66.7%,66.7%,8.50,B+(3.50),B+(3.43)
"Gilson,Nancy",INTL190-Seminar/InternationalStudies(B),WI19,23,9,75.0%,75.0%,7.00,B(3.29),B(3.05)
"Tocoian,Oana",INTL190-Seminar/InternationalStudies(C),WI19,19,10,70.0%,80.0%,6.10,B+(3.50),N/A
"Graham,JessicaLynn",INTL190-Seminar/InternationalStudies(D),WI19,19,7,100.0%,100.0%,4.50,B+(3.57),N/A
"Herberg,MikkalE.",INTL190-Seminar/InternationalStudies(E),WI19,20,10,100.0%,100.0%,6.25,B+(3.38),B+(3.40)
"Naoi,Megumi",INTL190-Seminar/InternationalStudies(F),WI19,20,11,100.0%,100.0%,5.77,B+(3.55),B+(3.51)
"Vargas,ManuelRogelio",INTL101-Cult&Society/Intrn'lPerspec(A),FA18,235,130,73.6%,82.1%,4.74,B+(3.31),B-(2.99)
"Walter,BarbaraFlorence","INTL102-Econ,Politics&Intn'lChange(A)",FA18,246,125,95.0%,94.9%,6.92,B(3.25),B(3.00)
"Adida,Claire",INTL190-Seminar/InternationalStudies(A),FA18,18,9,100.0%,100.0%,8.50,A-(3.78),N/A
"Samstad,JamesG.",INTL190-Seminar/InternationalStudies(B),FA18,19,5,75.0%,75.0%,4.00,B+(3.50),N/A
"Auerbach,BradfordC",INTL190-Seminar/InternationalStudies(C),FA18,20,20,100.0%,94.7%,6.40,B+(3.30),B+(3.57)
"Nadkarni,Vidya",INTL190-Seminar/InternationalStudies(D),FA18,20,7,100.0%,100.0%,3.93,B(3.29),B+(3.39)
