Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Simpson,JunkoTokuda",JAPN10C-FirstYearJapaneseIII(A),SP19,26,12,100.0%,100.0%,5.83,A-(3.73),B+(3.60)
"Tipton,Yuko",JAPN10C-FirstYearJapaneseIII(B),SP19,26,15,100.0%,100.0%,5.07,A-(3.71),B+(3.67)
"Maruyama,Rie",JAPN10C-FirstYearJapaneseIII(C),SP19,17,11,100.0%,100.0%,3.90,B+(3.67),B+(3.69)
"Simpson,JunkoTokuda",JAPN10C-FirstYearJapaneseIII(D),SP19,22,12,100.0%,100.0%,5.23,A-(3.91),B+(3.60)
"Tipton,Yuko",JAPN10C-FirstYearJapaneseIII(E),SP19,26,14,100.0%,100.0%,6.07,A-(3.75),B+(3.67)
"Ross,KayokoF",JAPN10C-FirstYearJapaneseIII(F),SP19,16,6,100.0%,100.0%,4.83,B+(3.67),A-(3.74)
"Takeda,Izumi",JAPN10C-FirstYearJapaneseIII(G),SP19,26,15,100.0%,100.0%,5.50,B+(3.62),B+(3.58)
"Inada,Minori",JAPN10C-FirstYearJapaneseIII(H),SP19,26,11,100.0%,100.0%,4.14,B+(3.44),B+(3.54)
"Ross,KayokoF",JAPN10C-FirstYearJapaneseIII(I),SP19,24,12,91.7%,100.0%,6.17,B(3.27),A-(3.74)
"Iwamoto,Naoki",JAPN10C-FirstYearJapaneseIII(J),SP19,25,13,90.9%,90.9%,5.95,A-(3.80),A-(3.75)
"Maruyama,Rie",JAPN10C-FirstYearJapaneseIII(K),SP19,26,17,100.0%,100.0%,5.30,B+(3.57),B+(3.69)
"Ross,KayokoF",JAPN10C-FirstYearJapaneseIII(L),SP19,24,8,100.0%,100.0%,3.50,A(4.00),A-(3.74)
"Iwamoto,Naoki",JAPN10C-FirstYearJapaneseIII(M),SP19,25,13,100.0%,100.0%,4.81,B+(3.67),A-(3.75)
"Kamioka,Sachiko",JAPN10C-FirstYearJapaneseIII(N),SP19,22,14,100.0%,100.0%,6.81,B+(3.64),B+(3.66)
"Sato,Kyoko",JAPN130C-ThirdYearJapaneseIII(A),SP19,16,9,100.0%,100.0%,5.39,B+(3.67),N/A
"Sato,Kyoko",JAPN130C-ThirdYearJapaneseIII(B),SP19,14,7,100.0%,100.0%,4.50,A-(3.83),N/A
"Takeda,Izumi",JAPN135C-Japanese/ProfPurposesIII(A),SP19,16,15,93.3%,93.3%,4.23,A-(3.80),N/A
"McKee,MayumiMochizuki",JAPN140C-FourthYearJapaneseIII(A),SP19,7,3,100.0%,100.0%,3.83,A(4.00),N/A
"Simpson,JunkoTokuda",JAPN150C-AdvancedJapaneseIII(A),SP19,9,4,100.0%,100.0%,3.00,A(4.00),N/A
"Sato,Kyoko",JAPN20C-SecondYrJapaneseIII(A),SP19,19,10,90.0%,100.0%,2.90,A(4.00),N/A
"McKee,MayumiMochizuki",JAPN20C-SecondYrJapaneseIII(B),SP19,24,14,100.0%,100.0%,4.50,A-(3.83),A-(3.70)
"Maruyama,Rie",JAPN20C-SecondYrJapaneseIII(C),SP19,24,10,100.0%,100.0%,3.61,A-(3.78),B+(3.50)
"Inada,Minori",JAPN20C-SecondYrJapaneseIII(D),SP19,20,11,100.0%,100.0%,3.23,A-(3.90),B+(3.56)
"Inada,Minori",JAPN10B-FirstYearJapaneseII(A),WI19,21,10,100.0%,90.0%,5.30,B+(3.50),B+(3.44)
"Inada,Minori",JAPN10B-FirstYearJapaneseII(B),WI19,29,11,100.0%,100.0%,5.30,B+(3.67),B+(3.44)
"Tipton,Yuko",JAPN10B-FirstYearJapaneseII(C),WI19,19,11,100.0%,100.0%,7.23,A-(3.89),B+(3.48)
"Takeda,Izumi",JAPN10B-FirstYearJapaneseII(D),WI19,29,19,100.0%,100.0%,4.61,B+(3.61),B+(3.38)
"Simpson,JunkoTokuda",JAPN10B-FirstYearJapaneseII(E),WI19,28,16,100.0%,100.0%,6.10,B+(3.50),A-(3.71)
"Iwamoto,Naoki",JAPN10B-FirstYearJapaneseII(F),WI19,28,12,91.7%,91.7%,7.83,B+(3.67),A-(3.75)
"Takeda,Izumi",JAPN10B-FirstYearJapaneseII(G),WI19,28,17,100.0%,100.0%,5.50,B+(3.65),B+(3.38)
"Tipton,Yuko",JAPN10B-FirstYearJapaneseII(H),WI19,30,18,100.0%,100.0%,4.83,A-(3.76),B+(3.48)
"Iwamoto,Naoki",JAPN10B-FirstYearJapaneseII(I),WI19,23,18,100.0%,100.0%,5.68,A-(3.94),A-(3.75)
"Maruyama,Rie",JAPN10B-FirstYearJapaneseII(J),WI19,23,15,93.3%,86.7%,4.37,B+(3.54),B+(3.31)
"Maruyama,Rie",JAPN10B-FirstYearJapaneseII(K),WI19,27,12,100.0%,100.0%,5.67,A-(3.75),B+(3.31)
"Kamioka,Sachiko",JAPN10B-FirstYearJapaneseII(L),WI19,28,17,100.0%,100.0%,6.74,B+(3.63),B+(3.33)
"Ross,KayokoF",JAPN10B-FirstYearJapaneseII(M),WI19,27,12,100.0%,100.0%,5.00,A-(3.89),B+(3.50)
"Kamioka,Sachiko",JAPN10B-FirstYearJapaneseII(N),WI19,24,15,100.0%,100.0%,5.27,A-(3.90),B+(3.33)
"Sato,Kyoko",JAPN130B-ThirdYearJapaneseII(A),WI19,22,7,100.0%,100.0%,5.64,B+(3.67),A-(3.77)
"Sato,Kyoko",JAPN130B-ThirdYearJapaneseII(B),WI19,21,9,100.0%,100.0%,4.28,A-(3.86),A-(3.77)
"Takeda,Izumi",JAPN135B-Japanese/ProfPurposesII(A),WI19,20,17,100.0%,100.0%,3.56,A-(3.88),A-(3.80)
"McKee,MayumiMochizuki",JAPN140B-FourthYearJapaneseII(A),WI19,10,8,100.0%,100.0%,3.75,A-(3.75),N/A
"Simpson,JunkoTokuda",JAPN150B-AdvancedJapaneseII(A),WI19,4,4,100.0%,100.0%,3.50,A(4.00),N/A
"Turner,ChristenaL.",JAPN190-SelTopcs/ContmpJapnStudies(A),WI19,20,11,100.0%,100.0%,4.86,B+(3.45),B+(3.56)
"McKee,MayumiMochizuki",JAPN20B-SecondYrJapaneseII(A),WI19,19,13,100.0%,100.0%,4.67,A-(3.90),B+(3.53)
"McKee,MayumiMochizuki",JAPN20B-SecondYrJapaneseII(B),WI19,25,14,100.0%,100.0%,3.50,A-(3.92),B+(3.53)
