Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Shuster,Alana",JUDA3-IntermediateHebrewContinued(A),SP19,9,4,100.0%,100.0%,6.00,B+(3.50),N/A
"Shuster,Alana",JUDA2-IntermediateHebrew(A),WI19,16,3,100.0%,100.0%,3.17,A(4.00),N/A
"Shuster,Alana",JUDA1-BeginningHebrew(A),FA18,16,7,100.0%,100.0%,4.50,A-(3.80),N/A
"Shuster,Alana",JUDA101-IntroductiontoHebrewTexts(A),FA18,7,4,100.0%,100.0%,3.50,B+(3.50),N/A
"Shuster,Alana",JUDA3-IntermediateHebrewContinued(A),SP18,10,4,100.0%,100.0%,4.00,A(4.00),N/A
"Shuster,Alana",JUDA2-IntermediateHebrew(A),WI18,10,4,100.0%,100.0%,3.00,A(4.00),N/A
"Fermentto-Tzaisler,Julia",JUDA1-BeginningHebrew(A),FA17,18,8,100.0%,100.0%,5.93,A-(3.71),N/A
"Shuster,Alana",JUDA101-IntroductiontoHebrewTexts(A),FA17,6,3,100.0%,100.0%,3.17,B(3.00),N/A
"Shuster,Alana",JUDA3-IntermediateHebrewContinued(A),SP17,10,5,80.0%,100.0%,2.90,B+(3.60),N/A
"Shuster,Alana",JUDA2-IntermediateHebrew(A),WI17,11,7,100.0%,100.0%,4.21,A-(3.83),N/A
"Shuster,Alana",JUDA1-BeginningHebrew(A),FA16,7,4,100.0%,75.0%,3.50,A-(3.75),N/A
"Propp,WilliamHenry",JUDA101-IntroductiontoHebrewTexts(A),FA16,6,3,100.0%,100.0%,3.17,A(4.00),N/A
"Lampert-Weissig,Lisa",JUDA87-FreshmanSeminar(A),FA16,7,3,50.0%,50.0%,0.50,N/A,N/A
"Propp,WilliamHenry",JUDA130-IntroOldTestament:Historical(A),SP16,5,3,33.3%,66.7%,3.17,N/A,N/A
"Shuster,Alana",JUDA3-IntermediateHebrewContinued(A),SP16,10,7,100.0%,100.0%,4.17,B+(3.50),N/A
"Shuster,Alana",JUDA2-IntermediateHebrew(A),WI16,11,6,100.0%,100.0%,3.17,A-(3.80),N/A
"Shuster,Alana",JUDA1-BeginningHebrew(A),FA15,15,10,100.0%,100.0%,1.70,A(4.00),N/A
"Goodblatt,David",JUDA103-AdvancedHebrewTexts(A),SP15,5,3,100.0%,100.0%,2.50,B+(3.33),N/A
"Shuster,Alana",JUDA3-IntermediateHebrewContinued(A),SP15,16,7,83.3%,100.0%,4.17,B+(3.60),N/A
"Shuster,Alana",JUDA2-IntermediateHebrew(A),WI15,16,8,100.0%,100.0%,5.00,B+(3.43),N/A
"Shuster,Alana",JUDA1-BeginningHebrew(A),FA14,19,4,100.0%,100.0%,7.50,A(4.00),N/A
"Propp,WilliamHenry",JUDA101-IntroductiontoHebrewTexts(A),FA14,10,10,100.0%,100.0%,3.25,B+(3.60),N/A
"Kimchi,RamiN",JUDA111-TopicsinJudaicStudies(A),FA14,5,3,100.0%,100.0%,4.50,B+(3.50),N/A
"Shuster,Alana",JUDA3-IntermediateHebrewContinued(A),SP14,13,4,75.0%,75.0%,4.00,A(4.00),N/A
"Shuster,Alana",JUDA2-IntermediateHebrew(A),WI14,12,7,85.7%,85.7%,3.64,A(4.00),B+(3.59)
