Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Martin-Cabrera,Luis",LATI50-IntroductiontoLatinAmerica(A),S219,19,7,100.0%,100.0%,2.79,A(4.00),N/A
"Montesinos,JorgeRoberto",LATI50-IntroductiontoLatinAmerica(A),SP19,82,44,93.2%,97.7%,3.32,B(3.11),B+(3.62)
"Martin-Cabrera,Luis",LATI10-LatAmerStudies&USLiberation(A),WI19,30,12,90.0%,90.0%,2.30,B+(3.33),B(3.17)
"Andrews,AbigailLeslie",LATI122A-FldRsrchMth/MigrtnStdy:Sem(A),WI19,20,8,100.0%,100.0%,11.07,A-(3.75),B+(3.54)
"Andrews,AbigailLeslie",LATI122C-FldRsrchMth/Migr:DataAnaly(A),WI19,20,5,100.0%,100.0%,8.90,A-(3.80),B+(3.52)
"Desposato,Scott",LATI180-SpecialTopic/LatAmerStudies(A),WI19,10,3,100.0%,100.0%,1.83,B(3.00),N/A
"Montesinos,JorgeRoberto",LATI50-IntroductiontoLatinAmerica(A),FA18,100,46,81.8%,90.7%,4.09,B+(3.32),B(3.09)
"Martin-Cabrera,Luis",LATI50-IntroductiontoLatinAmerica(A),S218,13,5,100.0%,100.0%,6.90,A(4.00),N/A
"Janusz,AndrewJames",LATI50-IntroductiontoLatinAmerica(A),WI18,94,83,78.3%,94.0%,3.70,B(3.16),C+(2.65)
"Sawyer,Adam",LATI122C-FldRsrchMth/Migr:DataAnaly(A),SP17,6,3,100.0%,100.0%,5.17,B+(3.33),N/A
"Janusz,AndrewJames",LATI50-IntroductiontoLatinAmerica(A),WI17,72,61,88.3%,88.3%,5.04,B+(3.31),B(3.23)
"Wong,TakKei",LATI122A-FldRsrchMth/MigrtnStdy:Sem(A),FA16,8,3,100.0%,100.0%,5.83,B+(3.33),N/A
"Janusz,AndrewJames",LATI50-IntroductiontoLatinAmerica(A),S116,15,4,100.0%,100.0%,9.00,B+(3.50),N/A
