Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),SP19,56,14,78.6%,71.4%,3.36,B+(3.43),B(3.25)
"Ng,Kwai",LAWS101-ContemporaryLegalIssues(A),FA18,58,22,100.0%,95.5%,4.23,B+(3.45),B+(3.50)
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),S218,27,7,100.0%,100.0%,6.21,A-(3.71),B+(3.60)
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),FA17,37,13,90.9%,81.8%,3.50,B+(3.64),B+(3.60)
"Ng,Kwai",LAWS101-ContemporaryLegalIssues(A),FA16,37,14,90.9%,100.0%,5.23,A-(3.91),B+(3.69)
"Ng,Kwai",LAWS101-ContemporaryLegalIssues(A),S116,15,4,100.0%,75.0%,9.00,B+(3.67),N/A
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),SP16,33,11,100.0%,90.9%,2.90,B+(3.60),B+(3.41)
"Ng,Kwai",LAWS101-ContemporaryLegalIssues(C),FA15,28,6,100.0%,100.0%,5.50,B+(3.50),B(3.20)
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),S115,10,4,100.0%,100.0%,8.50,A(4.00),N/A
"Doppelt,GeraldD.",LAWS101-ContemporaryLegalIssues(A),SP15,27,9,87.5%,62.5%,4.79,B(3.17),B(3.03)
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),FA14,65,25,95.5%,72.7%,3.26,B+(3.33),B(3.13)
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),S214,7,4,100.0%,100.0%,5.00,A(4.00),N/A
"Doppelt,GeraldD.",LAWS101-ContemporaryLegalIssues(A),SP14,35,11,90.9%,90.9%,4.32,B(3.18),B-(2.78)
"Ng,Kwai",LAWS101-ContemporaryLegalIssues(A),FA13,97,32,93.1%,96.6%,5.29,B+(3.43),B+(3.33)
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),SP13,63,16,80.0%,60.0%,3.83,B+(3.40),B+(3.31)
"Doppelt,GeraldD.",LAWS101-ContemporaryLegalIssues(A),FA12,75,32,90.0%,93.3%,5.23,B+(3.44),B(3.10)
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),S212,17,4,75.0%,75.0%,7.50,A-(3.75),N/A
"Ng,Kwai",LAWS101-ContemporaryLegalIssues(A),WI12,106,35,82.9%,85.7%,5.41,B+(3.48),B-(2.89)
"Doppelt,GeraldD.",LAWS101-ContemporaryLegalIssues(A),FA11,101,54,92.5%,90.6%,6.87,B+(3.41),B(3.04)
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),S211,35,8,75.0%,100.0%,6.50,B+(3.43),B(3.14)
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),WI11,63,34,76.5%,55.9%,4.63,B+(3.48),B-(2.95)
"Doppelt,GeraldD.",LAWS101-ContemporaryLegalIssues(A),FA10,98,70,95.7%,91.4%,6.04,B(3.26),B-(2.99)
"Golan,Tal",LAWS101-ContemporaryLegalIssues(A),SU10,23,6,83.3%,100.0%,7.30,B+(3.67),N/A
"Belknap,MichalR","LAWS102S-Crimes,CivilWrongs&Constition(A)",SU10,12,5,100.0%,80.0%,14.50,B(3.25),N/A
"Doppelt,GeraldD.",LAWS101-ContemporaryLegalIssues(A),SP10,131,70,94.3%,89.7%,5.28,B(3.14),B-(2.92)
"Ng,Kwai",LAWS101-ContemporaryLegalIssues(A),WI10,53,15,100.0%,100.0%,5.30,B+(3.53),B+(3.32)
"Doppelt,GeraldD.",LAWS101-ContemporaryLegalIssues(A),SU09,23,9,77.8%,100.0%,8.94,B+(3.44),N/A
"Belknap,MichalR","LAWS102S-Crimes,CivilWrongs&Constition(A)",SU09,10,3,100.0%,100.0%,11.17,B+(3.67),N/A
"Doppelt,GeraldD.",LAWS101-ContemporaryLegalIssues(A),WI09,90,70,95.7%,94.2%,4.09,B(3.27),B-(2.92)
"Cooper,JamesM.",LAWS101-ContemporaryLegalIssues(A),FA08,51,29,89.7%,89.7%,4.22,B+(3.48),B(3.10)
"Belknap,MichalR","LAWS102S-Crimes,CivilWrongs&Constition(A)",SU08,6,4,100.0%,100.0%,12.50,B(3.25),N/A
"Doppelt,GeraldD.",LAWS101-ContemporaryLegalIssues(A),WI08,100,69,91.2%,89.7%,3.93,B+(3.39),B(3.08)
