Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Mai,AnnaChristinaLouisa",LIGN101-Introduction/StudyofLanguage(A),S219,15,12,100.0%,100.0%,5.95,B+(3.60),N/A
"McIntosh,JustinDaniel",LIGN8-Languages&Cultures/America(A),S219,26,8,100.0%,100.0%,3.75,B+(3.57),A-(3.95)
"Lott,MargaretS.",LIGN149GS-HistoricalRootsofASL(A),S119,16,14,100.0%,100.0%,5.12,A-(3.77),N/A
"Lott,MargaretS.",LIGN9GS-Sign&DeafCultureUS/France(A),S119,16,15,100.0%,100.0%,4.63,A-(3.82),N/A
"Styler,WilliamFrancis",LIGN101-Introduction/StudyofLanguage(A),SP19,115,58,96.1%,98.1%,3.88,B+(3.62),B+(3.45)
"Styler,WilliamFrancis",LIGN120-Morphology(A),SP19,129,68,88.9%,96.8%,5.16,B(3.26),B-(2.81)
"Caponigro,Ivano",LIGN130-Semantics(A),SP19,97,44,95.3%,97.6%,4.17,B(3.21),B-(2.82)
"McIntosh,JustinDaniel",LIGN139-FieldMethods(A),SP19,8,6,100.0%,100.0%,6.83,B+(3.33),N/A
"Mayberry,Rachel",LIGN148-PsycholinguisticsofSignLang(A),SP19,40,30,86.7%,82.8%,4.02,B+(3.36),B+(3.34)
"Kehler,AndrewScott",LIGN160-Pragmatics(A),SP19,64,17,93.3%,73.3%,4.21,B+(3.43),B-(2.94)
"Bergen,Leon",LIGN165-ComputationalLinguistics(A),SP19,73,27,79.2%,95.8%,5.54,B+(3.35),B(3.28)
"Kim,SeungKyung",LIGN177-Multilingualism(A),SP19,49,24,77.3%,81.8%,2.83,B+(3.61),B+(3.46)
"Wittenberg,EvaH","LIGN4-Language,Communication,&Mind(A)",SP19,74,53,86.8%,88.5%,3.56,B(3.21),B-(2.77)
"Ilkbasaran,Deniz",LIGN7-SignLanguages&TheirCultures(B),SP19,84,58,91.2%,94.7%,3.22,B+(3.43),B(3.26)
"McIntosh,JustinDaniel",LIGN8-Languages&Cultures/America(A),SP19,146,73,92.3%,95.4%,2.47,B+(3.54),B+(3.34)
"Alicio,Atilio",LIHL112P-FilipinoforFilipinoSpeakers(A),SP19,21,9,100.0%,100.0%,2.75,B+(3.50),B(3.13)
"Hill,KimloanT.V.",LIHL114P-BeginningVietnameseforVietn(A),SP19,13,4,100.0%,100.0%,5.00,B+(3.67),N/A
"Sadegholvad,Elham",LIHL115P-KoreanforKoreanSpeakers(A),SP19,16,6,100.0%,83.3%,2.50,A-(3.75),N/A
"Sadegholvad,Elham",LIHL117P-PersianforPersianSpeakers(A),SP19,32,15,100.0%,100.0%,4.37,A-(3.73),A-(3.81)
"Sadegholvad,Elham",LIHL119P-HindiforHindiSpeakers(A),SP19,21,11,100.0%,100.0%,2.90,B+(3.67),A-(3.74)
"Hill,KimloanT.V.",LIHL124P-IntVietnamese/VietnameseSpkr(A),SP19,11,4,75.0%,75.0%,4.50,A(4.00),N/A
"Alicio,Atilio",LIHL132P-AdvFilipino/FilipinoSpkrs(A),SP19,15,3,100.0%,100.0%,3.83,B+(3.33),N/A
"Hill,KimloanT.V.",LIHL134P-AdvVietnamese/VietnameseSpkr(A),SP19,12,5,80.0%,80.0%,3.30,B+(3.67),N/A
