Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Hayes,ZacharyRichard",LTAM110-LatinAmericanLit/Translation(A),S219,23,6,80.0%,80.0%,4.90,B+(3.60),A-(3.93)
"Wang,Pai",LTCS110-PopularCulture(A),S219,17,12,100.0%,100.0%,3.90,B+(3.67),N/A
"Nguyen,HoangTan",LTCS119-AsianAmericanFilmandMedia(A),S219,22,7,66.7%,66.7%,12.17,A-(3.80),B+(3.55)
"Cortes,MayraAlejandra",LTEN149-Topics:English-LanguageLit(A),S219,6,3,100.0%,100.0%,9.17,B+(3.67),N/A
"Jed,StephanieH",LTCS165-SpecTopics:PoliticsofFood(A),S119,33,18,100.0%,100.0%,8.15,A-(3.88),A(4.00)
"Abuelhiga,SorayaJill",LTCS173-Topics/Violence&VisualCulture(A),S119,16,5,100.0%,100.0%,4.00,A-(3.75),N/A
"Boettcher,Carolin",LTEN120-Topics:The18thCentury(A),S119,15,11,100.0%,100.0%,6.86,B+(3.57),N/A
"Cortes,LuisAlberto",LTEN157-Captivity&PrisonNarratives(A),S119,14,7,100.0%,100.0%,5.93,B+(3.57),N/A
"Springer,AnnaJoy",LTWR114-GraphicTextsWorkshop(A),S119,11,3,100.0%,100.0%,15.83,A(4.00),N/A
"Kokotovic,Milos",LTAM110-LatinAmericanLit/Translation(A),SP19,63,22,94.4%,100.0%,8.28,B+(3.44),B+(3.33)
"Liao,PingH",LTCH101-Readings/ContempChineseLit(A),SP19,136,41,81.1%,80.6%,4.61,B+(3.55),B+(3.36)
"Nguyen,HoangTan","LTCS130-Gender,Race/Ethn,Class&Culture(A)",SP19,44,12,91.7%,90.9%,3.67,A-(3.91),B+(3.56)
"Nguyen,HoangTan",LTCS87-FreshmanSeminar(A),SP19,8,5,100.0%,100.0%,1.30,N/A,N/A
"Liao,PingH",LTEA110A-ClassiclChineseFict/Transltn(A),SP19,123,37,64.7%,55.9%,5.15,B+(3.36),B-(2.97)
"Heinrich,Larissa",LTEA120C-HongKongFilms(A),SP19,402,132,90.2%,93.4%,4.89,A-(3.76),B+(3.53)
"Lee,Jin-Kyung",LTEA143-Gndr&Sexuality/Kor'nLit&Cult.(A),SP19,139,48,97.8%,93.5%,4.95,A-(3.95),A-(3.77)
"Loose,Margaret",LTEN124-Topics:The19thCentury(A),SP19,31,29,96.6%,100.0%,5.26,B+(3.55),B+(3.54)
"Loose,Margaret",LTEN142-BritishNovel:1830-1890(A),SP19,32,28,100.0%,100.0%,6.79,B+(3.48),A-(3.87)
"Nicolazzo,SarahE.",LTEN149-Topics:English-LanguageLit(A),SP19,30,9,100.0%,100.0%,3.83,A-(3.83),B+(3.47)
"Walkiewicz,KathrynA",LTEN154-TheAmericanRenaissance(A),SP19,55,17,100.0%,100.0%,5.21,B+(3.69),B+(3.65)
"Cancel,Robert",LTEN159-ContemporaryAmericanLit(A),SP19,22,5,66.7%,66.7%,3.17,B+(3.67),B(3.17)
"Vijay,AmeethVarma",LTEN189-20thCenturyPostcolonialLits(A),SP19,19,14,100.0%,92.9%,5.50,B(3.07),N/A
"Loose,Margaret",LTEN192-SeniorSeminarinEnglishLit(A),SP19,17,9,100.0%,100.0%,1.25,A(4.00),N/A
"Vijay,AmeethVarma",LTEN23-Lit/BritishIsles:1832-Present(A),SP19,63,35,85.7%,78.6%,5.05,B(3.28),B+(3.47)
"Childs,DennisR.",LTEN27-Intro/Afro-AmericanLiterature(A),SP19,82,38,91.2%,91.2%,4.89,B+(3.41),B+(3.30)
"Jed,StephanieH",LTEU140-ItalianLiteratureinTransltn(A),SP19,68,17,100.0%,100.0%,4.62,A-(3.88),A-(3.88)
"Zhiri,Oumelbanine",LTFR125-TwentiethCentury(A),SP19,13,4,75.0%,75.0%,6.50,B+(3.67),N/A
"Ploye,Catherine",LTFR2A-IntermediateFrenchI(A),SP19,12,4,100.0%,100.0%,4.50,B+(3.33),N/A
"Ploye,Catherine",LTFR2C-IntermediateFrenchIII(A),SP19,19,9,100.0%,100.0%,5.75,B+(3.50),N/A
"Ploye,Catherine",LTFR50-IntermedFrenchIV/TextAnaly(A),SP19,10,5,100.0%,100.0%,5.50,A-(3.75),N/A
"Petkas,AlexanderJ",LTGK3-IntermediateGreekII(A),SP19,11,3,100.0%,100.0%,5.17,A(4.00),N/A
"O'Brien,WilliamArctander",LTGM132-GermanPoetry(A),SP19,12,5,100.0%,100.0%,3.00,B+(3.50),N/A
"Fischer-Grunski,EvaK",LTGM2C-IntermediateGermanIII(A),SP19,11,5,100.0%,100.0%,2.50,B+(3.50),N/A
"DeMarchiGherini,Adriana",LTIT50-AdvancedItalian(A),SP19,12,5,100.0%,100.0%,2.10,A(4.00),N/A
"Lee,Jin-Kyung",LTKO100-AdvReadngs/KoreanLit&Culture(A),SP19,23,5,100.0%,100.0%,5.30,A-(3.80),A-(3.82)
"Lee,Jeyseon",LTKO1C-BeginningKorean:FirstYr.III(R),SP19,24,14,92.9%,92.9%,4.65,A-(3.70),B+(3.61)
"Lee,Jeyseon",LTKO2C-IntermediateKorean:SecondYr(A),SP19,30,8,100.0%,100.0%,5.36,B+(3.67),B+(3.63)
"Wirshbo,Eliot",LTLA104-LatinProse(A),SP19,14,4,100.0%,100.0%,6.00,A-(3.75),N/A
"Wirshbo,Eliot",LTLA3-IntermediateLatinII(A),SP19,13,5,100.0%,80.0%,6.90,A(4.00),N/A
"Murray,KourtneyKristine",LTLA3-IntermediateLatinII(B),SP19,30,9,100.0%,100.0%,4.50,B(3.14),B(3.03)
"Wells,PatriciaRebecca",LTRU104A-AdvancedPracticuminRussian(A),SP19,26,9,100.0%,100.0%,3.75,B+(3.63),A(4.00)
"Wells,PatriciaRebecca",LTRU1C-FirstYearRussian(A),SP19,21,5,100.0%,100.0%,7.70,A-(3.75),A-(3.75)
"Kokotovic,Milos",LTSP138-CentralAmericanLiterature(A),SP19,32,15,100.0%,100.0%,6.81,B+(3.67),B+(3.53)
"Martin-Cabrera,Luis",LTSP171-Peninsular&orLatAmerLit&Soc(A),SP19,22,7,100.0%,85.7%,4.79,A-(3.86),A(4.00)
"Sanchez,Rosaura","LTSP175-Gender,Sexuality&Culture(A)",SP19,19,6,100.0%,100.0%,5.70,A-(3.80),N/A
"Pita,BeatriceM",LTSP2E-AdvRead&Comp-BilingualSpkr(A),SP19,25,18,100.0%,100.0%,5.94,B+(3.53),B+(3.57)
"duBois,PageAnn",LTWL106-ClassicalTradition(A),SP19,49,22,90.5%,89.5%,3.36,A-(3.84),B+(3.50)
"Kalleres,Dayna",LTWL138-CriticalReligionStudies(A),SP19,19,6,100.0%,100.0%,3.83,B+(3.67),N/A
"DeMarchiGherini,Adriana",LTWL160-WomenandLiterature(A),SP19,37,16,100.0%,100.0%,3.63,B+(3.63),A-(3.92)
"Cohen,AlainJ.J.",LTWL184-FilmStudies&Lit:Analysis/Txt(A),SP19,45,9,100.0%,87.5%,7.25,B(3.29),B+(3.37)
"Lerer,Seth",LTWL194A-HonorsPracticum(A),SP19,20,4,100.0%,100.0%,4.50,A(4.00),N/A
"Wirshbo,Eliot",LTWL19C-Intro/AncientGreeks&Romans(A),SP19,21,10,88.9%,100.0%,6.06,B(3.13),B-(2.88)
"Forbes,Camille",LTWR100-ShortFictionWorkshop(A),SP19,19,19,94.7%,94.4%,3.28,A-(3.76),N/A
"Ali,MohammadKazim",LTWR100-ShortFictionWorkshop(B),SP19,23,7,85.7%,85.7%,4.21,B+(3.50),B+(3.56)
"Som,BrandonD",LTWR102-PoetryWorkshop(A),SP19,23,15,100.0%,100.0%,5.42,A-(3.85),A-(3.90)
"Ali,MohammadKazim",LTWR115-ExperimentalWritingWorkshop(A),SP19,21,10,55.6%,66.7%,3.90,A-(3.90),A-(3.76)
"Forbes,Camille",LTWR126-CreativeNonfictionWorkshop(A),SP19,23,19,89.5%,100.0%,3.66,B+(3.68),B+(3.43)
"Som,BrandonD",LTWR148-TheoryforWriters(A),SP19,23,17,100.0%,100.0%,4.50,A-(3.75),B+(3.70)
"Doller,Ben",LTWR8B-WritingPoetry(A),SP19,100,47,97.7%,97.7%,2.68,A-(3.83),A-(3.87)
"Hoang,LilyKim",LTWR8C-WritingNon-Fiction(A),SP19,61,41,100.0%,100.0%,3.09,A-(3.72),B+(3.54)
"Heinrich,Larissa",LTCH101-Readings/ContempChineseLit(A),WI19,138,49,91.3%,95.6%,6.59,A-(3.87),B+(3.67)
"elTayeb,Fatima","LTCS108-Gender,Race,&ArtificialInt(A)",WI19,10,5,50.0%,75.0%,4.50,B(3.25),N/A
"Nicolazzo,SarahE.",LTCS131-Topics/QueerCultures(A),WI19,13,3,100.0%,100.0%,6.50,B+(3.50),N/A
"Icreverzi,KimberlyHeathe",LTCS150-TopicsinCulturalStudies(A),WI19,19,10,70.0%,70.0%,7.10,B(3.29),N/A
"Liao,PingH",LTCS52-TopicsinCulturalStudies(A),WI19,74,33,85.7%,88.9%,3.10,A-(3.73),B(3.29)
"Liao,PingH",LTEA120B-TaiwanFilms(A),WI19,181,62,83.1%,84.2%,4.09,A-(3.76),B+(3.41)
"Icreverzi,KimberlyHeathe",LTEA132-LaterJapaneseLit/Translatn(A),WI19,38,16,81.3%,87.5%,7.13,B(3.15),B+(3.32)
"Lee,Jin-Kyung","LTEA142-KoreanFilm,Lit&PopCulture(A)",WI19,180,60,91.1%,92.7%,3.68,A-(3.87),A-(3.91)
"Lampert-Weissig,Lisa",LTEN107-Chaucer(A),WI19,14,12,100.0%,100.0%,4.67,B+(3.58),N/A
"Vitkus,DanielJ.",LTEN110-Topics:TheRenaissance(A),WI19,14,4,100.0%,100.0%,5.83,B+(3.33),N/A
"Loose,Margaret",LTEN127-VictorianPoetry(A),WI19,20,16,100.0%,100.0%,4.75,B+(3.57),B+(3.54)
"Walkiewicz,KathrynA",LTEN149-Topics:English-LanguageLit(A),WI19,28,13,100.0%,100.0%,5.00,A-(3.85),A-(3.79)
"Walkiewicz,KathrynA",LTEN153-RevolutnryWar/EarlyNatnlPrd(A),WI19,19,3,100.0%,100.0%,5.50,A(4.00),N/A
"Nguyen,HoangTan",LTEN178-ComparativeEthnicLiterature(A),WI19,22,8,100.0%,85.7%,5.00,A-(3.75),B+(3.58)
