Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Bahadori,MohammadYousef",MAE101B-AdvancedFluidMechanics(A),S219,40,10,90.0%,90.0%,8.90,B(3.00),B-(2.96)
"Bahadori,MohammadYousef",MAE107-ComputationalMethods/Engineer(A),S219,56,18,72.2%,55.6%,7.72,B(3.06),B-(2.96)
"Lubarda,Marko",MAE130A-MechanicsI:Statics(A),S219,20,10,100.0%,100.0%,5.10,B+(3.40),B-(2.96)
"Eliasson,Veronica",MAE130B-MechanicsII:Dynamics(A),S219,43,43,93.0%,93.0%,10.55,C+(2.67),C+(2.39)
"AbiGhanem,Maroun",MAE130C-MechanicsIII:Vibrations(A),S219,23,22,90.9%,100.0%,5.95,B+(3.36),B+(3.61)
"Silberman,Jack",MAE148-IntrotoAutonomousVehicles(A),S219,14,13,100.0%,100.0%,14.19,B+(3.54),N/A
"Evdokimenko,Ekaterina",MAE20-ElementsofMaterialsScience(A),S219,24,20,95.0%,95.0%,5.70,B+(3.55),B+(3.44)
"Lubarda,Marko",MAE8-MATLABProgramforEngrAnalys(A),S219,50,43,97.3%,97.3%,6.09,B+(3.39),B+(3.34)
"Behrou,Reza",MAE101A-IntroductoryFluidMechanics(A),S119,36,34,100.0%,100.0%,8.26,B+(3.44),B(3.18)
"Bahadori,MohammadYousef",MAE101C-HeatTransfer(A),S119,35,17,87.5%,81.3%,7.43,B(3.00),C+(2.53)
"Bahadori,MohammadYousef",MAE104-Aerodynamics(A),S119,23,10,100.0%,77.8%,8.06,B+(3.44),B(3.26)
"Bandaru,Prabhakar",MAE105-IntroToMathematicalPhysics(A),S119,40,8,75.0%,87.5%,8.25,B(3.00),B(3.08)
"Rajamanickam,Prabakaran",MAE11-Thermodynamics(A),S119,27,10,80.0%,55.6%,11.10,B(3.10),B(3.24)
"Ghazinejad,Maziar",MAE131A-SolidMechanicsI(A),S119,42,31,100.0%,100.0%,7.15,B+(3.30),B+(3.33)
"Lubarda,Marko",MAE150-Computer-AidedAnalysis&Design(A),S119,36,15,93.3%,86.7%,10.10,B-(2.87),B-(2.97)
"Lubarda,Marko",MAE8-MATLABProgramforEngrAnalys(A),S119,23,10,100.0%,100.0%,6.50,A-(3.86),B+(3.60)
"Miller,DavidR.",MAE101B-AdvancedFluidMechanics(B),SP19,74,26,96.2%,92.0%,9.27,B+(3.62),B(3.16)
"Nomura,KeikoK.",MAE101B-AdvancedFluidMechanics(C),SP19,130,74,93.2%,91.7%,7.87,B(3.04),B-(2.96)
"Li,Mengying",MAE101C-HeatTransfer(A),SP19,44,29,93.1%,96.6%,7.26,B(3.28),B(3.17)
"CarreiraPedro,HugoT",MAE101D-IntermediateHeatTransfer(A),SP19,10,6,100.0%,100.0%,7.17,C+(2.67),N/A
