Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Um,KoWoon",MATH2-IntrotoCollegeMathematics(A),S319,10,5,66.7%,100.0%,7.83,C+(2.67),N/A
"Jones,MilesE",MATH3C-Precalculus(A),S319,23,17,100.0%,100.0%,8.85,B(3.18),N/A
"Jones,MilesE",MATH3C-Precalculus(B),S319,22,14,91.7%,90.9%,11.58,B(3.07),N/A
"Harel,Guershon",MATH102-AppliedLinearAlgebra(A),S219,25,10,88.9%,77.8%,11.83,B+(3.56),C+(2.41)
"Stapleton,DavidJohn",MATH103B-ModernAlgebraII(A),S219,35,10,75.0%,87.5%,9.75,B(3.29),B-(2.89)
"Pelayo,Alvaro",MATH103B-ModernAlgebraII(B),S219,27,10,90.0%,100.0%,9.10,B(3.10),C+(2.67)
"Popescu,CristianD.",MATH105-BasicNumberTheory(A),S219,19,5,60.0%,60.0%,7.70,B-(2.80),N/A
"Pelayo,Alvaro",MATH109-MathematicalReasoning(A),S219,25,12,83.3%,100.0%,8.67,A-(3.75),B-(2.93)
"Anzaldo,LeesaB",MATH109-MathematicalReasoning(B),S219,42,14,91.7%,100.0%,7.67,B+(3.58),B(3.09)
"Bowers,AdamR.",MATH10B-CalculusII(A),S219,63,18,77.8%,83.3%,8.28,B-(2.83),D(1.23)
"Rotar,Vladimir",MATH10C-CalculusIII(A),S219,86,63,82.0%,86.9%,8.30,B-(2.98),B-(2.94)
"Eggers,JohnDietrich",MATH120A-ElementsofComplexAnalysis(A),S219,42,5,80.0%,80.0%,8.50,B+(3.60),B-(2.80)
"Chow,Bennett",MATH130A-OrdinaryDifferntlEquationI(B),S219,38,13,76.9%,91.7%,8.81,B+(3.38),B+(3.39)
"Behzadan,Ali",MATH142B-IntroductiontoAnalysisII(A),S219,60,18,87.5%,93.8%,10.00,B+(3.56),B+(3.32)
"Wang,Lujia",MATH142B-IntroductiontoAnalysisII(B),S219,23,7,71.4%,85.7%,8.79,B(3.14),B-(2.72)
"Harel,Guershon",MATH18-LinearAlgebra(A),S219,75,25,72.0%,52.0%,11.78,B+(3.44),C+(2.40)
"Rotar,Vladimir",MATH193B-ActuarialMathematicsII(A),S219,18,11,100.0%,100.0%,8.68,B+(3.64),N/A
"Ciotti,Benjamin",MATH20A-Calculus/Science&Engineering(A),S219,19,10,87.5%,87.5%,8.75,B+(3.63),N/A
"Anzaldo,LeesaB",MATH20B-Calculus/Science&Engineering(A),S219,52,9,100.0%,100.0%,8.75,B+(3.63),C+(2.33)
"Um,KoWoon",MATH20C-Calculus&AnalytGeom/Sci&Engnr(A),S219,127,41,92.1%,97.3%,8.13,B(3.19),C+(2.64)
"Tu,Yucheng",MATH20D-Intro/DifferentialEquations(A),S219,100,37,91.4%,97.1%,6.67,B+(3.62),B(3.04)
"Meyer,KylePhillip",MATH20E-VectorCalculus(A),S219,75,28,85.2%,63.0%,9.39,B+(3.68),B-(2.72)
"Ciotti,Benjamin",MATH20E-VectorCalculus(B),S219,92,29,63.0%,59.3%,7.98,B-(2.93),C+(2.64)
"Strahl,PerryRobert",MATH103A-ModernAlgebraI(A),S119,38,30,83.3%,93.3%,7.63,B(3.03),B(3.22)
"Pelayo,Alvaro",MATH103A-ModernAlgebraI(B),S119,39,20,95.0%,95.0%,8.10,B+(3.30),B-(2.88)
"Pelayo,Alvaro",MATH109-MathematicalReasoning(A),S119,33,12,91.7%,91.7%,9.33,B(3.27),C+(2.58)
"Anzaldo,LeesaB",MATH109-MathematicalReasoning(B),S119,45,13,92.3%,100.0%,6.96,B+(3.54),B(3.02)
"Bowers,AdamR.",MATH10A-CalculusI(A),S119,58,28,76.9%,88.0%,13.81,B-(2.79),C+(2.45)
"Rotar,Vladimir",MATH10B-CalculusII(A),S119,63,39,82.1%,89.5%,8.60,B-(2.85),C+(2.70)
"Hammock,FrancesH",MATH11-Calculus-BasedProb&Stats(A),S119,99,33,87.5%,96.8%,10.18,B+(3.37),B-(2.70)
"Chow,Bennett",MATH110A-IntrotoPDEI(B),S119,33,10,100.0%,90.0%,9.30,B+(3.60),B(3.11)
"Behzadan,Ali",MATH142A-IntroductiontoAnalysisI(A),S119,106,33,90.0%,93.3%,8.30,B(3.27),B(3.08)
"Wang,Lujia",MATH142A-IntroductiontoAnalysisI(B),S119,25,10,62.5%,62.5%,10.00,B(3.13),C+(2.51)
"Stevens,LauraJeanne",MATH18-LinearAlgebra(A),S119,153,105,88.3%,99.0%,8.83,B(3.10),C+(2.51)
"Rotar,Vladimir",MATH193A-ActuarialMathematicsI(A),S119,59,34,81.8%,84.4%,8.19,B(3.16),B+(3.33)
"Ceccherini-Silberstein,Tullio",MATH20A-Calculus/Science&Engineering(A),S119,20,11,70.0%,80.0%,11.70,B-(2.82),B-(2.92)
"Ceccherini-Silberstein,Tullio",MATH20B-Calculus/Science&Engineering(A),S119,41,8,100.0%,100.0%,7.50,B(3.13),C+(2.37)
"Tu,Yucheng",MATH20C-Calculus&AnalytGeom/Sci&Engnr(A),S119,97,29,92.0%,96.0%,6.94,B(3.11),B-(2.97)
"Kitsela,Roman",MATH20D-Intro/DifferentialEquations(A),S119,132,51,91.5%,95.7%,6.83,B+(3.48),B-(2.86)
"Strahl,PerryRobert",MATH20E-VectorCalculus(A),S119,109,63,88.9%,90.5%,8.47,B+(3.49),B(3.07)
"Chow,Bennett",MATH4C-Pre-calculusforSci&Engn(A),S119,28,13,100.0%,92.3%,10.65,B(3.23),B(3.09)
"Popescu,CristianD.",MATH100C-AbstractAlgebraIII(A),SP19,35,7,100.0%,100.0%,10.50,B(3.00),B+(3.69)
"Savvas,Michail",MATH102-AppliedLinearAlgebra(A),SP19,145,52,100.0%,100.0%,6.11,B+(3.66),B+(3.47)
"Dressler,Mareike",MATH102-AppliedLinearAlgebra(B),SP19,145,42,66.7%,57.1%,6.61,B-(2.94),C+(2.39)
"Mohammadi,Amir",MATH103B-ModernAlgebraII(A),SP19,69,14,100.0%,100.0%,9.50,B+(3.44),C+(2.48)
"Anzaldo,LeesaB",MATH103B-ModernAlgebraII(B),SP19,132,42,76.3%,97.4%,7.58,B-(2.97),B-(2.96)
"Sorensen,ClausM",MATH104C-NumberTheoryIII(A),SP19,10,8,100.0%,100.0%,8.00,B+(3.38),N/A
"Au,BensonC",MATH109-MathematicalReasoning(A),SP19,60,19,76.5%,73.3%,6.26,B(3.12),B-(2.87)
"Rabin,JeffreyMark",MATH109-MathematicalReasoning(B),SP19,97,35,96.8%,96.8%,7.94,B+(3.45),B-(2.73)
"Tamam,Nattalie",MATH109-MathematicalReasoning(D),SP19,52,31,86.7%,62.1%,7.23,B(3.14),B-(2.78)
"Licht,MartinW",MATH109-MathematicalReasoning(E),SP19,56,44,90.9%,86.4%,7.64,B+(3.36),B(3.19)
"Dewey,EdwardHarold",MATH10A-CalculusI(A),SP19,204,80,62.8%,60.3%,5.45,B-(2.70),B-(2.84)
"Hammock,FrancesH",MATH10B-CalculusII(A),SP19,331,168,82.4%,92.4%,6.69,B-(2.79),C+(2.40)
"Anzaldo,LeesaB",MATH10B-CalculusII(B),SP19,276,122,72.7%,88.0%,6.84,B-(2.77),C+(2.44)
"Kitsela,Roman",MATH10C-CalculusIII(A),SP19,209,158,87.8%,96.8%,6.22,B(3.21),C+(2.69)
"Um,KoWoon",MATH10C-CalculusIII(B),SP19,196,89,80.0%,81.3%,5.33,B(3.27),B-(2.73)
"Swanson,JoshuaP",MATH11-Calculus-BasedProb&Stats(A),SP19,215,101,60.2%,63.0%,7.32,B-(2.95),B(3.02)
"Aghajani,Mohammadreza",MATH11-Calculus-BasedProb&Stats(B),SP19,280,132,78.6%,81.6%,5.91,B+(3.30),B-(2.87)
"Curry,SeanN",MATH120B-AppliedComplexAnalysis(A),SP19,54,21,95.2%,95.2%,7.80,B+(3.50),B+(3.52)
"Stevens,LauraJeanne",MATH121B-FoundofTeachg/LearngMathII(A),SP19,20,14,100.0%,100.0%,5.12,B(3.23),B(3.16)
"Zlatos,Andrej",MATH140C-Foundations/RealAnalysisIII(A),SP19,27,13,92.3%,84.6%,11.27,B+(3.31),B-(2.97)
"Curry,SeanN",MATH142B-IntroductiontoAnalysisII(A),SP19,216,64,88.1%,100.0%,7.86,B+(3.56),B(3.27)
"Ioana,Adrian",MATH142B-IntroductiontoAnalysisII(B),SP19,89,36,87.5%,100.0%,8.44,B+(3.42),C+(2.46)
"Huynh,ThangL",MATH152-ApplicableMathandComputing(A),SP19,154,111,83.2%,87.9%,5.49,B+(3.34),B(3.03)
"Verstraete,JacquesAllan",MATH154-DiscreteMath&GraphTheory(A),SP19,231,63,85.2%,87.0%,7.72,B+(3.37),B-(2.96)
"Buss,SamuelR",MATH155B-TopicsinComputerGraphics(A),SP19,17,6,100.0%,100.0%,13.83,A(4.00),N/A
"Bowers,AdamR.",MATH163-HistoryofMathematics(A),SP19,111,33,93.1%,96.3%,4.71,B+(3.33),B-(2.96)
"Meyer,DavidA.",MATH168A-Topics/AppliedMath-CompSci(A),SP19,105,32,86.2%,82.8%,8.03,B-(2.86),B(3.18)
"Cheng,Li-Tien",MATH170B-Intro/NumericalAnaly/Approxim(A),SP19,157,34,64.5%,67.7%,8.97,C+(2.67),C+(2.31)
"Saab,Rayan",MATH170C-IntroNumericalAnaly/OrdDiff(A),SP19,45,38,83.8%,94.6%,7.26,B(3.09),B-(2.79)
"Gill,PhilipE.",MATH171B-IntroNumOptimiz/Nonlinear(A),SP19,93,22,80.0%,85.0%,8.30,B(3.21),B(3.08)
"Leok,Melvin",MATH179-ProjinComputational/AppMath(A),SP19,26,5,40.0%,40.0%,4.90,B+(3.60),A-(3.86)
"Kitsela,Roman",MATH18-LinearAlgebra(B),SP19,214,114,88.6%,87.5%,5.87,B+(3.51),B-(2.77)
"Tamam,Nattalie",MATH18-LinearAlgebra(C),SP19,198,70,68.3%,45.2%,7.26,B(3.15),B-(2.71)
"Strahl,PerryRobert",MATH18-LinearAlgebra(D),SP19,254,174,82.7%,63.7%,5.11,B(3.14),B(3.11)
"Green,NathanE",MATH18-LinearAlgebra(E),SP19,217,189,88.2%,95.7%,6.22,B+(3.35),B-(2.91)
"Aghajani,Mohammadreza",MATH180B-Intro/StochasticProcessesI(A),SP19,103,33,90.0%,89.7%,8.57,B+(3.38),C+(2.69)
"Fitzsimmons,PatrickJ",MATH180C-Intro/StochasticProcessesII(A),SP19,44,11,60.0%,77.8%,9.10,B-(2.91),C+(2.48)
"Schweinsberg,Jason",MATH180C-Intro/StochasticProcessesII(B),SP19,148,55,92.0%,94.0%,10.50,B+(3.50),B(3.08)
"Zhang,Danna",MATH181A-Intro/MathStatisticsI(A),SP19,159,50,93.3%,86.7%,6.41,B+(3.40),B(3.21)
"Krief,Jerome",MATH181A-Intro/MathStatisticsI(B),SP19,72,14,90.9%,40.0%,5.90,B+(3.36),B-(2.93)
"Quarfoot,DavidJames",MATH181B-Intro/MathStatisticsII(A),SP19,95,35,90.9%,87.9%,9.53,B+(3.47),B(3.02)
"Krief,Jerome",MATH181B-Intro/MathStatisticsII(B),SP19,59,15,85.7%,64.3%,5.97,B+(3.67),B(3.13)
"Quarfoot,DavidJames",MATH183-StatisticalMethods(A),SP19,258,72,91.3%,92.6%,9.05,B(3.26),B-(2.85)
"Au,BensonC",MATH184A-Combinatorics(A),SP19,30,10,77.8%,88.9%,6.94,B(3.00),B-(2.79)
"Swanson,JoshuaP",MATH184A-Combinatorics(B),SP19,76,23,61.9%,61.9%,10.70,B-(2.76),B-(2.84)
"Knop,Aleksandr",MATH184A-Combinatorics(C),SP19,62,39,69.2%,78.9%,6.76,B(3.27),B-(2.76)
"Arias-Castro,Ery",MATH185-IntrotoComputationalStats(A),SP19,147,38,65.6%,53.1%,8.82,B(3.03),B(3.02)
"Zhou,Wenxin",MATH189-DataAnalysisandInference(A),SP19,172,37,90.9%,78.1%,6.26,A-(3.97),A-(3.77)
"Roberts,JustinDeritter",MATH191-TopicsInTopology(A),SP19,20,9,100.0%,88.9%,7.17,A(4.00),A(4.00)
"Bach,QuangTran",MATH20A-Calculus/Science&Engineering(A),SP19,130,49,97.7%,95.3%,5.57,B-(2.80),C+(2.52)
"Postema,Jacob",MATH20B-Calculus/Science&Engineering(A),SP19,201,90,43.0%,33.3%,7.58,C(2.29),C+(2.67)
"Tucker,HenryJackson",MATH20B-Calculus/Science&Engineering(B),SP19,194,66,87.9%,76.8%,5.92,B(3.02),C+(2.57)
"Hammock,FrancesH",MATH20C-Calculus&AnalytGeom/Sci&Engnr(A),SP19,305,130,89.3%,95.0%,6.55,B(3.13),B-(2.80)
"Ferrara,JosephWilliam",MATH20C-Calculus&AnalytGeom/Sci&Engnr(B),SP19,304,142,76.6%,71.7%,5.96,B(3.10),C+(2.59)
"Wang,Lujia",MATH20C-Calculus&AnalytGeom/Sci&Engnr(C),SP19,174,70,59.1%,36.9%,7.02,B-(2.91),B-(2.70)
"Behzadan,Ali",MATH20D-Intro/DifferentialEquations(A),SP19,146,70,93.7%,87.3%,6.06,B+(3.44),B(3.13)
"Um,KoWoon",MATH20D-Intro/DifferentialEquations(B),SP19,230,105,88.9%,92.8%,5.50,B+(3.40),C+(2.64)
"Strahl,PerryRobert",MATH20D-Intro/DifferentialEquations(C),SP19,244,162,87.3%,75.2%,5.68,B+(3.51),B-(2.80)
"Huynh,ThangL",MATH20E-VectorCalculus(A),SP19,200,151,83.0%,82.3%,6.31,B(3.07),B-(2.93)
"Behzadan,Ali",MATH20E-VectorCalculus(B),SP19,195,85,89.0%,93.8%,7.08,B+(3.49),B(3.12)
"Ben-Ezra,DavidEl-Chai",MATH20E-VectorCalculus(C),SP19,312,125,88.6%,94.7%,6.03,B+(3.55),B(3.16)
"Bowers,AdamR.",MATH31CH-HonorsVectorCalculus(A),SP19,38,16,93.3%,100.0%,5.38,A-(3.93),B(3.29)
"Pikula,Nina",MATH3C-Precalculus(A),SP19,78,28,88.5%,76.0%,5.73,B(3.14),C+(2.61)
"Rabin,JeffreyMark",MATH87-FreshmanSeminar(B),SP19,16,8,100.0%,100.0%,1.07,A(4.00),N/A
"Stevens,LauraJeanne",MATH87-FreshmanSeminar(C),SP19,20,11,100.0%,100.0%,1.41,B+(3.67),N/A
