Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Peterson,JohannaLee",MMW122-ExploringtheModernWorld(A),S219,79,59,55.9%,81.0%,9.82,B(3.10),B(3.05)
"Chang,EdmondYi-Teh",MMW15-TwentiethCenturyandBeyond(A),S219,158,93,81.6%,95.2%,8.06,B+(3.33),B+(3.50)
"Patterson,PatrickH.",MMW121-ExploringthePre-ModernWorld(A),S119,45,43,81.4%,97.7%,10.31,B+(3.42),B(3.24)
"Adamiak,PatrickJohn","MMW14-Revolution,Industry&Empire(A)",S119,186,102,68.1%,96.7%,7.00,B(3.22),B(3.27)
"Herbst,Matthew","MMW14GS-Revolution,Industry&Empire(A)",S119,18,9,100.0%,100.0%,6.94,B+(3.56),N/A
"Radcliff,PamelaB.",MMW15GS-TwentiethCenturyandBeyond(A),S119,26,22,95.5%,100.0%,6.23,B+(3.45),B+(3.60)
"Kwak,Nancy",MMW15GS-TwentiethCenturyandBeyond(B),S119,24,7,100.0%,100.0%,5.93,A(4.00),A-(3.85)
"Rahimi,Babak",MMW13-NewIdeas&CulturalEncountrs(A),SP19,360,230,55.3%,81.3%,5.75,B+(3.41),B+(3.36)
"Chang,EdmondYi-Teh",MMW13-NewIdeas&CulturalEncountrs(B),SP19,351,242,70.5%,95.0%,6.84,B(3.02),B(3.02)
"Chang,EdmondYi-Teh",MMW13-NewIdeas&CulturalEncountrs(C),SP19,346,239,58.7%,87.8%,6.40,B(3.04),B(3.02)
"Radcliff,PamelaB.",MMW15-TwentiethCenturyandBeyond(A),SP19,248,201,66.5%,88.2%,5.19,B+(3.42),B+(3.34)
"Prestholdt,Jeremy",MMW15-TwentiethCenturyandBeyond(B),SP19,248,155,68.0%,90.0%,4.37,B(3.25),B+(3.35)
"Kwak,Nancy",MMW15-TwentiethCenturyandBeyond(C),SP19,252,124,57.1%,82.4%,4.50,B+(3.47),B+(3.48)
"Goldstein,PaulS",MMW12-Classical&MedievalTradition(A),WI19,276,187,57.2%,64.9%,5.61,B(3.21),B(3.10)
"Smarr,JanetL.",MMW12-Classical&MedievalTradition(B),WI19,403,312,58.1%,80.8%,6.47,B(3.12),B(3.13)
"Herbst,Matthew",MMW12-Classical&MedievalTradition(C),WI19,375,284,73.9%,96.3%,7.52,B(3.20),B(3.20)
"Chang,EdmondYi-Teh",MMW122-ExploringtheModernWorld(A),WI19,281,176,48.1%,79.9%,6.95,B(3.13),B-(2.83)
"Zhiri,Oumelbanine",MMW122-ExploringtheModernWorld(B),WI19,152,99,29.9%,46.9%,5.45,B-(2.98),B-(2.80)
"Chang,EdmondYi-Teh","MMW14-Revolution,Industry&Empire(A)",WI19,299,163,73.2%,94.0%,5.81,B(3.29),B+(3.33)
"Hertz,Deborah","MMW14-Revolution,Industry&Empire(B)",WI19,174,102,45.7%,48.4%,4.63,B+(3.49),B+(3.32)
"Herbst,Matthew","MMW14-Revolution,Industry&Empire(C)",WI19,3,3,66.7%,100.0%,7.83,B+(3.33),N/A
"duBois,PageAnn",MMW11-Pre-History&AncientFoundatn(A),FA18,322,256,78.0%,93.9%,5.08,B+(3.52),B+(3.39)
"Jordan,DavidK.",MMW11-Pre-History&AncientFoundatn(B),FA18,268,208,62.0%,73.1%,7.94,B-(2.90),B-(2.99)
"Chang,EdmondYi-Teh",MMW11-Pre-History&AncientFoundatn(C),FA18,278,193,86.8%,98.9%,6.88,B(3.18),B-(2.94)
"Herbst,Matthew",MMW11-Pre-History&AncientFoundatn(D),FA18,302,262,84.2%,98.0%,7.12,B(3.26),B(3.29)
"MyerstonSantana,Jacobo",MMW11-Pre-History&AncientFoundatn(D),FA18,302,234,84.0%,59.0%,6.92,B(3.26),N/A
"Keller-Lapp,HeidiM.",MMW121-ExploringthePre-ModernWorld(A),FA18,203,180,61.6%,87.4%,6.33,B+(3.30),B(3.08)
"Patterson,PatrickH.",MMW121-ExploringthePre-ModernWorld(B),FA18,291,263,66.9%,92.6%,7.24,B+(3.34),B(3.15)
"Chang,EdmondYi-Teh","MMW14-Revolution,Industry&Empire(A)",FA18,295,185,66.5%,91.9%,6.08,B(3.24),B(3.21)
"Tasyakan,Baris",MMW122-ExploringtheModernWorld(A),S218,82,73,57.5%,87.7%,7.73,B-(2.88),B-(2.81)
"Chang,EdmondYi-Teh",MMW15-TwentiethCenturyandBeyond(A),S218,162,49,60.0%,93.2%,7.76,B(3.24),B(3.07)
"Patterson,PatrickH.",MMW121-ExploringthePre-ModernWorld(A),S118,56,44,86.4%,97.7%,9.45,B(3.25),B(3.24)
"Palhegyi,JoelDavid","MMW14-Revolution,Industry&Empire(A)",S118,167,85,58.0%,85.5%,7.95,B+(3.35),B(3.23)
"Gallant,ThomasW.","MMW14GS-Revolution,Industry&Empire(A)",S118,26,7,85.7%,100.0%,4.90,A(4.00),A(4.00)
"Evans,IvanT",MMW15GS-TwentiethCenturyandBeyond(A),S118,24,6,100.0%,100.0%,1.83,B+(3.67),A-(3.75)
