Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Miller,CarolineLouise",MUS15-PopularMusic(A),S219,26,10,88.9%,88.9%,2.90,A(4.00),A-(3.81)
"Choi,EstherMin","MUS151-Race,Culture&SocialChange(A)",S219,16,4,50.0%,75.0%,4.50,B+(3.50),N/A
"Hsu,JenniferShanchen",MUS173-ElectronicMusicProd&Comp(A),S219,14,5,100.0%,100.0%,4.90,A(4.00),N/A
"Matsuno,MichaelKento",MUS20-ExploringtheMusicalMind(A),S219,22,18,88.9%,88.9%,2.94,B+(3.62),A-(3.76)
"Beauton,JamesAlan","MUS7-Music,MediaandTechnology(A)",S219,30,11,90.9%,90.9%,3.77,A-(3.89),B+(3.51)
"Rubio,JuanDavid",MUS80-SpecialTopicsinMusic(A),S219,24,21,76.2%,90.5%,2.50,A-(3.90),A(4.00)
"Hochman,JoshuaDavid",MUS116-PopularMusicStudiesSeminar(A),S119,19,9,87.5%,100.0%,2.72,A(4.00),N/A
"Matsuno,MichaelKento",MUS14-ContemporaryMusic(A),S119,11,4,100.0%,100.0%,3.83,A(4.00),N/A
"Nussman,JonathanBanks",MUS15-PopularMusic(A),S119,28,19,100.0%,100.0%,4.50,A-(3.93),A-(3.84)
"Borgo,DavidGarcia",MUS150-Jazz&Music/AfricanDiaspora(A),S119,34,20,76.5%,87.5%,8.39,B+(3.63),A-(3.76)
"AbbasiHafshejani,Anahita",MUS5-SoundinTime(A),S119,38,13,76.9%,76.9%,3.27,A-(3.78),A-(3.72)
"Dubnov,Shlomo","MUS7-Music,MediaandTechnology(A)",S119,21,5,60.0%,60.0%,3.70,A-(3.75),B+(3.46)
"GutierrezMartinez,Andres",MUS80-SpecialTopicsinMusic(B),S119,22,8,71.4%,85.7%,1.93,B+(3.60),B+(3.63)
"Kline,MatthewJohn",MUS80-SpecialTopicsinMusic(C),S119,12,4,100.0%,100.0%,8.50,B(3.00),N/A
"Burr,AnthonyI",MUS101C-MusicTheoryandPracticeIII(A),SP19,32,8,62.5%,87.5%,7.00,B(3.00),B+(3.30)
"Steiger,Rand",MUS103C-SeminarinCompositionIII(A),SP19,4,3,100.0%,100.0%,6.50,A(4.00),N/A
"Carlson,ErikNorman",MUS106-TopicsinMusicalAnalysis(A),SP19,11,11,100.0%,100.0%,1.77,A-(3.91),N/A
"TerrazasPerez,WilfridoD",MUS11-FolkMusic(A),SP19,127,68,96.9%,96.9%,2.06,A-(3.92),A-(3.95)
"Yadegari,ShahrokhD",MUS111-Topics/WorldMusicTraditions(A),SP19,116,81,92.4%,94.9%,3.97,B+(3.67),A-(3.74)
"Narucki,SusanM",MUS12-Opera(A),SP19,72,27,91.7%,87.5%,2.33,B+(3.53),B(3.18)
"Cimini,AmyMarie",MUS120C-HistMusinWestrnCultureIII(A),SP19,25,7,66.7%,66.7%,3.93,B+(3.43),B-(2.77)
"Allen,RachelElizabeth",MUS127-DiscoverJazz(A),SP19,70,64,96.8%,96.8%,2.44,B+(3.61),B+(3.60)
"Ohnishi,Takae",MUS130-ChamberMusicPerformance(A),SP19,21,17,94.1%,100.0%,4.75,A(4.00),A(4.00)
"Kenyatta,Kamau",MUS137C-JazzTheoryandImprovisation(A),SP19,22,7,100.0%,100.0%,3.30,A(4.00),A(4.00)
"Borgo,DavidGarcia",MUS143-DepartmentSeminar(A),SP19,11,3,66.7%,100.0%,0.50,A(4.00),N/A
"Hochman,JoshuaDavid",MUS15-PopularMusic(A),SP19,250,90,81.8%,83.1%,2.55,B+(3.35),B-(2.85)
"Dubnov,Shlomo",MUS160B-SeniorProj/ComputingArtsII(A),SP19,9,5,100.0%,100.0%,6.50,B(3.00),N/A
"Erbe,Tom",MUS160B-SeniorProj/ComputingArtsII(B),SP19,14,4,100.0%,100.0%,6.50,A(4.00),N/A
"Chodos,AsherTobin",MUS17-Hip-Hop(A),SP19,393,153,86.9%,86.9%,3.15,A-(3.70),B+(3.54)
"Erbe,Tom",MUS172-ComputerMusicII(A),SP19,33,9,87.5%,87.5%,3.75,A-(3.78),B+(3.44)
"Hankins,SarahE.",MUS173-ElectronicMusicProd&Comp(A),SP19,25,19,100.0%,100.0%,4.28,A-(3.76),B+(3.64)
"Burr,AnthonyI",MUS174C-Audio&MIDIStudioTechniquesIII(A),SP19,23,5,100.0%,100.0%,3.30,A-(3.80),A-(3.84)
"Smyth,TamaraR.",MUS175-MusicalPsychoacoustics(A),SP19,12,3,100.0%,100.0%,1.17,C+(2.67),N/A
"Hankins,SarahE.",MUS176-MusicTechnologySeminar(A),SP19,13,8,57.1%,83.3%,5.36,A-(3.83),N/A
"Clarino,ChristopherRichard",MUS1C-FundamentalsofMusicC(A),SP19,60,21,84.2%,84.2%,2.71,B+(3.67),B(3.25)
"AbbasiHafshejani,Anahita",MUS2C-BasicMusicianship(A),SP19,8,5,100.0%,100.0%,3.30,A-(3.75),N/A
"AbbasiHafshejani,Anahita",MUS2C-BasicMusicianship(B),SP19,12,8,87.5%,100.0%,2.50,A-(3.88),N/A
"Ohnishi,Takae",MUS2CK-BasicKeyboard(A),SP19,7,5,100.0%,100.0%,2.10,A(4.00),N/A
"Diels,NatachaD.",MUS33C-IntrodctiontoCompositionIII(A),SP19,13,5,60.0%,80.0%,10.50,A(4.00),N/A
"Nussman,JonathanBanks",MUS4-IntroductiontoWesternMusic(A),SP19,284,215,93.4%,99.5%,3.32,B+(3.68),B+(3.58)
"Borgo,DavidGarcia",MUS43-DepartmentSeminar(A),SP19,92,15,57.1%,80.0%,0.50,N/A,N/A
"Schick,Steven",MUS95D-SymphonicChorus(A),SP19,15,4,100.0%,100.0%,1.50,A(4.00),N/A
"Kline,MatthewJohn",MUS95E-ChamberOrchestra(A),SP19,27,17,100.0%,100.0%,2.88,A(4.00),A(4.00)
"Anderson,Kenneth",MUS95G-GospelChoir(A),SP19,392,124,100.0%,100.0%,1.07,A(4.00),N/A
"Anderson,Kenneth",MUS95G-GospelChoir(B),SP19,165,50,100.0%,100.0%,0.99,A(4.00),N/A
"Kenyatta,Kamau",MUS95JC-JazzChamberEnsembles(A),SP19,18,4,100.0%,100.0%,2.00,A(4.00),N/A
"Oram,CelesteAlice",MUS95K-ChamberSingers(A),SP19,20,8,100.0%,100.0%,1.50,A(4.00),A-(3.98)
"Beauton,JamesAlan",MUS95L-WindEnsemble(A),SP19,46,27,100.0%,100.0%,2.57,A(4.00),A(4.00)
"Seshadri,Kartik",MUS95W-WorldMusicEnsembles(A),SP19,60,11,100.0%,100.0%,1.64,A-(3.80),B+(3.54)
"Seshadri,Kartik",MUS95W-WorldMusicEnsembles(B),SP19,35,10,87.5%,87.5%,1.50,A(4.00),B+(3.54)
"Oram,CelesteAlice",MUS101B-MusicTheoryandPracticeII(A),WI19,31,6,100.0%,100.0%,6.83,B+(3.33),B+(3.47)
"Ung,Chinary",MUS111-Topics/WorldMusicTraditions(A),WI19,39,19,78.9%,73.7%,2.82,B+(3.53),B+(3.65)
"Curtis,CharlesRector",MUS113-Topic/Classic&Romantc&Modern(A),WI19,35,18,88.2%,93.8%,2.62,A-(3.93),A-(3.73)
"AokiNavarro,Fernanda",MUS114-MusicofThe20thCentury(A),WI19,109,39,78.4%,82.4%,3.29,B+(3.55),B-(3.00)
"Guy,Nancy",MUS12-Opera(A),WI19,142,83,90.1%,92.6%,3.13,B+(3.52),B+(3.48)
"Cimini,AmyMarie",MUS120B-HistMusinWestrnCultureII(A),WI19,29,6,20.0%,40.0%,10.90,B+(3.50),B(3.14)
"Davis,AnthonyCurtis",MUS127-DiscoverJazz(A),WI19,91,32,58.1%,64.5%,2.44,B+(3.33),B+(3.64)
"Ohnishi,Takae",MUS130-ChamberMusicPerformance(A),WI19,23,12,88.9%,100.0%,3.50,A(4.00),A(4.00)
"Kenyatta,Kamau",MUS137B-JazzTheoryandImprovisation(A),WI19,25,8,100.0%,100.0%,2.00,A(4.00),A(4.00)
"Digney,FionaRuth",MUS15-PopularMusic(A),WI19,191,89,84.5%,78.3%,2.29,A-(3.79),A-(3.75)
"Erbe,Tom",MUS160A-SeniorProj/ComputingArtsI(A),WI19,16,6,100.0%,100.0%,4.83,A(4.00),N/A
"Babin,ThomasAndrew",MUS17-Hip-Hop(A),WI19,372,160,95.3%,89.9%,2.29,A-(3.76),B+(3.66)
"Smyth,TamaraR.",MUS171-ComputerMusicI(A),WI19,81,40,52.6%,57.9%,5.82,B(3.09),B(3.13)
"Tiruviluamala,NakulVenkat",MUS173-ElectronicMusicProd&Comp(A),WI19,32,14,100.0%,100.0%,6.07,A-(3.93),A(4.00)
"Burr,AnthonyI",MUS174B-Audio&MIDIStudioTechniquesII(A),WI19,26,8,100.0%,100.0%,4.25,A-(3.88),B+(3.68)
"Clarino,ChristopherRichard",MUS1B-FundamentalsofMusicB(A),WI19,111,40,76.9%,69.2%,3.22,B+(3.42),B-(2.74)
"Murphy-Mancini,JustinJoseph",MUS2B-BasicMusicianship(A),WI19,14,3,100.0%,100.0%,4.50,A(4.00),N/A
"Murphy-Mancini,JustinJoseph",MUS2B-BasicMusicianship(B),WI19,16,10,100.0%,100.0%,3.50,A(4.00),N/A
"Ohnishi,Takae",MUS2BK-BasicKeyboard(A),WI19,11,4,100.0%,100.0%,2.50,A(4.00),N/A
"Davis,AnthonyCurtis",MUS33B-IntroductiontoCompositionII(A),WI19,13,4,50.0%,25.0%,6.50,A-(3.75),N/A
"Nussman,JonathanBanks",MUS4-IntroductiontoWesternMusic(A),WI19,189,147,93.8%,97.2%,3.30,B+(3.64),B+(3.49)
"Burr,AnthonyI",MUS43-DepartmentSeminar(A),WI19,91,21,83.3%,100.0%,1.00,A-(3.80),N/A
"Thorpe,Suzanne",MUS5-SoundinTime(A),WI19,135,116,81.6%,93.9%,2.46,A-(3.83),B+(3.70)
"Larson,PhilipClarion",MUS95C-ConcertChoir(A),WI19,28,7,100.0%,100.0%,1.83,A(4.00),A(4.00)
"Larson,PhilipClarion",MUS95C-ConcertChoir(B),WI19,29,12,100.0%,100.0%,2.00,A(4.00),A(4.00)
"Schick,Steven",MUS95D-SymphonicChorus(A),WI19,14,7,100.0%,100.0%,1.07,A(4.00),N/A
"Kline,MatthewJohn",MUS95E-ChamberOrchestra(A),WI19,24,16,100.0%,100.0%,2.90,A(4.00),A(4.00)
"Anderson,Kenneth",MUS95G-GospelChoir(A),WI19,295,101,98.9%,100.0%,1.06,A(4.00),N/A
"Anderson,Kenneth",MUS95G-GospelChoir(B),WI19,146,52,98.0%,98.0%,1.77,A-(3.88),N/A
"Kenyatta,Kamau",MUS95JC-JazzChamberEnsembles(A),WI19,22,10,100.0%,100.0%,2.50,A(4.00),A(4.00)
"Larson,PhilipClarion",MUS95K-ChamberSingers(A),WI19,24,6,100.0%,100.0%,1.17,A(4.00),A(4.00)
"Beauton,JamesAlan",MUS95L-WindEnsemble(A),WI19,46,24,100.0%,100.0%,2.76,A-(3.95),A(4.00)
"Seshadri,Kartik",MUS95W-WorldMusicEnsembles(A),WI19,27,7,100.0%,85.7%,2.21,A-(3.86),A-(3.97)
"Seshadri,Kartik",MUS95W-WorldMusicEnsembles(B),WI19,56,8,85.7%,85.7%,2.79,A-(3.71),A-(3.97)
"Karis,Aleck",MUS101A-MusicTheoryandPracticeI(A),FA18,34,13,92.3%,92.3%,7.27,B(3.15),B(3.23)
"Murphy-Mancini,JustinJoseph",MUS120A-HistMusinWestrnCultureI(A),FA18,33,11,70.0%,70.0%,7.30,B+(3.50),A-(3.75)
"Borgo,DavidGarcia",MUS126-Blues:AnOralTradition(A),FA18,109,72,88.6%,94.3%,3.40,A-(3.73),B+(3.49)
