Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Davia,CoryMichael",PHIL162-ContemporaryMoralIssues(A),S219,24,16,93.8%,100.0%,4.13,B(3.15),B(3.01)
"Connelly,KathleenAmbrose",PHIL164-TechnologyandHumanValues(A),S219,35,9,85.7%,85.7%,4.50,B+(3.43),B(3.17)
"Rickless,SamuelCharles","PHIL165-Freedom,Equality,andtheLaw(A)",S219,24,6,100.0%,83.3%,5.50,B(3.17),B(3.01)
"Joyce,KathrynElizabeth",PHIL28-EthicsAndSocietyII(A),S219,114,100,79.0%,96.0%,6.52,B(3.16),B+(3.30)
"Nelkin,DanaKay",PHIL50-Law&Society(A),S219,14,5,100.0%,100.0%,5.30,B(3.20),N/A
"Chaplin,RosalindKay",PHIL1-IntroductiontoPhilosophy(A),S119,30,18,100.0%,100.0%,4.03,B+(3.33),B(3.06)
"Grush,RickScott",PHIL10-IntroductiontoLogic(A),S119,55,18,100.0%,100.0%,4.25,B+(3.46),B-(2.87)
"Stratmann,JosephThomas",PHIL13-IntrotoPhilosophy:Ethics(A),S119,16,5,100.0%,100.0%,5.00,B+(3.50),N/A
"Knutzen,Jonathan",PHIL163-Bio-MedicalEthics(A),S119,41,30,100.0%,100.0%,4.77,B+(3.40),B(3.07)
"Koepke,CamiEsther",PHIL173-TopicsinBioethics(A),S119,23,15,93.3%,93.3%,6.63,B+(3.62),B(3.03)
"Finley,AaronDaniel",PHIL27-EthicsAndSociety(A),S119,79,54,81.1%,90.6%,6.06,B+(3.30),B+(3.51)
"Rutherford,DonaldPaul",PHIL1-IntroductiontoPhilosophy(A),SP19,68,26,95.7%,100.0%,3.95,B+(3.63),B(3.03)
"Grush,RickScott",PHIL10-IntroductiontoLogic(A),SP19,299,105,91.0%,97.0%,4.34,B+(3.41),B-(2.99)
"Johnson,Monte",PHIL102-HellenisticPhilosophy(A),SP19,28,8,85.7%,85.7%,6.21,B+(3.40),B(3.28)
"Rutherford,DonaldPaul",PHIL108-Nineteenth-CenturyPhilosophy(A),SP19,40,11,90.9%,90.9%,7.23,B+(3.30),B-(2.97)
"Hardimon,MichaelO.",PHIL112-HistoryofPhil:LateModern(A),SP19,42,17,87.5%,93.8%,6.13,B+(3.31),B-(2.93)
"Elgin,SamuelZincke",PHIL120-SymbolicLogicI(A),SP19,70,32,96.9%,100.0%,5.31,B+(3.42),B(3.02)
"Santorio,Paolo",PHIL124-PhilosophyofMathematics(A),SP19,24,20,85.0%,95.0%,4.00,B(3.27),B+(3.38)
"Brandt,ReuvenA",PHIL13-IntrotoPhilosophy:Ethics(A),SP19,68,25,92.0%,96.0%,3.14,B+(3.33),B(3.02)
"Carr,JenniferRose",PHIL134-PhilosophyofLanguage(A),SP19,32,22,100.0%,100.0%,6.05,B+(3.30),B+(3.32)
"Callender,CraigAdam",PHIL148-PhilosophyandtheEnvironment(A),SP19,61,26,96.0%,96.0%,3.54,B+(3.63),B(3.10)
"Carr,JenniferRose",PHIL15-Intro/Phil:Knowlege&ItsLimits(A),SP19,68,35,57.6%,66.7%,3.77,B-(2.80),C+(2.52)
"Fulkerson,MatthewTodd",PHIL150-PhilosophyofCognitiveSci(A),SP19,41,16,92.9%,100.0%,4.93,B+(3.42),B(3.11)
"Bazargan-Forward,Saba",PHIL160-EthicalTheory(A),SP19,40,11,90.9%,90.9%,4.68,B+(3.40),B+(3.38)
"Anagnostopoulos,G.H.",PHIL166-Classics/PoliticalPhilosophy(A),SP19,40,14,90.9%,81.8%,3.77,B+(3.33),B+(3.32)
"Brink,DavidO.",PHIL168-PhilosophyOfLaw(A),SP19,40,10,100.0%,100.0%,4.00,A-(3.88),B+(3.61)
"Allais,LucyL.",PHIL170-PhilosophyandRace(A),SP19,75,16,100.0%,100.0%,2.00,A-(3.73),B(3.20)
"Lamey,AndyM.",PHIL177-PhilosophyandLiterature(A),SP19,18,3,100.0%,100.0%,6.50,B(3.00),N/A
"McKenzie,KerryV.","PHIL25-Science,PhilandBigQuestion(A)",SP19,44,28,69.2%,84.6%,5.42,B-(2.89),B(3.13)
"Lamey,AndyM.",PHIL27-EthicsAndSociety(A),SP19,288,121,61.6%,93.7%,4.64,B(3.22),B-(3.00)
"Doppelt,GeraldD.",PHIL28-EthicsAndSocietyII(A),SP19,253,83,51.4%,34.8%,4.11,B(3.15),B-(2.88)
"Tolley,Clinton",PHIL33-PhilosphybetwnReason/Despair(A),SP19,68,25,91.7%,82.6%,5.92,B+(3.50),B+(3.47)
"Grush,RickScott",PHIL1-IntroductiontoPhilosophy(A),WI19,55,24,95.2%,100.0%,4.68,B+(3.59),B+(3.32)
"Santorio,Paolo",PHIL10-IntroductiontoLogic(A),WI19,202,84,61.5%,68.8%,4.40,B(3.17),B-(2.80)
"Johnson,Monte",PHIL101-Aristotle(A),WI19,26,9,100.0%,100.0%,4.50,B+(3.40),B+(3.54)
"Hardimon,MichaelO.",PHIL107-Hegel(A),WI19,17,4,100.0%,100.0%,6.00,C+(2.33),N/A
"Rickless,SamuelCharles",PHIL111-HistoryofPhil:EarlyModern(B),WI19,44,19,88.9%,88.9%,6.50,B(3.00),B-(2.95)
"Lamey,AndyM.",PHIL115-PhilosophicalMethodsSeminar(A),WI19,5,4,100.0%,100.0%,8.50,B+(3.33),N/A
"Bechtel,William",PHIL12-ScientificReasoning(A),WI19,70,28,70.4%,76.9%,4.57,B-(2.74),B-(2.84)
"Sher,Gila",PHIL122-AdvancedTopicsinLogic(A),WI19,36,14,92.3%,90.9%,2.64,B+(3.64),B+(3.30)
"Arneson,RichardJ.",PHIL13-IntrotoPhilosophy:Ethics(A),WI19,54,30,64.3%,64.3%,4.02,B-(2.82),B-(2.76)
"Santorio,Paolo",PHIL130-Metaphysics(A),WI19,33,30,96.7%,100.0%,5.70,B(3.15),B(3.19)
