Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Lubin,Dan",PHYS1A-Mechanics(A),S219,59,21,50.0%,63.2%,8.00,B+(3.40),B+(3.59)
"Singh,Shruti",PHYS1AL-MechanicsLaboratory(A),S219,23,11,33.3%,33.3%,6.30,B(3.20),B+(3.67)
"Singh,Shruti",PHYS1AL-MechanicsLaboratory(B),S219,27,6,20.0%,60.0%,4.50,A(4.00),B+(3.67)
"Zdyrski,ThomasJohn",PHYS1B-ElectricityandMagnetism(A),S219,47,37,70.3%,97.3%,7.69,B(3.05),B(3.07)
"Singh,Shruti",PHYS1BL-Electricity&MagnetismLab(A),S219,22,14,71.4%,78.6%,3.64,B+(3.36),B+(3.67)
"Singh,Shruti",PHYS1BL-Electricity&MagnetismLab(B),S219,18,7,66.7%,83.3%,4.50,B+(3.50),B+(3.67)
"Kritsuk,Alexei","PHYS1C-Waves,Optics&ModernPhysics(A)",S219,46,11,63.6%,72.7%,7.41,B(3.27),B(3.28)
"Singh,Shruti","PHYS1CL-Waves,Optics&ModrnPhysLab(A)",S219,24,7,71.4%,100.0%,4.50,B+(3.43),B+(3.57)
"Mogre,SaurabhSanjay",PHYS2B-Phys-ElectricityandMagnetism(A),S219,101,31,96.7%,89.7%,9.15,B(3.26),B-(2.90)
"Chakraborty,Subrata","PHYS2C-Physics-Flu,Wav,Thrmdyn,Optics(A)",S219,94,20,90.0%,80.0%,7.70,B(3.20),B(3.03)
"Rappel,WouterJan",PHYS2CL-PhysLab-Elec&Magnetism(A),S219,52,19,37.5%,93.8%,13.44,B(3.00),B(3.16)
"Shotwell,Brian",PHYS2D-Phys-Relativity&QuantmPhysics(A),S219,20,7,100.0%,100.0%,10.79,B(3.29),B+(3.33)
"Chakraborty,Subrata",PHYS1A-Mechanics(A),S119,59,13,61.5%,69.2%,6.19,B+(3.42),B(3.13)
"Dong,Bili",PHYS1AL-MechanicsLaboratory(A),S119,27,11,80.0%,80.0%,3.77,B+(3.60),B(3.26)
"Dong,Bili",PHYS1AL-MechanicsLaboratory(B),S119,29,5,80.0%,60.0%,3.30,B(3.20),B(3.26)
"Rappel,WouterJan",PHYS1B-ElectricityandMagnetism(A),S119,50,14,78.6%,100.0%,6.07,B+(3.57),B(3.10)
"Dong,Bili",PHYS1BL-Electricity&MagnetismLab(A),S119,27,4,66.7%,66.7%,2.50,B+(3.67),B+(3.50)
