Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Gotti,IsabelRo",POLI10-Intro/PoliSci:AmerPolitics(A),S219,17,5,60.0%,100.0%,6.10,B+(3.40),N/A
"Nemerever,ZoeMae",POLI100I-ParticipationandInequality(A),S219,14,8,100.0%,100.0%,4.25,B(3.29),N/A
"Kousser,Thad",POLI103A-CalifGovernment&Politics(A),S219,15,4,100.0%,100.0%,5.50,A-(3.75),N/A
"Smith,GlennChatmas",POLI104A-SupremeCourt&Constitution(A),S219,29,6,100.0%,100.0%,5.83,A-(3.80),B+(3.48)
"Ingham,Sean",POLI118-GameTheory/PoliticalScience(A),S219,22,19,94.7%,100.0%,7.13,B+(3.47),B-(2.96)
"Porten,JohnJoseph",POLI12-Intro/PoliSci:Int'lRelations(A),S219,26,7,100.0%,100.0%,5.07,B(3.29),C+(2.65)
"Strom,Kaare",POLI120E-ScandinavianPolitics(A),S219,16,7,83.3%,100.0%,5.83,B(3.17),N/A
"Porten,JohnJoseph",POLI120N-Contention&Conflict/Africa(A),S219,19,9,75.0%,100.0%,4.50,A-(3.75),N/A
"Fisk,DavidLee",POLI126AB-Politics&Econ/CntrlEastEurope(A),S219,24,7,100.0%,100.0%,5.93,A-(3.80),B(3.14)
"Gartzke,Erik",POLI142A-UnitedStatesForeignPolicy(A),S219,40,4,100.0%,66.7%,6.50,B+(3.33),B(3.10)
"Magagna,VictorValentine",POLI142K-PoliticsandWarfare(A),S219,215,38,93.3%,93.1%,6.10,A-(3.94),A-(3.89)
"BaragwanathVogel,Kathryn",POLI160AA-Introduction/PolicyAnalysis(A),S219,27,13,100.0%,100.0%,5.00,B+(3.54),B(3.25)
"Liu,Huchen",POLI100A-ThePresidency(A),S119,33,7,100.0%,100.0%,5.50,B+(3.67),B+(3.43)
"Spangler,LieselIngrid",POLI100B-TheU.S.Congress(A),S119,19,5,80.0%,80.0%,4.90,B+(3.40),N/A
"Galderisi,Peter",POLI100E-InterestGroupPolitics(A),S119,28,3,100.0%,100.0%,1.83,A(4.00),A-(3.95)
"Smith,GlennChatmas",POLI104I-Law&Politcs-Crts&PoliControv(A),S119,34,7,100.0%,100.0%,4.79,A-(3.71),B+(3.38)
"DeAbreuMaia,Lucas",POLI108-PoliticsofMulticulturalism(A),S119,26,11,100.0%,100.0%,3.59,B+(3.55),A-(3.85)
"Ferree,KarenE",POLI11-Intro/PoliSci:ComparPolitics(A),S119,30,6,80.0%,80.0%,5.30,B+(3.40),B-(2.90)
"Magagna,VictorValentine",POLI113A-E.AsiaThought/CompPerspectv(A),S119,287,63,98.3%,100.0%,4.53,A-(3.98),A-(3.88)
"Bergman,MatthewEdward",POLI126AA-PoliticlEcon:ModrnCapitalism(A),S119,24,7,57.1%,85.7%,6.21,B+(3.33),B(3.29)
"Forman,Fonna",POLI13-PowerandJustice(A),S119,30,9,100.0%,100.0%,3.17,B+(3.67),B+(3.65)
"Bredell,GarrettBailey",POLI133A-JapanesePol:DevlpmntPerspctv(A),S119,21,6,100.0%,100.0%,6.83,B(3.00),B(3.05)
"Bredell,GarrettBailey",POLI133G-PostwarU.S.-JapanRelations(A),S119,27,7,100.0%,83.3%,4.50,B+(3.33),B+(3.31)
"Cottiero,ChristinaKearney",POLI140A-InternationalLaw(B),S119,24,12,100.0%,100.0%,6.50,A-(3.75),B+(3.44)
"Porten,JohnJoseph",POLI145A-InternationalPolitics&Drugs(A),S119,45,7,100.0%,100.0%,4.17,B+(3.50),B(3.13)
"Fisk,DavidLee",POLI145C-InterntnlReltnAfterColdWar(A),S119,11,3,100.0%,100.0%,4.50,B(3.00),N/A
"Merrell,Brandon",POLI170A-AppliedDataAnalysis/PoliSci(A),S119,11,3,100.0%,100.0%,5.17,B+(3.67),N/A
"Galderisi,Peter",POLI30-PoliticalInquiry(A),S119,27,10,90.0%,100.0%,5.90,B(3.00),B(3.00)
"Merrell,Brandon",POLI5-DataAnalytics/SocialScience(A),S119,23,5,80.0%,100.0%,7.30,B+(3.60),B-(2.70)
"Levinson,ToddSteven",POLI100M-PoliticalPsychology(A),SP19,43,14,92.3%,100.0%,5.36,A-(3.71),B(3.11)
"Fletcher,Nathan",POLI103A-CalifGovernment&Politics(A),SP19,178,40,94.3%,91.4%,4.27,B+(3.56),B-(2.93)
"Litman,HarryP",POLI104A-SupremeCourt&Constitution(A),SP19,49,14,92.3%,84.6%,6.50,B+(3.38),B(3.12)
"Smith,GlennChatmas",POLI104D-JudicialPolitics(A),SP19,158,29,84.0%,88.0%,3.86,B(3.13),B(3.07)
"Macmanus,MaureenDanielle",POLI104F-ConstitutionalLaw(A),SP19,25,7,100.0%,100.0%,7.36,A(4.00),A(4.00)
"Orfield,MichaelBennett","POLI104P-Science,Technology&theLaw(A)",SP19,60,39,94.9%,94.9%,2.50,A-(3.76),B+(3.69)
"Liu,Huchen",POLI10D-Intro/PoliSci:AmerPolitics(A),SP19,123,46,72.5%,80.0%,3.70,B+(3.53),B(3.16)
"Ingham,Sean",POLI110C-PolitclThought/Kant-Nietzsche(A),SP19,49,11,100.0%,100.0%,5.70,B+(3.50),B-(2.78)
"Mackie,Gerald",POLI111D-ChangingHarmfulSocialNorms(A),SP19,49,13,84.6%,84.6%,5.33,A-(3.92),B+(3.38)
"Neuheiser,Joerg",POLI120D-Germany:Division(A),SP19,56,44,93.0%,100.0%,4.64,B+(3.46),B(3.22)
"Feeley,MaureenCatherine",POLI122-PoliticsofHumanRights(A),SP19,146,42,91.7%,100.0%,5.22,B+(3.46),B(3.27)
"Fisk,DavidLee",POLI126AB-Politics&Econ/CntrlEastEurope(A),SP19,70,17,93.8%,100.0%,3.75,A-(3.75),B+(3.43)
"Gartzke,Erik",POLI12D-Intro/PoliSci:Int'lRelations(A),SP19,236,96,89.8%,86.4%,4.23,B+(3.61),B+(3.50)
"Hoston,Germaine",POLI131C-TheChineseRevolution(A),SP19,25,5,33.3%,66.7%,6.50,B+(3.50),B+(3.31)
"Naoi,Megumi",POLI133A-JapanesePol:DevlpmntPerspctv(A),SP19,193,58,89.5%,98.2%,4.29,B+(3.43),B+(3.50)
"Fisk,DavidLee",POLI137A-ComparPolParties/InterstGrp(A),SP19,49,11,100.0%,100.0%,5.39,A-(3.89),B+(3.60)
"Gartzke,Erik",POLI142D-WeaponsofMassDestruction(A),SP19,191,43,87.5%,87.5%,2.80,A-(3.89),A-(3.73)
"Willoughby,RandyK",POLI142I-National&InternatnlSecurity(A),SP19,82,20,83.3%,100.0%,6.28,B(3.06),B(3.12)
"Magagna,VictorValentine",POLI142K-PoliticsandWarfare(A),SP19,474,125,100.0%,100.0%,2.93,A-(3.96),A-(3.85)
"Magagna,VictorValentine",POLI142K-PoliticsandWarfare(B),SP19,474,117,99.0%,99.0%,3.65,A-(3.89),A-(3.85)
"Broz,JamesLawrence",POLI144F-Politics/Int'lTrade&Finance(A),SP19,69,18,100.0%,100.0%,4.17,B+(3.53),B(3.17)
"Roeder,PhilipG",POLI147B-Russian-AmericanRelations(A),SP19,70,21,90.5%,95.2%,5.70,B(3.00),B(3.17)
"Wong,TakKei",POLI150A-PoliticsofImmigration(A),SP19,230,65,95.2%,95.2%,3.27,A-(3.72),B(3.16)
"Hong,HaneyD",POLI168-PolicyAssessment(A),SP19,48,17,56.3%,56.3%,6.25,B-(2.88),B+(3.35)
"Merrell,Brandon",POLI170A-AppliedDataAnalysis/PoliSci(A),SP19,67,24,95.7%,95.7%,4.92,B+(3.36),B(3.23)
"Hill,SethJ",POLI194-ResearchSeminar/WashingtonDC(A),SP19,18,4,100.0%,75.0%,1.50,B+(3.67),N/A
"Galderisi,Peter",POLI30D-PoliticalInquiry(A),SP19,222,68,55.6%,74.6%,5.33,B(3.07),B-(2.99)
"Vanvuren,MitchellScott",POLI5D-DataAnalytics/SocialSciences(A),SP19,10,5,80.0%,100.0%,4.90,B+(3.50),N/A
"Sells,CameronJames",POLI5D-DataAnalytics/SocialSciences(B),SP19,10,3,66.7%,33.3%,4.50,A(4.00),N/A
"Goodman,ZacharyAaron",POLI5D-DataAnalytics/SocialSciences(E),SP19,10,5,100.0%,100.0%,6.90,B+(3.60),N/A
"Kaushik,Arushi",POLI5D-DataAnalytics/SocialSciences(F),SP19,10,3,100.0%,66.7%,5.17,A(4.00),N/A
"Galderisi,Peter",POLI100C-AmericanPoliticalParties(A),WI19,132,39,93.9%,93.9%,3.26,B+(3.50),B(3.25)
"Hill,SethJ","POLI100DA-Voting,Campaigning&Elections(A)",WI19,69,30,93.1%,100.0%,3.71,B+(3.56),B(3.22)
"Galderisi,Peter",POLI100E-InterestGroupPolitics(A),WI19,102,32,100.0%,100.0%,4.17,A-(3.71),B(3.26)
"Gause,LaGina",POLI100I-ParticipationandInequality(A),WI19,46,32,90.6%,90.6%,5.06,B+(3.37),B-(2.89)
"Bridges,Amy",POLI100J-Race/AmericanPoliticalDevlop(A),WI19,25,8,85.7%,85.7%,5.64,B(3.29),B(3.15)
"Paglayan,Agustina",POLI100W-PoliticsandEducation(A),WI19,52,39,87.2%,89.2%,4.24,B+(3.49),B+(3.50)
"Fletcher,Nathan",POLI102D-VotingRightsAct50yrslater(A),WI19,126,39,82.4%,87.5%,3.91,B+(3.42),B-(2.96)
"Erie,StevenP",POLI102J-AdvancedTopics/UrbanPolitics(A),WI19,9,5,100.0%,100.0%,7.70,B(3.20),N/A
"Smith,GlennChatmas",POLI104B-CivilLiberties-FundmntlRghts(A),WI19,132,43,88.1%,92.7%,5.88,B+(3.30),B(3.13)
"Macmanus,MaureenDanielle",POLI104K-LegalArgumentFormulation(A),WI19,9,4,100.0%,100.0%,9.50,B+(3.50),N/A
"Dionne,LeeElton",POLI104L-PositivePoliticalTheory/Law(A),WI19,38,7,100.0%,100.0%,6.50,A(4.00),B+(3.56)
"Stephens,MattheusE",POLI104M-LawandSex(A),WI19,109,30,96.6%,92.9%,4.29,B+(3.52),B+(3.32)
"Wiens,DavidAbram","POLI110B-Sovereigns,Subj&ModernState(A)",WI19,37,13,91.7%,91.7%,7.00,B+(3.45),B-(2.99)
"Ingham,Sean",POLI112A-EconomicTheories/PolBehavior(A),WI19,22,4,100.0%,100.0%,2.50,B+(3.50),B-(2.90)
"Hoston,Germaine",POLI114B-MarxistPoliticalThought(A),WI19,35,13,72.7%,90.9%,5.59,B+(3.60),B(3.10)
"Forman,Fonna",POLI117-ClimateChangeSolutions(A),WI19,24,12,100.0%,100.0%,3.67,B+(3.67),A-(3.74)
"Ramanathan,Veerabhadran",POLI117-ClimateChangeSolutions(A),WI19,22,12,100.0%,100.0%,3.67,B+(3.67),A-(3.74)
"Strom,Kaare",POLI11D-Intro/PoliSci:ComparPolitics(A),WI19,157,64,86.4%,89.8%,4.27,B(3.24),B(3.00)
"Magagna,VictorValentine",POLI120A-PolDevelopofWesternEurope(A),WI19,464,119,99.1%,98.1%,3.47,A-(3.98),A-(3.97)
"Chandler,WilliamM.",POLI120C-PoliticsInFrance(A),WI19,66,23,100.0%,95.2%,2.60,A-(3.86),A-(3.82)
"Bergman,MatthewEdward",POLI120I-PoliticsinItaly(A),WI19,22,6,100.0%,100.0%,4.50,A-(3.83),B(3.02)
"Shafir,Gershon",POLI124-Israeli-PalestinianConflict(A),WI19,33,9,88.9%,88.9%,3.39,B(3.22),B(3.08)
"Feeley,MaureenCatherine",POLI127-PoliticsofDevelopment(A),WI19,64,23,87.0%,95.5%,4.93,B+(3.65),B+(3.37)
"Hoston,Germaine",POLI130AD-PoliticsofRussianRevolution(A),WI19,25,6,60.0%,60.0%,6.50,B(3.00),B-(2.83)
"Xu,Yiqing",POLI130B-Politics/People'sRepofChina(A),WI19,139,62,96.5%,100.0%,4.43,A-(3.75),B+(3.55)
"Fisk,DavidLee",POLI135-ComparativeLGBTPolitics(A),WI19,47,12,100.0%,100.0%,3.77,B+(3.64),B(3.22)
"Magagna,VictorValentine",POLI136-ReligionandPolitics(A),WI19,462,112,96.1%,98.0%,2.95,A-(3.89),A-(3.75)
"Saiegh,Sebastian",POLI137-SportsAnalyticsApprch/SocSci(A),WI19,23,6,100.0%,100.0%,4.00,B+(3.50),B-(2.79)
"Forman,Fonna",POLI13D-PowerandJustice(A),WI19,195,90,94.0%,100.0%,4.36,B+(3.60),B+(3.54)
"Lake,DavidA",POLI142A-UnitedStatesForeignPolicy(A),WI19,124,100,100.0%,99.0%,5.57,B+(3.57),B(3.28)
"Slantchev,Branislav",POLI142J-NationalSecurityStrategy(A),WI19,41,14,92.3%,92.3%,4.65,B-(2.92),B(3.14)
"Mares,DavidR",POLI142L-InsurgencyandTerrorism(A),WI19,90,28,88.5%,88.5%,5.81,B+(3.60),B-(2.90)
"Slantchev,Branislav",POLI142M-USForeignPolicy/RegSecurity(A),WI19,51,16,75.0%,81.3%,4.13,B-(2.94),B-(2.86)
"Mares,DavidR",POLI146A-US&LatinAmer:Pol&EconRel(A),WI19,44,12,90.9%,81.8%,7.00,B(3.08),B-(2.70)
"Bergman,MatthewEdward",POLI160AA-Introduction/PolicyAnalysis(A),WI19,26,6,66.7%,100.0%,4.17,B+(3.33),C+(2.64)
