Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Geller,EmmaHarlan",PSYC1-Psychology(A),S219,66,38,97.1%,97.1%,5.41,B+(3.63),B-(3.00)
"Ferreira,Victor",PSYC1-Psychology(B),S219,26,19,94.7%,94.7%,6.50,B(3.24),B(3.11)
"Breit,KristenRian",PSYC102-SensoryNeuroscience(A),S219,45,16,100.0%,100.0%,4.38,A-(3.81),A-(3.72)
"Lowe,AngelaBeth",PSYC105-CognitivePsychology(A),S219,72,58,93.1%,98.3%,5.74,B(3.20),B(3.06)
"Winkielman,Piotr",PSYC114-Lab/PsychophysiologicalPersp(A),S219,35,13,100.0%,100.0%,3.90,A-(3.70),B+(3.65)
"Anagnostaras,Stephan",PSYC131-ScientificRacism(A),S219,28,20,95.0%,95.0%,2.80,B+(3.65),A-(3.76)
"Lowe,AngelaBeth",PSYC136-CognitiveDevelopment(A),S219,26,20,95.0%,95.0%,5.13,B+(3.37),B-(2.88)
"Chung,Min-gi",PSYC137-SocialCognition(A),S219,22,21,100.0%,100.0%,4.79,B(3.19),B(3.18)
"Root,NicholasBernard",PSYC142-PsychologyofConsciousness(A),S219,9,7,100.0%,100.0%,4.50,B+(3.43),N/A
"Lacefield,KatharineI",PSYC154-BehaviorModification(A),S219,49,42,95.2%,97.6%,5.77,B+(3.43),B+(3.30)
"Kaplan,Paul",PSYC164-Criminology(A),S219,62,24,91.3%,100.0%,4.24,B+(3.48),B-(2.80)
"Fletcher,LauraMichelle",PSYC166-HistoryofPsychology(B),S219,17,11,88.9%,100.0%,3.39,B+(3.67),N/A
"Walker,CarenMichelle",PSYC167-ScienceofImagination(A),S219,14,13,100.0%,92.3%,5.58,B+(3.54),N/A
"Gorman,MichaelR.",PSYC172-PsychologyofHumanSexuality(A),S219,26,7,100.0%,100.0%,5.07,B(3.29),B+(3.46)
"Amemiya,JamieL",PSYC180-Adolescence(A),S219,21,20,95.0%,95.0%,4.40,A-(3.90),A-(3.72)
"Anagnostaras,Stephan",PSYC181-DrugsAndBehavior(A),S219,85,68,94.1%,91.2%,4.79,B+(3.37),B(3.07)
"Rickard,TimothyC.",PSYC191-PsychologyofSleep(A),S219,22,7,100.0%,100.0%,3.64,B(3.17),B(3.13)
"Albright,ThomasD",PSYC2-GenPsych:BiologicalFoundatns(A),S219,82,35,81.3%,77.4%,4.98,B-(2.81),C+(2.46)
"Rickard,TimothyC.",PSYC60-IntroductiontoStatistics(A),S219,36,29,93.1%,96.6%,5.67,B+(3.37),B(3.10)
"Marchand,Elisabeth",PSYC7-GenPsych:DevelopmentalFndtns(A),S219,38,34,97.1%,94.1%,3.97,B+(3.47),B+(3.51)
"Geller,EmmaHarlan",PSYC70-ResearchMethodsinPsychology(A),S219,38,33,90.9%,97.0%,5.11,B+(3.40),B(3.01)
"Sousa,MargarettePamela-Burd",PSYC1-Psychology(A),S119,57,15,86.7%,100.0%,6.50,B+(3.43),B(3.13)
"Heyman,GailD.",PSYC101-DevelopmentalPsychology(A),S119,40,12,100.0%,91.7%,5.50,B(3.25),B(3.21)
"Root,NicholasBernard",PSYC104-SocialPsychology(A),S119,83,26,96.2%,100.0%,5.12,B+(3.46),B-(2.75)
"Gorman,MichaelR.",PSYC106-BehavioralNeuroscience(A),S119,81,17,86.7%,80.0%,6.38,B(3.07),C(2.23)
"Winkielman,Piotr",PSYC114-Lab/PsychophysiologicalPersp(A),S119,31,6,100.0%,100.0%,3.17,B+(3.67),B+(3.53)
"Arnold,AndrewJoseph",PSYC114-Lab/PsychophysiologicalPersp(B),S119,25,18,100.0%,94.1%,5.06,B+(3.53),B+(3.60)
"Moranton,NireliaMelbina-",PSYC122-MechanismsofAnimalBehavior(A),S119,36,13,75.0%,83.3%,5.33,B(3.18),B(3.19)
"Gasperi,Marianna",PSYC124-ClinicalAssessment/Treatment(A),S119,41,24,100.0%,100.0%,4.93,B+(3.57),B+(3.32)
"Wixted,JohnT",PSYC144-MemoryandAmnesia(A),S119,21,19,94.7%,100.0%,5.87,B+(3.58),B+(3.34)
"Wong,LaurenHitomi",PSYC147-Gender(A),S119,23,21,95.2%,100.0%,5.74,B+(3.45),B+(3.50)
"Leong,LimMan",PSYC148-Psychology/Judgement&Decision(A),S119,20,19,88.9%,77.8%,3.72,B+(3.50),B-(2.90)
"Willis,JarrydThomas",PSYC155-SocialPsychologyandMedicine(A),S119,57,29,96.4%,96.2%,5.07,B+(3.57),B+(3.56)
"Lacefield,KatharineI",PSYC168-PsychologicalDisorders/Child(A),S119,60,53,98.1%,98.1%,5.07,B+(3.39),B+(3.34)
"Ramachandran,VilayanurS",PSYC169-BrainDamage&MentalFunction(A),S119,20,3,0.0%,0.0%,1.50,A(4.00),C+(2.63)
"Glaser,Dale",PSYC178-IndustrialOrganizationalPsyc(A),S119,30,10,100.0%,100.0%,4.28,B+(3.30),B(3.06)
"Anagnostaras,Stephan",PSYC181GS-DrugsandBehavior(A),S119,28,25,100.0%,100.0%,2.90,A-(3.79),A-(3.96)
"Fletcher,LauraMichelle",PSYC182-IllusionsandtheBrain(B),S119,26,15,100.0%,100.0%,4.64,B+(3.50),B+(3.62)
"Anagnostaras,Stephan",PSYC186GS-EarlyHistoryofPsychiatry(A),S119,28,27,96.2%,100.0%,3.24,A-(3.81),A-(3.94)
"Hanes,Esther",PSYC190-TheScienceofParenting(A),S119,76,23,100.0%,100.0%,4.24,B+(3.65),B+(3.57)
"Willis,JarrydThomas",PSYC6-GeneralPsychology:Social(A),S119,63,25,95.7%,95.7%,3.54,B+(3.52),B(3.03)
"Lowe,AngelaBeth",PSYC60-IntroductiontoStatistics(A),S119,38,33,90.9%,100.0%,6.14,B(3.07),B-(2.84)
"Geller,EmmaHarlan",PSYC70-ResearchMethodsinPsychology(A),S119,30,26,96.2%,96.0%,4.65,B(3.17),B-(2.72)
"Hanes,Esther",PSYC1-Psychology(A),SP19,295,127,99.1%,98.3%,2.77,A-(3.74),B(3.28)
"Rose,FredE.",PSYC100-ClinicalPsychology(A),SP19,297,208,94.5%,95.5%,5.47,B(3.29),B-(2.94)
"Brady,AdenaSchachner",PSYC101-DevelopmentalPsychology(A),SP19,328,160,97.4%,96.1%,4.20,B+(3.38),B-(2.97)
"Lowe,AngelaBeth",PSYC105-CognitivePsychology(A),SP19,295,216,94.3%,97.6%,4.83,B(3.26),B(3.15)
"Gremel,ChristinaM",PSYC106-BehavioralNeuroscience(A),SP19,285,174,89.2%,88.6%,5.54,B(3.25),B-(2.89)
"Aron,Adam",PSYC108-CognitiveNeuroscience(A),SP19,216,128,78.5%,84.3%,5.63,B(3.28),B(3.24)
"Geller,EmmaHarlan",PSYC111B-ResearchMethodsII(A),SP19,42,36,100.0%,100.0%,7.41,A-(3.77),A-(3.85)
"Stoermer,ViolaSophie",PSYC113-Electroencephalogram(EEG)Lab(A),SP19,20,16,100.0%,100.0%,4.10,A(4.00),A(4.00)
"Pashler,HaroldE",PSYC115B-Lab/CognitivePsychologyII(A),SP19,14,4,100.0%,75.0%,3.50,A(4.00),N/A
"Lang,Ariel",PSYC116C-Lab/ClinicalPsycResearchIII(A),SP19,16,11,100.0%,100.0%,4.70,A-(3.90),N/A
"Winward,JenniferLaven",PSYC116C-Lab/ClinicalPsycResearchIII(B),SP19,16,7,100.0%,100.0%,4.21,B+(3.67),N/A
"Bajic,DanielAndrew",PSYC117-EducResearch/OutreachLab(A),SP19,23,12,100.0%,100.0%,4.00,A(4.00),A(4.00)
"Miller,CoryT.",PSYC122-MechanismsofAnimalBehavior(A),SP19,149,116,93.9%,95.6%,4.45,B+(3.49),B(3.22)
"Lacefield,KatharineI",PSYC124-ClinicalAssessment/Treatment(A),SP19,146,122,96.7%,100.0%,3.80,A-(3.83),A-(3.81)
"Fletcher,LauraMichelle",PSYC129-TheLogicofPerception(A),SP19,58,24,78.3%,95.5%,4.41,B(3.23),B(3.09)
"Anagnostaras,Stephan",PSYC131-ScientificRacism(A),SP19,59,45,77.8%,82.2%,2.90,A-(3.76),A-(3.82)
"Kaye,WalterH.",PSYC134-EatingDisorders(A),SP19,199,68,93.8%,93.8%,3.44,B+(3.56),A-(3.82)
"Leong,LimMan",PSYC148-Psychology/Judgement&Decision(A),SP19,119,80,50.6%,51.9%,4.29,B(3.18),B-(2.93)
"Gasperi,Marianna",PSYC152-ConceptionsofIntelligence(A),SP19,146,106,96.0%,100.0%,4.08,B+(3.58),B+(3.33)
"Willis,JarrydThomas",PSYC158-InterpersonalRelationships(B),SP19,203,141,95.7%,94.2%,3.78,B+(3.67),B+(3.46)
"Lacefield,KatharineI",PSYC168-PsychologicalDisorders/Child(A),SP19,295,219,94.4%,94.4%,4.97,B+(3.38),B+(3.31)
"Ramachandran,VilayanurS",PSYC169-BrainDamage&MentalFunction(A),SP19,138,55,78.8%,67.3%,5.19,B(3.18),B-(2.70)
"McKenzie,CraigR.M.",PSYC176-Creativity(A),SP19,100,45,90.9%,93.2%,3.97,B+(3.56),B+(3.47)
"Glaser,Dale",PSYC178-IndustrialOrganizationalPsyc(A),SP19,152,64,82.0%,93.3%,4.10,B+(3.31),B(3.08)
"Breit,KristenRian","PSYC179-Drugs,Addiction&MentalDisordr(A)",SP19,158,68,100.0%,100.0%,3.69,A-(3.73),A-(3.84)
"Barner,DavidA.",PSYC190-TheScienceofParenting(A),SP19,399,153,93.7%,92.9%,4.23,B+(3.70),B+(3.62)
"Rickard,TimothyC.",PSYC191-PsychologyofSleep(A),SP19,93,35,97.0%,90.9%,4.20,B(3.20),B-(2.74)
"Aron,Adam",PSYC193-TopicsinPsychology(A),SP19,11,9,100.0%,100.0%,8.28,B+(3.67),N/A
"Heyman,GailD.",PSYC194C-HonorsThesisIII(A),SP19,25,7,100.0%,100.0%,9.17,A(4.00),A-(3.99)
"Willis,JarrydThomas",PSYC6-GeneralPsychology:Social(A),SP19,393,270,98.5%,98.1%,3.31,B+(3.59),B(3.20)
"Lowe,AngelaBeth",PSYC60-IntroductiontoStatistics(A),SP19,220,186,84.9%,94.6%,4.86,B(3.11),B-(2.73)
"Steiner,EricTomas",PSYC60-IntroductiontoStatistics(B),SP19,251,195,90.6%,96.3%,4.27,B(3.15),C+(2.68)
"Hanes,Esther",PSYC7-GenPsych:DevelopmentalFndtns(A),SP19,200,77,98.7%,100.0%,3.03,A-(3.75),B+(3.44)
"Steiner,EricTomas",PSYC70-ResearchMethodsinPsychology(A),SP19,203,162,95.7%,95.7%,3.93,B+(3.32),B-(2.96)
"Geller,EmmaHarlan",PSYC71-Lab/PsychResearchMethods(A),SP19,58,40,94.7%,100.0%,5.47,B+(3.46),B+(3.34)
"Hanes,Esther",PSYC1-Psychology(A),WI19,277,117,99.1%,99.1%,3.67,A-(3.77),B+(3.34)
