Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Rahimi,Babak",RELI157GS-ReligioninJapan(A),S219,27,19,100.0%,100.0%,4.08,A-(3.89),A(4.00)
"Rahimi,Babak",RELI158GS-JapaneseLitandSpirituality(A),S219,27,23,100.0%,100.0%,3.77,A-(3.90),A(4.00)
"Kalleres,Dayna",RELI188-SpecialTopicsinReligion(A),SP19,40,12,100.0%,100.0%,2.33,A-(3.92),B+(3.61)
"Kalleres,Dayna",RELI1-IntroductiontoReligion(A),WI19,21,7,100.0%,100.0%,3.83,B+(3.67),A-(3.86)
"Rahimi,Babak",RELI101-Tools&Methods/StudyofReligion(A),WI19,54,23,100.0%,100.0%,3.86,A-(3.81),A-(3.94)
"Rahimi,Babak",RELI189-SeminarinReligion(A),WI19,8,3,100.0%,100.0%,10.50,A(4.00),N/A
"Kalleres,Dayna",RELI188-SpecialTopicsinReligion(A),FA18,29,10,100.0%,90.0%,3.10,B+(3.67),A-(3.78)
"Torrance,Justina",RELI2-ComparativeReligions(A),FA18,39,21,94.1%,94.1%,3.94,B+(3.65),B+(3.66)
"Rahimi,Babak",RELI149-IslaminAmerica(A),S218,42,10,100.0%,100.0%,5.39,A-(3.75),A-(3.88)
"Amironesei,Razvan",RELI101-Tools&Methods/StudyofReligion(A),SP18,31,12,60.0%,70.0%,2.50,A-(3.75),A-(3.92)
"Cohen,RichardS.",RELI151-DeepEcology:KnowingPlace(A),SP18,18,9,77.8%,100.0%,3.39,A-(3.83),N/A
"Kalleres,Dayna",RELI188-SpecialTopicsinReligion(A),SP18,37,15,93.3%,93.3%,3.17,B+(3.67),B+(3.68)
"Kalleres,Dayna",RELI1-IntroductiontoReligion(A),WI18,34,18,88.9%,94.4%,4.06,B(3.25),B+(3.65)
"Cassedy,StevenDennis",RELI134-TopicsinAmericanReligion(A),WI18,19,8,87.5%,100.0%,5.75,B+(3.60),N/A
"Cohen,RichardS.",RELI2-ComparativeReligions(A),FA17,37,20,80.0%,85.0%,3.30,B(3.29),B(3.21)
