Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Antonovics,KateL.",REV12-ScienceofMindfulness(A),SP19,13,6,100.0%,100.0%,2.90,A(4.00),N/A
"Antonovics,KateL.",REV16-LeadershipinPractice(A),WI19,10,6,83.3%,66.7%,1.17,N/A,N/A
"Zroka,AmyLiane",REV1-FirstYearExperience(A),FA18,96,59,86.2%,98.3%,0.91,A(4.00),N/A
"Zroka,AmyLiane",REV2-TransferYearExperience(A),FA18,19,9,88.9%,88.9%,1.61,A(4.00),N/A
"Yu,PaulKL",REV12-ScienceofMindfulness(A),SP18,21,12,100.0%,100.0%,1.23,N/A,N/A
"Yu,PaulKL",REV1-FirstYearExperience(A),FA17,95,53,88.5%,96.2%,0.96,A-(3.80),N/A
"Tanaka,StefanA.",REV2-TransferYearExperience(A),FA17,16,7,83.3%,100.0%,0.50,A(4.00),N/A
"Yu,PaulKL",REV12-ScienceofMindfulness(A),SP17,9,4,100.0%,100.0%,1.00,N/A,N/A
"Yu,PaulKL",REV110H-RevelleSeniorHonorsSeminar(A),WI17,32,15,100.0%,100.0%,0.50,A(4.00),N/A
"Chilukuri,LakshmiN",REV1-FirstYearExperience(A),FA16,81,54,90.2%,98.0%,1.58,A-(3.73),N/A
"Jed,StephanieH",REV2-TransferYearExperience(A),FA16,27,22,76.2%,100.0%,2.61,A(4.00),N/A
"Chilukuri,LakshmiN",REV1-FirstYearExperience(A),FA15,96,54,76.9%,96.2%,1.79,A(4.00),N/A
"Yu,PaulKL",REV2-TransferYearExperience(A),FA15,25,15,78.6%,92.9%,1.93,N/A,N/A
"Aldelaimy,Wael",REV160GS-PublicHealth&EpidemiologyI(A),S115,14,4,66.7%,66.7%,12.50,C+(2.50),N/A
"Aldelaimy,Wael",REV165GS-PublicHealth/EpidemiologyII(A),S115,14,3,66.7%,33.3%,11.17,C+(2.50),N/A
"Yu,PaulKL",REV1-FirstYearExperience(A),FA14,94,52,83.7%,95.9%,1.27,A(4.00),N/A
"Lipomi,DarrenJohn",REV87-FreshmanSeminar(A),WI14,8,6,66.7%,100.0%,3.17,N/A,N/A
"Aldelaimy,Wael",REV160GS-PublicHealth&EpidemiologyI(A),S112,19,9,66.7%,77.8%,15.61,B(3.00),B-(2.78)
"Aldelaimy,Wael",REV165GS-PublicHealth/EpidemiologyII(A),S112,19,8,62.5%,75.0%,15.50,B(3.29),B-(2.89)
"Aldelaimy,Wael",REV160GS-PublicHealth&EpidemiologyI(A),S111,18,13,100.0%,100.0%,12.35,B(3.15),N/A
"Aldelaimy,Wael",REV165GS-PublicHealth/EpidemiologyII(A),S111,18,12,100.0%,100.0%,12.33,B(3.25),N/A
"Wayne,DonE.",REV87-FreshmanSeminar(A),WI11,4,3,66.7%,66.7%,1.83,N/A,N/A
"Wayne,DonE.",REV87-FreshmanSeminar(A),FA10,13,6,50.0%,33.3%,0.50,N/A,N/A
"Aldelaimy,Wael",REV160GS-PublicHealth&EpidemiologyI(A),SU10,19,13,76.9%,46.2%,12.96,B(3.00),N/A
"Aldelaimy,Wael",REV165GS-PublicHealth/EpidemiologyII(A),SU10,19,10,80.0%,70.0%,14.10,B(3.00),N/A
"Wulbert,DanielE.",REV87-FreshmanSeminar(A),WI09,13,11,81.8%,90.9%,1.05,N/A,N/A
