Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Ehrich,KristineR",MGT103-ProductMarketing&Management(A),S219,58,53,90.6%,96.2%,5.97,B+(3.35),B-(2.90)
"Ehrich,KristineR",MGT112-GlobalBusinessStrategy(A),S219,66,62,87.1%,88.7%,6.40,B+(3.47),B+(3.47)
"Baltes,GuidoH",MGT119-TopicsinBusiness(A),S219,27,23,100.0%,100.0%,5.28,B+(3.62),B+(3.35)
"Lindenberger,WadeDouglas",MGT12-PersonalFinancialManagement(A),S219,53,50,100.0%,100.0%,3.30,A-(3.80),B+(3.42)
"Maki,Kanetaka",MGT121A-InnovationtoMarketA(A),S219,68,56,91.1%,96.4%,5.13,B+(3.68),B+(3.38)
"Anderson,JohnCharles",MGT131B-IntermediateAccountingB(A),S219,46,38,97.4%,97.4%,6.29,B+(3.47),B(3.13)
"Lindenberger,WadeDouglas",MGT136-AdvancedAccounting(A),S219,19,19,100.0%,100.0%,7.24,B+(3.63),N/A
"McKay,MaryA",MGT164GS-BusinessandOrgLeadership(A),S219,21,20,95.0%,95.0%,5.20,B+(3.45),A-(3.70)
"Chamberlain,TravisDean",MGT18-ManagingDiverseTeams(A),S219,49,44,88.6%,95.5%,5.85,B(3.24),B(3.13)
"Dunn,LouisJean",MGT181-EnterpriseFinance(A),S219,63,22,85.7%,95.2%,4.79,B+(3.43),B(3.20)
"McKay,MaryA",MGT18GS-ManagingDiverseTeams(A),S219,21,20,95.0%,95.0%,4.70,B+(3.50),A-(3.70)
"Anderson,JohnCharles",MGT4-FinancialAccounting(A),S219,43,34,85.3%,85.3%,8.44,B+(3.38),B(3.06)
"Eberhard,CraigA",MGT103-ProductMarketing&Management(A),S119,64,63,98.4%,98.4%,3.83,B+(3.59),B(3.08)
"Houskeeper,Robert",MGT131A-IntermediateAccountingA(A),S119,39,34,100.0%,97.1%,6.32,B+(3.35),B-(2.83)
"Anderson,JohnCharles",MGT132-Auditing(A),S119,23,22,86.4%,95.5%,8.79,B+(3.55),B(3.19)
"McKay,MichaelJ",MGT16-PersonalEthicsatWork(A),S119,22,22,100.0%,100.0%,5.23,B(3.29),B-(2.90)
"McKay,MaryA",MGT164-BusinessandOrgLeadership(A),S119,63,61,91.8%,93.4%,6.47,B(3.29),B-(2.98)
"Hedges,Kathleen",MGT172-BusinessProjectManagement(A),S119,98,94,95.7%,98.9%,5.97,B+(3.61),B+(3.41)
"McKay,MichaelJ",MGT18-ManagingDiverseTeams(A),S119,66,59,91.5%,96.6%,5.33,B+(3.53),B-(2.93)
"Pecore,JosephP.",MGT45-PrinciplesofAccounting(A),S119,67,65,100.0%,98.5%,6.78,B+(3.41),B(3.15)
"Houskeeper,Robert",MGT5-ManagerialAccounting(A),S119,56,33,79.3%,79.3%,4.91,B+(3.34),C+(2.66)
"Eberhard,CraigA",MGT103-ProductMarketing&Management(A),SP19,14,13,100.0%,100.0%,3.12,B(3.08),B-(2.97)
"Eberhard,CraigA",MGT103-ProductMarketing&Management(B),SP19,60,60,96.7%,98.3%,3.17,B(3.27),B-(2.97)
"Eberhard,CraigA",MGT103-ProductMarketing&Management(C),SP19,79,69,95.7%,97.1%,3.86,B+(3.39),B-(2.97)
"Ehrich,KristineR",MGT103-ProductMarketing&Management(D),SP19,72,62,93.4%,90.2%,3.48,B+(3.33),B(3.19)
"Ehrich,KristineR",MGT103-ProductMarketing&Management(E),SP19,77,63,100.0%,96.8%,4.18,B(3.29),B(3.19)
"Ehrich,KristineR",MGT103-ProductMarketing&Management(F),SP19,49,45,91.1%,88.9%,4.06,B+(3.46),B(3.19)
"Bates,KennethWalter",MGT103-ProductMarketing&Management(G),SP19,64,23,86.4%,81.8%,4.14,B+(3.36),B(3.07)
"Bates,KennethWalter",MGT103-ProductMarketing&Management(H),SP19,40,25,95.8%,100.0%,4.58,B+(3.45),B(3.07)
"Demill,Burritt",MGT103-ProductMarketing&Management(I),SP19,79,74,95.9%,98.6%,3.58,B+(3.59),B+(3.68)
"Campbell,RobertHarold",MGT105-ProductPromotion&BrandMgt(A),SP19,110,97,93.8%,93.8%,3.35,A-(3.76),B+(3.39)
"Fuller,RobertL.",MGT112-GlobalBusinessStrategy(A),SP19,87,80,63.8%,70.0%,5.01,B+(3.52),B+(3.45)
"Fuller,RobertL.",MGT112-GlobalBusinessStrategy(B),SP19,87,76,76.3%,75.0%,6.53,B+(3.48),B+(3.45)
"Somasundaram,Tyagarajan",MGT112-GlobalBusinessStrategy(C),SP19,43,39,82.1%,84.6%,5.37,B+(3.41),B+(3.32)
"Somasundaram,Tyagarajan",MGT112-GlobalBusinessStrategy(D),SP19,74,64,76.6%,76.6%,7.27,B+(3.31),B+(3.32)
"Davis,KathleenAnn",MGT119-TopicsinBusiness(A),SP19,61,25,91.3%,82.6%,2.50,A-(3.91),A-(3.83)
