Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Miller,RonaldL.",ELWR1S-ELWR:BasicWriting(A),S116,9,4,75.0%,100.0%,7.50,A-(3.75),N/A
"Lannen,Victoria",ELWR1S-ELWR:BasicWriting(C),S215,15,11,80.0%,100.0%,8.70,B(3.17),N/A
"Lannen,Victoria",ELWR1S-ELWR:BasicWriting(D),S215,14,11,81.8%,100.0%,5.59,B+(3.33),N/A
"Lannen,Victoria",ELWR1S-ELWR:BasicWriting(A),S115,10,10,90.0%,100.0%,8.10,B(3.17),N/A
"Lannen,Victoria",ELWR1S-ELWR:BasicWriting(B),S115,6,4,100.0%,100.0%,3.83,A(4.00),N/A
"Viswanathan,Usha",ELWR1S-ELWR:BasicWriting(C),S214,17,6,100.0%,100.0%,9.50,B(3.00),N/A
"Viswanathan,Usha",ELWR1S-ELWR:BasicWriting(D),S214,16,7,57.1%,85.7%,10.50,B-(2.75),N/A
"Hornbrook,Lee",ELWR1S-ELWR:BasicWriting(E),S214,16,4,75.0%,50.0%,6.50,C+(2.33),N/A
"Lannen,Victoria",ELWR1S-ELWR:BasicWriting(A),S114,19,8,71.4%,85.7%,11.36,B+(3.33),N/A
"Lannen,Victoria",ELWR1S-ELWR:BasicWriting(B),S114,17,4,75.0%,100.0%,14.50,A(4.00),N/A
"Orona,Celia",ELWR1S-ELWR:BasicWriting(C),S114,17,3,33.3%,100.0%,5.83,A(4.00),N/A
"Orona,Celia",ELWR1S-ELWR:BasicWriting(D),S114,17,4,100.0%,100.0%,5.50,B+(3.33),N/A
"Miller,RonaldL.",ELWR1S-ELWR:BasicWriting(E),S114,18,5,80.0%,100.0%,6.90,B(3.00),C+(2.50)
"Miller,RonaldL.",ELWR1S-ELWR:BasicWriting(F),S114,20,8,100.0%,100.0%,6.50,B(3.00),C+(2.50)
"Dapper,Roxana",ELWR1S-ELWR:BasicWriting(A),S213,15,3,50.0%,0.0%,7.50,B(3.00),N/A
"Lannen,Victoria",ELWR1S-ELWR:BasicWriting(B),S213,20,5,25.0%,75.0%,7.50,B(3.00),B(3.20)
"Smith,Ron",ELWR1S-ELWR:BasicWriting(C),S213,17,4,75.0%,75.0%,15.17,D+(1.33),N/A
"Orona,Celia",ELWR1S-ELWR:BasicWriting(A),S113,14,4,75.0%,100.0%,6.50,B+(3.67),N/A
"Viswanathan,Usha",ELWR1S-ELWR:BasicWriting(B),S113,21,4,75.0%,75.0%,5.00,B(3.00),C(2.00)
"Miller,RonaldL.",ELWR1S-ELWR:BasicWriting(C),S113,20,7,57.1%,85.7%,8.17,B(3.17),C+(2.64)
"Miller,RonaldL.",ELWR1S-ELWR:BasicWriting(D),S113,16,4,75.0%,100.0%,7.00,B(3.25),C+(2.64)
"Dapper,Roxana",ELWR1S-ELWR:BasicWriting(A),SU09,14,5,60.0%,100.0%,4.10,C+(2.50),N/A
