Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Giddings,KimberlyAshlynAve",SIO133-MarineMammalBiology(A),S219,32,31,96.8%,96.8%,5.85,B(3.27),B(3.25)
"White,MargotElizabeth",SIO40-LifeandClimateonEarth(A),S219,26,25,100.0%,100.0%,4.74,A-(3.84),A-(3.93)
"Cook,GeoffreyW",SIO10GS-TheEarth(InIceland)(A),S119,18,18,100.0%,100.0%,2.83,A-(3.89),N/A
"Nagarkar,MaitreyiDnyanadeep",SIO132-IntroductiontoMarineBiology(A),S119,29,13,100.0%,100.0%,6.19,B+(3.38),B-(2.99)
"Cook,MatthewJames",SIO15-NaturalDisasters(A),S119,30,13,100.0%,100.0%,4.50,B+(3.50),B(3.12)
"Cook,GeoffreyW",SIO170GS-IntroductiontoVolcanology(A),S119,18,18,100.0%,100.0%,3.94,A-(3.89),N/A
"Borsa,AdrianAntal",SIO10-TheEarth(A),SP19,195,101,95.0%,99.0%,3.72,B(3.23),B+(3.34)
"Norris,RichardD.",SIO104-Paleobiology&HistoryofLife(A),SP19,35,23,100.0%,100.0%,5.32,B(3.10),B(3.23)
"Driscoll,NealW.",SIO105-Sedimentology&Stratigraphy(A),SP19,20,5,100.0%,100.0%,4.50,A(4.00),A-(3.78)
"Taylor,JenniferRebecca",SIO125-BiomechanicsofMarineLife(A),SP19,20,9,100.0%,100.0%,7.17,B+(3.56),B+(3.67)
"Burton,RonaldS.",SIO127-MarineMolecularEcology(A),SP19,31,12,100.0%,100.0%,2.68,B-(2.73),B-(2.82)
"Bartlett,DouglasH",SIO128-MicrobialLifeinExtremeEnv.(A),SP19,119,61,94.8%,93.1%,4.95,B(3.18),B(3.10)
"Baumann-Pickering,Simone",SIO133-MarineMammalBiology(A),SP19,115,52,74.5%,72.3%,6.54,B(3.17),B(3.15)
"Sandwell,DavidT",SIO135-SatelliteRemoteSensing(A),SP19,32,13,91.7%,100.0%,8.00,B+(3.50),B+(3.45)
"Smith,Jennifer",SIO138-TheCoralReefEnvironment(A),SP19,65,25,87.5%,100.0%,4.08,B(3.29),B(3.22)
"Palenik,Brian",SIO139-CurrentResearchinMarineBio(A),SP19,55,24,52.2%,82.6%,2.85,N/A,N/A
"Andersson,AndreasJerry",SIO143-OceanAcidification(A),SP19,17,12,100.0%,100.0%,4.14,B+(3.55),N/A
"Gee,JeffreyS",SIO16-GeologyoftheNationalParks(A),SP19,85,29,80.8%,92.3%,3.12,B(3.22),B-(2.99)
"Fialko,YuriA.",SIO160-IntrotoGlobalTectonics(A),SP19,28,7,83.3%,83.3%,4.50,B(3.00),B+(3.47)
"Severinghaus,JeffreyP.",SIO174-ChemistryofAtmosphandOcean(B),SP19,19,9,71.4%,71.4%,4.50,B(3.25),N/A
"Straneo,Fiammetta",SIO176-ObservPhysicalOceanography(A),SP19,9,5,100.0%,100.0%,5.30,B+(3.60),N/A
"Tresguerres,Martin",SIO181-MarineBiochemistry(A),SP19,113,56,96.4%,100.0%,5.00,B(3.25),B+(3.34)
"Constable,StevenC",SIO182-Envr&ExplorationGeophysics(A),SP19,9,3,66.7%,66.7%,11.83,B+(3.67),N/A
"Rouse,GregoryW.",SIO184-MarineInvertebrates(A),SP19,36,33,97.0%,100.0%,4.62,B(3.27),B(3.30)
"Orenstein,EricCoughlin",SIO187-StatMethodsinMarineBiology(A),SP19,71,58,87.9%,93.1%,5.88,B(3.14),B(3.06)
"Gaasterland,Theresa",SIO190-SpecialTopic/Earth/Ocean/Atmo(A),SP19,10,3,100.0%,100.0%,3.17,A(4.00),N/A
"Cook,GeoffreyW",SIO50-Intro/Earth&EnvironmentalSci(A),SP19,36,21,100.0%,95.2%,4.69,B+(3.57),B(3.28)
"Cook,GeoffreyW",SIO87-FreshmanSeminar(A),SP19,20,9,100.0%,100.0%,0.50,A(4.00),N/A
"Cook,GeoffreyW",SIO87-FreshmanSeminar(B),SP19,15,9,100.0%,100.0%,0.50,A(4.00),N/A
"Moore,BradleyS.",SIO87-FreshmanSeminar(C),SP19,8,4,100.0%,100.0%,0.50,A(4.00),N/A
"Fine,ElizabethCoombs",SIO90-UndergraduateSeminar(A),SP19,61,30,100.0%,100.0%,0.64,A(4.00),N/A
"Pommier,AnneA.",SIO1-ThePlanets(A),WI19,109,48,73.8%,76.2%,3.69,B-(2.87),B+(3.35)
"Kastner,Miriam",SIO102-IntroductiontoGeochemistry(A),WI19,31,12,83.3%,83.3%,7.83,B-(2.92),B(3.10)
"Constable,StevenC",SIO103-IntroductiontoGeophysics(A),WI19,22,10,60.0%,90.0%,7.10,B-(2.70),B-(2.89)
"Masters,ThomasG",SIO103-IntroductiontoGeophysics(A),WI19,22,10,60.0%,70.0%,7.10,B-(2.70),B-(2.89)
"Forman,Fonna",SIO109-ClimateChangeSolutions(A),WI19,24,14,84.6%,100.0%,4.21,B+(3.42),B+(3.62)
"Ramanathan,Veerabhadran",SIO109-ClimateChangeSolutions(A),WI19,23,14,84.6%,83.3%,4.21,B+(3.42),B+(3.62)
"Minster,JeanBernardH.",SIO110-IntroGIS&GPSforScientists(A),WI19,30,12,90.9%,90.9%,3.30,B+(3.60),A-(3.76)
"Tauxe,Lisa",SIO113-IntrotoComputationlErthSci(A),WI19,18,12,100.0%,100.0%,10.33,A-(3.73),N/A
"Fricker,HelenA.",SIO115-IceandtheClimateSystem(A),WI19,28,26,84.6%,88.5%,4.73,B+(3.44),B+(3.61)
"Benmarhnia,Tarik",SIO116-ClimateChange&GlobalHealth(A),WI19,20,10,100.0%,100.0%,2.50,A-(3.75),A-(3.85)
"Andersson,AndreasJerry",SIO119-PhysicsandChemoftheOceans(A),WI19,74,66,66.7%,89.1%,5.35,B(3.17),B(3.04)
"Gille,SarahT",SIO119-PhysicsandChemoftheOceans(A),WI19,71,66,66.7%,73.4%,5.35,B(3.17),B(3.04)
"Cook,GeoffreyW",SIO120-IntroductiontoMineralogy(A),WI19,21,18,94.4%,100.0%,4.94,B+(3.59),B+(3.47)
"Lyons,DeirdreColleen",SIO122-EcologicalDevelopmentalBio(A),WI19,12,9,100.0%,100.0%,4.28,B+(3.56),N/A
"Palenik,Brian",SIO126-MarineMicrobiology(A),WI19,52,28,85.7%,92.9%,4.50,B(3.04),B(3.00)
"Barton,AndrewDavid",SIO134-Intro/BiologicalOceanography(A),WI19,183,150,86.7%,96.0%,4.91,B-(2.95),B-(2.76)
"Landry,MichaelRaymond",SIO134-Intro/BiologicalOceanography(A),WI19,192,149,87.2%,74.8%,4.90,B-(2.95),B-(2.76)
"Palenik,Brian",SIO139-CurrentResearchinMarineBio(A),WI19,71,39,71.1%,92.1%,1.76,A(4.00),N/A
"Brown,KevinMichael",SIO162-StructuralGeology(A),WI19,13,8,83.3%,83.3%,7.64,B(3.29),N/A
"Rivera-Collazo,IsabelC",SIO164-MaritimeArchaeology(A),WI19,18,8,85.7%,85.7%,3.07,B+(3.33),N/A
"Evan,AmatoTomas",SIO172-PhysicsoftheAtmosphere(A),WI19,12,8,100.0%,100.0%,8.00,B(3.25),N/A
"Martz,ToddR.",SIO179-OceanInstrumentsandSensors(A),WI19,13,4,100.0%,100.0%,3.00,A(4.00),N/A
"Paulenich,CariLynn",SIO180-CommunicatingScience/InfAud(A),WI19,22,9,100.0%,100.0%,4.75,A(4.00),A(4.00)
"Brahamsha,BiancaM.",SIO185-MarineMicrobiologyLaboratory(A),WI19,15,9,100.0%,100.0%,6.50,B(3.22),N/A
"Hastings,PhilipA.",SIO188-BiologyofFishes(A),WI19,33,18,94.4%,94.4%,6.72,B(3.17),B(3.03)
"Fenical,WilliamH.",SIO192-SeniorSeminar/SIOceanogrphy(A),WI19,17,11,100.0%,90.0%,1.30,B(3.00),N/A
"Norris,JoelRoland",SIO20-TheAtmosphere(A),WI19,119,43,75.0%,76.9%,4.20,B(3.11),B-(2.91)
"Teranes,Jane",SIO25-ClimateChangeandSociety(A),WI19,117,49,97.7%,100.0%,3.88,B(3.18),B-(2.80)
"AburtoOropeza,MarcoOctavio",SIO3-LifeintheOceans(A),WI19,70,24,100.0%,95.5%,2.86,B+(3.67),A-(3.74)
"Driscoll,NealW.",SIO35-Water(A),WI19,209,105,94.9%,95.9%,2.74,B+(3.68),B+(3.58)
"Cook,GeoffreyW",SIO45-Volcanoes(A),WI19,115,59,100.0%,100.0%,2.46,A-(3.75),B+(3.54)
"Talley,LynneD",SIO87-FreshmanSeminar(A),WI19,8,6,83.3%,66.7%,0.50,N/A,N/A
"Cook,GeoffreyW",SIO87-FreshmanSeminar(B),WI19,17,15,100.0%,100.0%,0.77,A(4.00),N/A
"Diner,RachelEllen",SIO90-UndergraduateSeminar(A),WI19,64,45,100.0%,100.0%,0.55,A(4.00),N/A
"Gee,JeffreyS",SIO100-IntroductiontoFieldMethods(A),FA18,26,11,100.0%,100.0%,7.95,B+(3.45),B(3.22)
"Norris,RichardD.",SIO100-IntroductiontoFieldMethods(A),FA18,26,11,100.0%,100.0%,7.95,B+(3.45),B(3.22)
