Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Black,AlisonMichelle","SOCI117-Language,Culture&Education(A)",S319,7,3,100.0%,100.0%,6.50,A(4.00),N/A
"Kenworthy,LaneA.",SOCI1-IntroductiontoSociology(A),S219,17,6,100.0%,100.0%,5.83,B+(3.50),N/A
"Thorpe,CharlesRobert",SOCI100-ClassicalSociologicalTheory(A),S219,30,7,85.7%,85.7%,9.36,B(3.29),B-(2.98)
"Rogers,JuliaEllen",SOCI118-SociologyofGender(A),S219,19,5,100.0%,100.0%,6.50,A(4.00),N/A
"PardoGuerra,JuanPablo",SOCI121-EconomyAndSociety(A),S219,36,8,62.5%,62.5%,2.50,B+(3.63),B+(3.51)
"Thorpe,CharlesRobert",SOCI131-SociologyOfYouth(A),S219,18,7,100.0%,100.0%,6.21,A-(3.71),N/A
"Valasek,ChadJustin",SOCI135-MedicalSociology(A),S219,33,10,100.0%,88.9%,5.30,B+(3.67),B+(3.60)
"Zimmerman-Liu,TeresaJean","SOCI139-SoclInequal:Class,Race,Gender(A)",S219,36,16,83.3%,91.7%,5.67,A-(3.82),A-(3.73)
"Jules-Rosette,BennettaW.",SOCI157-Religion/ContemporarySociety(A),S219,19,17,94.1%,93.8%,6.88,B+(3.63),N/A
"PardoGuerra,JuanPablo","SOCI30-Science,Technology&Society(A)",S219,19,3,66.7%,100.0%,3.83,A(4.00),N/A
"Ng,Kwai",SOCI118E-SociologyofLanguage(A),S119,38,8,62.5%,87.5%,5.36,B+(3.50),B(3.22)
"RibasNorris,JanetVanesa",SOCI153-UrbanSociology(A),S119,15,5,80.0%,80.0%,7.30,B(3.20),N/A
"Ng,Kwai",SOCI160E-LawandCulture(A),S119,35,6,100.0%,100.0%,7.00,B+(3.40),B(3.14)
"Livingstone,StaceyBryley",SOCI184-GenderandFilm(A),S119,24,9,100.0%,100.0%,9.17,A-(3.75),B+(3.69)
"RibasNorris,JanetVanesa",SOCI60-PracticeofSocialResearch(A),S119,14,8,85.7%,71.4%,4.21,B+(3.57),N/A
"Payne,ChristineAnna",SOCI100-ClassicalSociologicalTheory(A),SP19,38,9,50.0%,83.3%,4.25,B-(2.88),N/A
"Jules-Rosette,BennettaW.",SOCI105-EthnographicFilm:MediaMeth(A),SP19,18,5,60.0%,100.0%,11.70,B+(3.60),N/A
"Bergman,MatthewEdward",SOCI109-AnalysisofSociologicalData(A),SP19,25,6,66.7%,66.7%,4.17,B-(2.80),C+(2.41)
"Andrews,AbigailLeslie",SOCI109M-ResearchReporting(A),SP19,22,8,85.7%,100.0%,9.64,B+(3.57),B+(3.60)
