Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Bagheri,Mostafa",ENG10-Fundamentals/EngineeringAppln(A),S219,25,23,26.1%,39.1%,3.63,A-(3.82),A(4.00)
"Bagheri,Mostafa",ENG10-Fundamentals/EngineeringAppln(B),S219,22,19,47.4%,94.7%,3.97,A-(3.95),A(4.00)
"Yazdani,Arash",ENG10-Fundamentals/EngineeringAppln(C),S219,27,25,36.0%,68.0%,2.18,A(4.00),A(4.00)
"Evdokimenko,Ekaterina",ENG10-Fundamentals/EngineeringAppln(D),S219,26,22,45.5%,86.4%,2.59,A-(3.95),A(4.00)
"Yazdani,Arash",ENG10-Fundamentals/EngineeringAppln(E),S219,17,14,50.0%,85.7%,4.21,A(4.00),A(4.00)
"Evdokimenko,Ekaterina",ENG10-Fundamentals/EngineeringAppln(A),SP19,25,9,87.5%,87.5%,2.00,A-(3.83),A-(3.79)
"Mancinelli,RyanMark",ENG100D-DesignforDevelopment(D),SP19,48,19,100.0%,100.0%,8.50,A(4.00),A-(3.77)
"Goldberg,CharlesG.",ENG100L-DesignforDevelopmentLab(C),SP19,8,4,100.0%,100.0%,5.50,A(4.00),N/A
"deOliveira,Mauricio",ENG100L-DesignforDevelopmentLab(E),SP19,7,3,100.0%,100.0%,2.50,A(4.00),N/A
"Stokes,MalcolmDale",ENG100L-DesignforDevelopmentLab(F),SP19,7,3,100.0%,100.0%,6.50,A(4.00),N/A
"Bratton,Maryann",ENG100L-DesignforDevelopmentLab(G),SP19,12,3,100.0%,100.0%,5.50,A(4.00),N/A
"Evdokimenko,Ekaterina",ENG10-Fundamentals/EngineeringAppln(A),WI19,12,6,100.0%,83.3%,2.17,A(4.00),N/A
"Choi,Seongcheol",ENG10-Fundamentals/EngineeringAppln(B),WI19,6,3,66.7%,100.0%,3.17,A(4.00),N/A
"Williams,EboneeP.",ENG100B-EngineeringLeadership(A),WI19,19,5,100.0%,100.0%,0.50,A(4.00),N/A
"Mancinelli,RyanMark",ENG100D-DesignforDevelopment(B),WI19,60,20,88.9%,100.0%,6.06,B+(3.69),A-(3.78)
"Goldberg,CharlesG.",ENG100L-DesignforDevelopmentLab(D),WI19,15,3,100.0%,100.0%,2.50,A(4.00),N/A
"Bratton,Maryann",ENG100L-DesignforDevelopmentLab(I),WI19,14,4,75.0%,100.0%,7.00,A-(3.75),N/A
"VargasConsuelos,CarlosIngram",ENG10-Fundamentals/EngineeringAppln(A),FA18,17,7,33.3%,50.0%,1.50,B+(3.50),N/A
"Choi,Seongcheol",ENG10-Fundamentals/EngineeringAppln(B),FA18,20,15,53.3%,53.3%,2.90,A-(3.80),A-(3.72)
"Evdokimenko,Ekaterina",ENG10-Fundamentals/EngineeringAppln(C),FA18,22,14,57.1%,71.4%,2.21,A-(3.92),A-(3.94)
"Bratton,Maryann",ENG100D-DesignforDevelopment(A),FA18,59,44,93.2%,88.6%,5.45,A-(3.91),B+(3.61)
"Bratton,Maryann",ENG100D-DesignforDevelopment(F),FA18,53,39,69.2%,76.3%,5.85,B+(3.47),B+(3.61)
"Nguyen,TruongQuang",ENG100L-DesignforDevelopmentLab(A),FA18,8,5,100.0%,100.0%,5.70,A(4.00),N/A
"Kleissl,Jan",ENG100L-DesignforDevelopmentLab(F),FA18,8,4,100.0%,100.0%,4.50,A(4.00),N/A
"VargasConsuelos,CarlosIngram",ENG10-Fundamentals/EngineeringAppln(A),S218,28,24,28.6%,28.6%,3.28,A-(3.91),A(4.00)
"Schamberg,GabrielEli",ENG10-Fundamentals/EngineeringAppln(B),S218,30,26,76.9%,100.0%,2.50,A-(3.96),A(4.00)
