Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Strathdee,Steffani",GLBH181-EssentialsofGlobalHealth(A),WI11,23,19,100.0%,100.0%,3.06,A(4.00),B+(3.44)
"Strathdee,Steffani",STPA181-EssentialsofGlobalHealth(A),WI11,23,19,100.0%,100.0%,3.06,A(4.00),B+(3.44)
"Gibson,CarlH.",STPA35-SocietyandtheSea(B),FA10,35,15,71.4%,64.3%,4.77,B+(3.54),B+(3.40)
"Simon,HaroldJ.",GLBH181-EssentialsofGlobalHealth(A),WI10,31,23,100.0%,95.7%,2.23,A-(3.96),B+(3.42)
"Simon,HaroldJ.",STPA181-EssentialsofGlobalHealth(A),WI10,31,23,100.0%,95.7%,2.23,A-(3.96),B+(3.42)
"Gibson,CarlH.",STPA35-SocietyandtheSea(A),FA09,45,28,71.4%,64.3%,3.76,B+(3.38),B+(3.48)
"Simon,HaroldJ.",GLBH181-Elements/InternationlMedicine(A),WI09,34,29,100.0%,100.0%,2.78,A-(3.96),B+(3.54)
"Simon,HaroldJ.",STPA181-Elements/InternationlMedicine(A),WI09,34,29,100.0%,100.0%,2.78,A-(3.96),B+(3.54)
"Gibson,CarlH.",STPA35-SocietyandtheSea(A),FA08,58,30,66.7%,76.7%,2.50,B+(3.48),B+(3.51)
"Gibson,CarlH.",STPA35-SocietyandtheSea(A),FA07,64,53,81.3%,75.5%,3.85,B+(3.67),B+(3.65)
