Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Chilukuri,LakshmiN",SXTH1-FirstYearExperience(A),FA18,61,45,83.3%,100.0%,0.92,A(4.00),N/A
"Pomeroy,RobertS.",SXTH2-TransferYearExperience(A),FA18,42,23,95.5%,95.5%,1.05,A(4.00),N/A
"Christenfeld,Nicholas",SXTH1-FirstYearExperience(A),FA17,86,55,78.4%,84.3%,1.00,A-(3.95),N/A
"Pomeroy,RobertS.",SXTH2-TransferYearExperience(A),FA17,35,15,76.9%,100.0%,0.81,A(4.00),N/A
"Christenfeld,Nicholas",SXTH1-FirstYearExperience(A),FA16,64,37,80.0%,85.7%,2.10,A-(3.87),N/A
"Donoghue,DanielJ.",SXTH2-TransferYearExperience(A),FA16,35,19,94.1%,100.0%,2.26,A(4.00),N/A
"Donoghue,DanielJ.",SXTH1-FirstYearExperience(A),FA15,102,61,86.7%,95.0%,1.14,A-(3.85),N/A
"Donoghue,DanielJ.",SXTH2-TransferYearExperience(A),FA15,33,18,75.0%,93.8%,3.88,A(4.00),N/A
"Donoghue,DanielJ.",SXTH1-FirstYearExperience(A),FA14,89,55,83.0%,100.0%,2.38,A-(3.88),N/A
"Lin,JamesP.",SXTH20A-SixthCollegeHonorsSeminarI(A),FA11,31,19,100.0%,100.0%,0.61,A(4.00),N/A
