Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Meyer,Ursula",TDAC1-IntroductiontoActing(A),S219,16,10,100.0%,88.9%,4.06,A-(3.75),N/A
"Walsh,KimC.",TDAC1-IntroductiontoActing(B),S219,17,14,100.0%,100.0%,2.79,A-(3.92),N/A
"Buescher,StephenW.",TDAC1-IntroductiontoActing(C),S219,20,13,100.0%,100.0%,1.83,A(4.00),A-(3.86)
"Harting,CarlaKelso",TDAC1-IntroductiontoActing(D),S219,16,6,100.0%,100.0%,2.50,A(4.00),N/A
"Harting,CarlaKelso",TDAC101-ActingI(A),S219,15,8,100.0%,100.0%,2.83,B+(3.67),N/A
"Fulton,Julia",TDAC107-ImprovisationfortheTheatre(A),S219,16,7,100.0%,100.0%,7.30,A(4.00),N/A
"Guirguis,MarkC",TDDE1-Intro/DesignfortheTheatre(A),S219,18,9,88.9%,100.0%,7.17,B+(3.33),N/A
"Jones,WilliamJadie",TDGE1-IntroductiontoTheatre(A),S219,57,35,94.1%,100.0%,3.64,A-(3.79),A-(3.77)
"Havis,Allan",TDGE10-TheatreandFilm(A),S219,46,16,81.3%,87.5%,2.75,B+(3.67),C+(2.66)
"Tregar,KristenLauren",TDGE11-GreatPerformancesonFilm(A),S219,45,14,100.0%,100.0%,2.83,A-(3.77),B(3.20)
"Adler,Steven",TDGE11-GreatPerformancesonFilm(B),S219,46,13,80.0%,80.0%,5.05,A-(3.78),B+(3.30)
"Walsh,KimC.",TDGE25-PublicSpeaking(A),S219,17,12,91.7%,100.0%,6.00,A-(3.91),N/A
"Tregar,KristenLauren",TDHT105-FrenchComedy(A),S219,18,9,100.0%,100.0%,4.50,A-(3.88),N/A
"Sammartano,Tonnie",TDMV2-BeginningContemporaryDance(A),S219,36,17,100.0%,100.0%,0.90,A-(3.93),A-(3.95)
"Arcidiacono,Kristin",TDMV2-BeginningContemporaryDance(B),S219,34,9,100.0%,100.0%,2.79,A(4.00),A-(3.84)
"Arcidiacono,Kristin",TDMV3-BeginningJazz(A),S219,35,12,100.0%,100.0%,2.17,A-(3.78),A-(3.76)
"Salovey,Todd",TDAC1-IntroductiontoActing(A),S119,20,10,100.0%,100.0%,2.90,A-(3.90),A-(3.91)
"Javier,Nicole",TDAC1-IntroductiontoActing(B),S119,20,20,100.0%,100.0%,2.50,A-(3.94),A(4.00)
"Harting,CarlaKelso",TDAC101-ActingI(A),S119,17,7,100.0%,100.0%,5.93,A-(3.86),N/A
"Guirguis,MarkC",TDDE131GS-SpecTopicsinTheatreDesign(A),S119,12,5,100.0%,100.0%,5.70,A-(3.80),N/A
"Petrovich,VictoriaA.",TDDE169A-DigitalRendering/TheaterI(A),S119,15,13,100.0%,100.0%,5.12,A-(3.92),N/A
"Salovey,Todd",TDGE1-IntroductiontoTheatre(A),S119,39,21,94.7%,94.7%,2.50,A-(3.88),A-(3.93)
"Fulton,Julia",TDGE10-TheatreandFilm(A),S119,49,44,97.7%,100.0%,3.82,A-(3.76),B+(3.60)
"Jones,WilliamJadie",TDGE11-GreatPerformancesonFilm(A),S119,37,32,96.9%,93.8%,2.69,A-(3.91),B+(3.61)
"Havis,Allan",TDGE124-CultFilms:WeirdlyDramatic(A),S119,50,17,100.0%,93.8%,2.50,A-(3.71),B+(3.47)
"Fulton,Julia",TDGE124-CultFilms:WeirdlyDramatic(B),S119,26,17,100.0%,100.0%,3.09,A-(3.71),B+(3.64)
"Meyer,Ursula",TDGE125-TopicsinTheatreandFilm(A),S119,27,7,83.3%,83.3%,1.93,B+(3.43),B+(3.58)
"Guirguis,MarkC",TDGE125GS-TopicsinTheatreandFilm(A),S119,12,4,100.0%,100.0%,5.00,B+(3.50),N/A
"Harting,CarlaKelso",TDGE25-PublicSpeaking(A),S119,12,7,100.0%,100.0%,3.64,A-(3.86),N/A
