Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Carver,LeslieJ.",TMC198-MarshallDirectedGroupStudy(A),SP19,8,5,100.0%,80.0%,1.70,N/A,N/A
"Solomon,AmandaLeeAlbaniel",TMC87-FreshmanSeminar(A),SP19,12,4,100.0%,100.0%,1.17,N/A,N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(B),SP19,20,8,100.0%,87.5%,1.25,A(4.00),N/A
"Carver,LeslieJ.",TMC198-MarshallDirectedGroupStudy(A),WI19,9,4,100.0%,100.0%,3.50,N/A,N/A
"Carver,LeslieJ.",TMC1-FirstYearExperience(A),FA18,65,42,55.0%,87.2%,0.79,A-(3.85),N/A
"Carver,LeslieJ.",TMC2-TransferYearExperience(A),FA18,45,17,75.0%,87.5%,1.09,A(4.00),N/A
"Carver,LeslieJ.",TMC20-ThurgoodMarshallColHnrsSem(A),FA18,31,21,80.0%,95.0%,0.80,A(4.00),N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(A),FA18,19,12,100.0%,100.0%,1.59,A(4.00),N/A
"Sinay,Patricia",TMC15-PublicServiceinAmerica(A),SP18,7,3,33.3%,0.0%,5.17,A(4.00),N/A
"Carver,LeslieJ.",TMC198-MarshallDirectedGroupStudy(A),SP18,15,5,100.0%,100.0%,6.00,N/A,N/A
"Solomon,AmandaLeeAlbaniel",TMC87-FreshmanSeminar(A),SP18,16,12,100.0%,100.0%,1.59,A(4.00),N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(B),SP18,17,8,100.0%,100.0%,0.50,A(4.00),N/A
"Sinay,Patricia",TMC15-PublicServiceinAmerica(A),WI18,12,8,75.0%,62.5%,4.00,B+(3.50),N/A
"Carver,LeslieJ.",TMC198-MarshallDirectedGroupStudy(A),WI18,6,3,100.0%,100.0%,4.50,A(4.00),N/A
"Mariscal,George",TMC20-ThurgoodMarshallColHnrsSem(A),WI18,12,6,100.0%,100.0%,0.50,N/A,N/A
"Guirguis,MarkC",TMC1-FirstYearExperience(A),FA17,68,35,72.7%,100.0%,1.41,A-(3.75),N/A
"Carver,LeslieJ.",TMC198-MarshallDirectedGroupStudy(A),FA17,10,7,100.0%,100.0%,4.17,A(4.00),N/A
"Carver,LeslieJ.",TMC2-TransferYearExperience(A),FA17,32,16,75.0%,73.3%,0.88,A(4.00),N/A
"Carver,LeslieJ.",TMC20-ThurgoodMarshallColHnrsSem(A),FA17,12,10,100.0%,100.0%,0.50,N/A,N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(B),FA17,9,5,80.0%,80.0%,0.50,A(4.00),N/A
"Carver,LeslieJ.",TMC198-MarshallDirectedGroupStudy(A),SP17,31,15,100.0%,100.0%,2.21,A(4.00),N/A
"Gagnon,JeffreyC",TMC20-ThurgoodMarshallColHnrsSem(A),SP17,14,3,66.7%,100.0%,1.17,N/A,N/A
"Havis,Allan",TMC20-ThurgoodMarshallColHnrsSem(C),SP17,10,6,100.0%,100.0%,1.70,N/A,N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(B),SP17,18,6,100.0%,100.0%,0.90,A(4.00),N/A
"Sinay,Patricia",TMC15-PublicServiceinAmerica(A),WI17,8,3,66.7%,66.7%,2.50,B+(3.67),N/A
"Carver,LeslieJ.",TMC198-MarshallDirectedGroupStudy(A),WI17,14,10,100.0%,100.0%,3.64,N/A,N/A
"Carver,LeslieJ.",TMC20-ThurgoodMarshallColHnrsSem(B),WI17,4,4,100.0%,100.0%,1.17,N/A,N/A
"Guirguis,MarkC",TMC1-FirstYearExperience(A),FA16,68,30,92.9%,96.4%,1.07,A(4.00),N/A
"Carver,LeslieJ.",TMC198-MarshallDirectedGroupStudy(A),FA16,25,13,92.3%,100.0%,3.88,N/A,N/A
"Havis,Allan",TMC2-TransferYearExperience(A),FA16,33,13,90.9%,90.9%,1.23,A(4.00),N/A
"Gagnon,JeffreyC",TMC20-ThurgoodMarshallColHnrsSem(A),FA16,14,7,100.0%,100.0%,0.50,A(4.00),N/A
"Havis,Allan",TMC20-ThurgoodMarshallColHnrsSem(C),FA16,7,4,100.0%,100.0%,1.50,A(4.00),N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(A),FA16,19,10,100.0%,100.0%,1.00,A(4.00),N/A
"Havis,Allan",TMC198-MarshallDirectedGroupStudy(A),SP16,20,9,100.0%,100.0%,2.50,A(4.00),N/A
"Gagnon,JeffreyC",TMC20-ThurgoodMarshallColHnrsSem(B),SP16,19,8,100.0%,100.0%,2.79,A(4.00),N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(B),SP16,15,5,100.0%,100.0%,1.50,N/A,N/A
"Sinay,Patricia",TMC15-PublicServiceinAmerica(A),WI16,7,3,100.0%,100.0%,7.83,B+(3.50),N/A
"Havis,Allan",TMC198-MarshallDirectedGroupStudy(A),WI16,14,9,87.5%,87.5%,2.75,N/A,N/A
"Gagnon,JeffreyC",TMC20-ThurgoodMarshallColHnrsSem(B),WI16,19,16,93.8%,93.8%,0.50,N/A,N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(A),WI16,21,13,100.0%,100.0%,1.73,A(4.00),N/A
"Cosman,PamelaC.",TMC1-FirstYearExperience(A),FA15,39,23,66.7%,85.7%,1.93,A(4.00),N/A
"Sinay,Patricia",TMC15-PublicServiceinAmerica(A),FA15,8,6,100.0%,100.0%,4.90,B+(3.60),N/A
"Havis,Allan",TMC198-MarshallDirectedGroupStudy(A),FA15,17,8,71.4%,85.7%,3.36,A(4.00),N/A
"Mel,Stephanie",TMC2-TransferYearExperience(A),FA15,26,17,93.8%,93.8%,2.13,N/A,N/A
"Havis,Allan",TMC20-ThurgoodMarshallColHnrsSem(A),FA15,14,6,83.3%,100.0%,0.50,A(4.00),N/A
"Roxworthy,Emily",TMC20-ThurgoodMarshallColHnrsSem(B),FA15,6,3,100.0%,100.0%,2.50,A(4.00),N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(A),FA15,19,10,100.0%,100.0%,2.90,A(4.00),N/A
"Havis,Allan",TMC198-MarshallDirectedGroupStudy(A),SP15,18,9,87.5%,87.5%,3.64,A(4.00),N/A
"Havis,Allan",TMC20-ThurgoodMarshallColHnrsSem(A),SP15,7,3,100.0%,100.0%,3.83,N/A,N/A
"Havis,Allan",TMC20-ThurgoodMarshallColHnrsSem(C),SP15,15,8,100.0%,100.0%,0.75,A(4.00),N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(A),SP15,11,6,100.0%,100.0%,2.50,A(4.00),N/A
"Havis,Allan",TMC198-MarshallDirectedGroupStudy(A),WI15,20,11,90.9%,90.9%,4.86,A(4.00),N/A
"Havis,Allan",TMC20-ThurgoodMarshallColHnrsSem(B),WI15,10,7,100.0%,100.0%,1.36,N/A,N/A
"Havis,Allan",TMC20-ThurgoodMarshallColHnrsSem(C),WI15,11,8,100.0%,100.0%,0.50,N/A,N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(A),WI15,15,12,100.0%,100.0%,1.17,A(4.00),N/A
"Havis,Allan",TMC1-FirstYearExperience(A),FA14,70,46,77.8%,91.1%,1.00,A(4.00),N/A
"Sinay,Patricia",TMC15-PublicServiceinAmerica(A),FA14,7,3,100.0%,100.0%,5.17,B+(3.33),N/A
"Havis,Allan",TMC198-MarshallDirectedGroupStudy(A),FA14,18,9,100.0%,100.0%,3.00,A(4.00),N/A
"Gagnon,JeffreyC",TMC20-ThurgoodMarshallColHnrsSem(A),FA14,13,7,100.0%,100.0%,0.50,N/A,N/A
"Havis,Allan",TMC20-ThurgoodMarshallColHnrsSem(B),FA14,15,8,100.0%,100.0%,1.75,A(4.00),N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(A),FA14,11,8,87.5%,100.0%,0.75,N/A,N/A
"Havis,Allan",TMC20-ThurgoodMarshallColHnrsSem(A),SP14,6,4,100.0%,100.0%,3.17,N/A,N/A
"Dobkins,KarenR.",TMC87-FreshmanSeminar(A),SP14,16,7,100.0%,100.0%,0.79,A(4.00),N/A
"Sinay,Patricia",TMC15-PublicServiceinAmerica(A),WI14,6,5,100.0%,100.0%,3.70,A-(3.80),N/A
"Goldwasser,MicheleA.",TMC10-MethodsofInquiry(A),FA13,5,3,66.7%,100.0%,9.17,N/A,N/A
