Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Rahimi,Babak",TWS25-ThirdWorldLiteratures(A),SP19,75,31,93.3%,93.1%,2.89,B+(3.59),B+(3.67)
"Martin-Cabrera,Luis",TWS22-ThirdWorldLiteratures(A),WI19,69,38,80.6%,94.4%,3.22,B+(3.38),B(3.23)
"Zhiri,Oumelbanine",TWS25-ThirdWorldLiteratures(A),FA18,74,31,72.4%,69.0%,2.83,B+(3.50),B+(3.36)
"Cancel,Robert",TWS21GS-TWS:AfricanLiterature(A),S318,20,7,100.0%,100.0%,5.83,B+(3.60),B(3.28)
"Vijay,AmeethVarma",TWS21-ThirdWorldLiteratures(A),SP18,65,45,88.4%,90.7%,4.09,B+(3.32),B(3.16)
"Rahimi,Babak",TWS25-ThirdWorldLiteratures(A),WI18,64,29,92.6%,96.3%,5.07,B+(3.39),B+(3.54)
"Woodhull,WinifredJohanna",TWS24-ThirdWorldLiteratures(A),FA17,63,16,57.1%,78.6%,5.07,B(3.18),B(3.23)
"Cancel,Robert",TWS21GS-TWS:AfricanLiterature(A),S317,13,3,100.0%,100.0%,7.83,B+(3.67),N/A
"Rahimi,Babak",TWS25-ThirdWorldLiteratures(A),SP17,70,22,83.3%,94.4%,4.85,A-(3.73),B+(3.61)
"Parra,Max",TWS22-ThirdWorldLiteratures(A),WI17,68,24,78.3%,87.0%,4.05,B+(3.69),B+(3.47)
"Rahimi,Babak",TWS26-ThirdWorldLiteratures(A),FA16,67,30,82.8%,93.1%,2.84,B+(3.57),A-(3.83)
"Cancel,Robert",TWS21GS-TWS:AfricanLiterature(A),S116,22,5,100.0%,80.0%,4.90,A(4.00),B+(3.64)
"Zhang,Yingjin",TWS23-ThirdWorldLiteratures(A),SP16,63,28,89.3%,89.3%,3.31,B+(3.43),B-(2.92)
"Zhiri,Oumelbanine",TWS25-ThirdWorldLiteratures(A),WI16,64,29,74.1%,77.8%,4.19,B+(3.47),B(3.24)
"Cancel,Robert",TWS21-ThirdWorldLiteratures(A),FA15,61,25,73.9%,69.6%,5.28,B+(3.45),B(3.16)
"Woodhull,WinifredJohanna",TWS24-ThirdWorldLiteratures(A),SP15,24,10,70.0%,70.0%,4.50,A(4.00),A-(3.96)
"Chacon,GloriaElizabeth",TWS22-ThirdWorldLiteratures(A),WI15,88,40,75.7%,67.6%,3.15,A-(3.80),A-(3.73)
"Zhiri,Oumelbanine",TWS25-ThirdWorldLiteratures(A),FA14,130,44,81.0%,73.8%,2.50,A-(3.89),A-(3.94)
"Zhang,Yingjin",TWS23-ThirdWorldLiteratures(A),SP14,128,47,84.8%,93.5%,4.33,B+(3.48),B(3.05)
"Sanchez,Rosaura",TWS22-ThirdWorldLiteratures(A),WI14,118,45,81.8%,81.8%,3.85,B+(3.32),B(3.10)
"Cancel,Robert",TWS21-ThirdWorldLiteratures(A),FA13,111,54,71.7%,79.2%,4.66,B(3.15),B-(2.97)
"Rahimi,Babak",TWS25-ThirdWorldLiteratures(A),SP13,115,36,66.7%,86.1%,3.13,B(3.21),B+(3.63)
"Martin-Cabrera,Luis",TWS22-ThirdWorldLiteratures(A),WI13,86,36,77.8%,80.6%,4.97,B+(3.48),B(3.02)
"Woodhull,WinifredJohanna",TWS24-ThirdWorldLiteratures(A),FA12,60,29,62.5%,33.3%,5.08,B(3.22),B+(3.38)
"Rahimi,Babak",TWS25-ThirdWorldLiteratures(A),SP12,127,52,78.4%,86.3%,3.13,B+(3.42),B(3.22)
"Cancel,Robert",TWS21-ThirdWorldLiteratures(A),WI12,72,33,78.8%,84.8%,5.29,B+(3.32),B(3.02)
"Zhang,Yingjin",TWS23-ThirdWorldLiteratures(A),FA11,126,76,80.3%,81.3%,3.87,B+(3.69),B(3.27)
"Sanchez,Rosaura",TWS22-ThirdWorldLiteratures(A),SP11,79,41,85.0%,80.0%,4.55,B+(3.33),B+(3.41)
"George,RosemaryMarangoly",TWS26-ThirdWorldLiteratures(A),WI11,127,69,76.8%,75.4%,4.38,B+(3.44),B+(3.31)
"Woodhull,WinifredJohanna",TWS24-ThirdWorldLiteratures(A),FA10,118,69,53.6%,20.3%,4.79,B+(3.39),B(3.29)
"Cancel,Robert",TWS21-ThirdWorldLiteratures(A),SP10,76,35,67.6%,97.1%,4.44,B+(3.30),B(3.17)
"Zhang,Yingjin",TWS23-ThirdWorldLiteratures(A),WI10,120,56,80.4%,80.0%,3.29,B+(3.43),B(3.03)
"George,RosemaryMarangoly",TWS26-ThirdWorldLiteratures(A),FA09,130,107,68.9%,67.0%,3.23,B+(3.44),B-(2.97)
"Zhiri,Oumelbanine",TWS25-ThirdWorldLiteratures(A),SP09,130,57,84.2%,84.2%,3.26,A-(3.76),B+(3.39)
"Kokotovic,Milos",TWS22-ThirdWorldLiteratures(A),WI09,112,50,94.0%,100.0%,3.68,B+(3.55),B+(3.36)
"Zhang,Yingjin",TWS23-ThirdWorldLiteratures(A),SP08,102,40,72.5%,77.5%,2.96,B+(3.38),B(3.08)
"Cancel,Robert",TWS21-ThirdWorldLiteratures(A),WI08,99,49,89.8%,95.9%,3.07,B(3.29),B-(2.71)
"George,RosemaryMarangoly",TWS26-ThirdWorldLiteratures(A),FA07,123,78,87.0%,89.3%,3.32,B+(3.60),B(3.13)
