Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Newton,JoshuaDean",USP1-History/USUrbanCommunities(A),S219,15,6,83.3%,100.0%,5.17,B+(3.40),N/A
"Dewey,MatthewD",USP3-CityandSocialTheory(A),S219,20,14,92.9%,92.9%,3.93,B+(3.50),B+(3.41)
"Hajrasouliha,AmirHossein",USP124-LandUsePlanning(A),S119,22,5,80.0%,80.0%,4.50,B(3.00),B(3.28)
"Hajrasouliha,AmirHossein",USP191-GISforUrban&CommunityPlan(A),S119,15,6,50.0%,75.0%,7.00,C+(2.50),N/A
"Hinds,JuliBeth",USP2-UrbanWorldSystem(A),S119,16,10,100.0%,100.0%,4.90,B+(3.67),N/A
"Garrison,JessicaDebats",USP100-IntroductiontoUrbanPlanning(A),SP19,69,16,100.0%,100.0%,2.90,A-(3.83),A-(3.72)
"Shtern,Mark",USP105-UrbanSociology(A),SP19,17,7,85.7%,85.7%,3.07,B(3.14),N/A
"Bergman,MatthewEdward",USP133-SocInequality&PublicPolicy(A),SP19,18,8,85.7%,100.0%,4.50,B(3.25),N/A
"Linton,MellissaFranceska",USP135-Asn&LatnaImmgrntWrkrs/GlblE(A),SP19,15,4,75.0%,100.0%,6.00,B+(3.67),N/A
"Velasco,Diego",USP137-Housg&Comm.Dev./Policy&Prac(A),SP19,35,5,100.0%,66.7%,2.50,A(4.00),A-(3.80)
"Lewis,LeslieR",USP141B-LifeCourseScholarsCapstone(A),SP19,24,11,100.0%,100.0%,3.05,A(4.00),A-(3.93)
"Lewis,LeslieR",USP147-CaseStudies/HlthCare/Poor(A),SP19,146,66,97.0%,100.0%,4.38,B+(3.42),B+(3.31)
"Norr,AlexVaughn",USP15-UrbanEcon/Plan&Development(A),SP19,50,16,100.0%,100.0%,5.73,B+(3.38),B(3.03)
"Moeder,NathanL",USP152-RealEstate/DevFinance&Invest(A),SP19,32,9,85.7%,57.1%,5.64,B-(2.80),B-(2.95)
"Hinds,JuliBeth",USP171-SustainableDevelopment(A),SP19,70,21,84.2%,100.0%,4.40,B+(3.53),B+(3.34)
"Peerson,Susan",USP172-Graphics/VisualCommunication(A),SP19,29,10,87.5%,100.0%,3.64,A(4.00),A-(3.87)
"Wright,NicholleNarhi",USP177-UrbanDesignPracticum(A),SP19,18,6,100.0%,100.0%,4.50,B+(3.60),N/A
"Chavez,RichardGerard",USP180-TransportationPlanning(A),SP19,21,3,66.7%,66.7%,1.83,B+(3.67),B+(3.66)
"Wartell,JulieDara",USP191-GISforUrban&CommunityPlan(A),SP19,20,5,100.0%,100.0%,5.00,A-(3.75),B+(3.57)
"Edwards,GregoryS",USP25-RealEstate/Principle&Analysis(A),SP19,25,11,100.0%,100.0%,6.14,B+(3.50),B-(2.93)
"Martin,Isaac",USP3-CityandSocialTheory(A),SP19,148,59,91.2%,94.7%,4.61,B+(3.58),B+(3.39)
"Garrison,JessicaDebats",USP125-TheDesignofSocialResearch(A),WI19,13,4,100.0%,100.0%,2.50,B(3.25),N/A
"Wartell,JulieDara",USP131-CraftBreweries/UrbanEconomy(A),WI19,53,20,94.7%,100.0%,2.71,A-(3.88),A-(3.89)
"Anderson,WilliamRaymond",USP138-UrbanEconomicDevelopment(A),WI19,13,4,75.0%,75.0%,6.50,B(3.00),N/A
"Bussell,MirleRabinowitz",USP141A-LifeCourseScholarsResearch(A),WI19,26,14,100.0%,100.0%,4.64,A(4.00),A-(3.95)
"Lewis,LeslieR",USP143-TheUSHealthCareSystem(A),WI19,217,102,89.4%,87.9%,5.30,B(3.27),B(3.09)
"Yetwin,RichardMark",USP150-RealEstate/Law&Regulation(A),WI19,40,17,85.7%,92.9%,3.79,B+(3.36),B(3.12)
"Edwards,GregoryS",USP153-RealEstate&DevMarketAnalysis(A),WI19,35,24,100.0%,100.0%,3.80,B+(3.43),B+(3.30)
"Bussell,MirleRabinowitz",USP173-History/UrbanPlanning&Design(A),WI19,34,12,90.9%,100.0%,4.32,A-(3.73),B+(3.60)
"Peerson,Susan",USP175-SiteAnal.-Opptys&Constraints(A),WI19,15,3,100.0%,100.0%,6.50,B+(3.67),N/A
"Velasco,Diego",USP177-UrbanDesignPracticum(A),WI19,13,9,88.9%,88.9%,4.50,A-(3.89),N/A
"Peerson,Susan","USP179-UrbanDesign,Theory&Practice(A)",WI19,24,8,85.7%,85.7%,6.79,A-(3.71),A-(3.71)
"Curcio,PaulDavid",USP181-PublicTransportation(A),WI19,14,12,90.0%,100.0%,3.05,A-(3.80),N/A
"Pezzoli,Keith",USP187-SeniorSeq.ResearchProject(A),WI19,44,22,90.0%,95.0%,7.80,B+(3.45),B+(3.37)
"Wartell,JulieDara",USP191-GISforUrban&CommunityPlan(A),WI19,18,7,83.3%,83.3%,3.83,B+(3.67),N/A
"Norr,AlexVaughn",USP193-SanDiegoCommunityResearch(A),WI19,19,10,66.7%,77.8%,6.50,B+(3.63),N/A
"Pezzoli,Keith",USP2-UrbanWorldSystem(A),WI19,112,69,88.4%,91.0%,4.24,B+(3.35),B+(3.43)
"Moeder,NathanL",USP5-IntrotoRealEstate/Develmnt(A),WI19,58,22,80.0%,80.0%,4.40,B+(3.30),B-(2.71)
"Kwak,Nancy",USP1-History/USUrbanCommunities(A),FA18,112,48,95.7%,97.9%,3.99,B(3.24),B-(2.87)
"Hajnal,ZoltanLloyd",USP101-Introduction/PolicyAnalysis(A),FA18,15,7,85.7%,85.7%,3.93,B-(2.86),N/A
"Newton,JoshuaDean",USP106-Race/Ethnicity-AmericanCities(A),FA18,22,10,88.9%,77.8%,1.90,B+(3.67),B+(3.48)
"Bussell,MirleRabinowitz",USP124-LandUsePlanning(A),FA18,95,44,86.0%,92.9%,5.10,B+(3.31),B(3.18)
"Blaise,JeanG",USP129-ResearchMethods/Ethnic&Racial(A),FA18,17,8,75.0%,100.0%,7.00,B+(3.33),N/A
"Lewis,LeslieR",USP140-HealthyPlacemaking(A),FA18,20,7,100.0%,100.0%,3.93,B+(3.43),B+(3.59)
"Lewis,LeslieR",USP144-Environ/PreventHealthIssues(A),FA18,115,56,98.2%,98.1%,5.37,B(3.17),B(3.20)
"Edwards,GregoryS",USP151-RealEstatePlan&Development(A),FA18,45,35,100.0%,97.1%,4.16,B+(3.64),B+(3.31)
"Garcia,Kathleen",USP170-SustainablePlanning(A),FA18,30,13,92.3%,100.0%,3.12,B+(3.54),B+(3.39)
"Peerson,Susan",USP177-UrbanDesignPracticum(A),FA18,20,8,87.5%,100.0%,4.75,A-(3.88),B+(3.46)
"Pezzoli,Keith",USP186-SeniorSequenceResrchProposl(A),FA18,46,11,81.8%,100.0%,9.59,B+(3.55),B+(3.40)
"Wartell,JulieDara",USP191-GISforUrban&CommunityPlan(A),FA18,20,6,100.0%,100.0%,5.50,B+(3.67),B+(3.46)
"Bussell,MirleRabinowitz",USP50-RealEstate&DevColloquium(A),FA18,24,13,92.3%,100.0%,0.50,A(4.00),N/A
"Hajrasouliha,AmirHossein",USP124-LandUsePlanning(A),S218,19,9,100.0%,100.0%,5.25,B+(3.38),N/A
"Bussell,MirleRabinowitz",USP173GS-History/UrbanPlanning&Design(A),S118,19,18,100.0%,100.0%,4.83,B+(3.59),N/A
"Peerson,Susan",USP183GS-Int'lUrbanDesignPracticum(A),S118,19,17,94.1%,100.0%,4.03,A-(3.75),N/A
