Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Vangenderen,MoniqueLuise",VIS108-AdvancedProjectsinArt(A),S219,22,9,100.0%,100.0%,6.21,A-(3.86),A-(3.81)
"Shen,Kuiyi",VIS127C-ArtsofModernChina(A),S219,90,23,72.2%,77.8%,5.13,B+(3.47),B(3.22)
"Zang,Zebulon",VIS130-SpecProjectsinVisualArts(A),S219,17,17,100.0%,100.0%,6.15,B+(3.65),N/A
"Trigilio,Michael",VIS194S-FantasyInFilm(A),S219,30,23,95.7%,95.7%,4.93,B+(3.45),B+(3.62)
"Li,Huai",VIS105D-Aesthetics/ChineseCalligraphy(A),S119,22,5,100.0%,100.0%,4.90,A(4.00),A-(3.80)
"Rose,JordanM",VIS128C-TopicsinModernArtHistory(A),S119,18,3,100.0%,100.0%,12.50,A(4.00),N/A
"Anderson,ShaneNicholas",VIS165-CameraTech:AnalogFutures(A),S119,20,3,100.0%,100.0%,6.50,A(4.00),A-(3.76)
"Zhao,Xing",VIS21B-Introduction/AsianArt(A),S119,44,30,77.8%,84.0%,5.19,B+(3.45),B+(3.37)
"Anderson,ShaneNicholas",VIS60-Intro/DigitalPhotography(A),S119,51,12,100.0%,100.0%,4.32,B+(3.63),B+(3.48)
"Paden,JonathonDean",VIS10-ComputingArtsLectureSeries(A),SP19,147,72,78.8%,87.9%,3.55,A-(3.74),A-(3.89)
"Cruz,EdwinTeddy",VIS102-DemocratizingtheCity(A),SP19,85,54,88.2%,88.2%,2.62,A-(3.73),A-(3.78)
"Park,KyongDong",VIS103B-Architecture&UrbanismofKorea(A),SP19,44,17,93.8%,93.8%,3.00,B+(3.50),B+(3.51)
"Rigg,BriannaD",VIS105A-Drawing:Representing/Subject(A),SP19,30,19,100.0%,100.0%,6.71,A-(3.84),A-(3.96)
"Costello,KateM",VIS105C-Drawing:PortfolioProjects(A),SP19,14,4,50.0%,50.0%,5.50,B+(3.67),N/A
"Li,Huai",VIS105E-ChinCalligraphy/Installation(A),SP19,16,10,100.0%,100.0%,7.10,A(4.00),N/A
"Guerrero,RaulM.",VIS106A-Painting:ImageMaking(A),SP19,25,9,100.0%,100.0%,6.28,A-(3.78),A(4.00)
