Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Hargens,Alan",WARR87-FreshmanSeminar(A),WI19,17,12,100.0%,100.0%,0.86,B+(3.67),N/A
"Goodall,GrantTodd",WARR1-FirstYearExperience(A),FA18,80,47,86.4%,95.5%,0.81,A-(3.89),N/A
"Roxworthy,Emily",WARR2-TransferYearExperience(A),FA18,31,14,92.9%,100.0%,1.21,A(4.00),N/A
"Radic,Zoran",WARR87-FreshmanSeminar(B),FA18,9,5,100.0%,100.0%,0.90,N/A,N/A
"Debnath,Anjan",WARR87-FreshmanSeminar(A),WI18,12,9,88.9%,88.9%,1.39,A(4.00),N/A
"Goodall,GrantTodd",WARR1-FirstYearExperience(A),FA17,87,45,72.1%,100.0%,1.15,A-(3.80),N/A
"Roxworthy,Emily",WARR2-TransferYearExperience(A),FA17,37,19,94.7%,100.0%,1.87,B+(3.67),N/A
"Radic,Zoran",WARR87-FreshmanSeminar(A),FA17,10,7,100.0%,100.0%,1.64,B(3.00),N/A
"Hargens,Alan",WARR87-FreshmanSeminar(B),SP17,9,5,80.0%,80.0%,1.30,N/A,N/A
"Radic,Zoran",WARR87-FreshmanSeminar(B),WI17,13,13,91.7%,91.7%,1.50,N/A,N/A
"Goodall,GrantTodd",WARR1-FirstYearExperience(A),FA16,98,54,79.2%,98.1%,1.29,A(4.00),N/A
"Trigilio,Michael",WARR2-TransferYearExperience(A),FA16,35,14,85.7%,100.0%,0.96,A(4.00),N/A
"Lamey,AndyM.",WARR87-FreshmanSeminar(A),FA16,12,7,83.3%,83.3%,4.90,A(4.00),N/A
"Hargens,Alan",WARR87-FreshmanSeminar(A),WI16,15,9,100.0%,100.0%,0.75,A(4.00),N/A
"Goodall,GrantTodd",WARR1-FirstYearExperience(A),FA15,56,37,75.0%,91.7%,0.72,A(4.00),N/A
"Adler,Steven",WARR2-TransferYearExperience(A),FA15,15,9,100.0%,100.0%,2.50,B(3.00),N/A
"Hargens,Alan",WARR87-FreshmanSeminar(A),SP15,11,6,83.3%,83.3%,1.50,N/A,N/A
"Goodall,GrantTodd",WARR1-FirstYearExperience(A),FA14,82,55,68.5%,98.1%,1.22,A(4.00),N/A
"Hauger,RichardL",WARR192-WarrenCollegeSeniorSeminar(A),SP13,7,3,100.0%,100.0%,1.17,A(4.00),N/A
"Tomaszewski,ChristianAlberto",WARR87-FreshmanSeminar(A),SP13,16,11,100.0%,100.0%,1.41,A(4.00),N/A
"Yaksh,TonyL.",WARR192-WarrenCollegeSeniorSeminar(A),SP12,15,8,100.0%,100.0%,2.00,N/A,N/A
"Reid,ErinAnn",WARR192-WarrenCollegeSeniorSeminar(A),SP09,14,13,100.0%,100.0%,0.50,N/A,N/A
"Reid,Tony",WARR192-WarrenCollegeSeniorSeminar(A),SP09,14,13,100.0%,100.0%,0.50,N/A,N/A
"Reid,ErinAnn",WARR192-WarrenCollegeSeniorSeminar(A),SP08,6,6,100.0%,100.0%,0.83,N/A,N/A
"Reid,Tony",WARR192-WarrenCollegeSeniorSeminar(A),SP08,6,6,100.0%,100.0%,0.83,N/A,N/A
