Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"McCleary,KeithLong",WCWP100-AcademicWriting(A),S219,17,15,80.0%,100.0%,14.64,B+(3.57),N/A
"Gagnon,JeffreyC",WCWP100-AcademicWriting(B),S219,16,7,85.7%,100.0%,11.36,B+(3.50),N/A
"Short,VincentJames",WCWP10B-TheWritingCourseB(A),S219,16,14,85.7%,100.0%,9.64,B(3.21),N/A
"Zimmerman-Liu,TeresaJean",WCWP10B-TheWritingCourseB(B),S219,14,13,84.6%,100.0%,8.81,B+(3.31),N/A
"Kolodezh,Samuel",WCWP10B-TheWritingCourseB(C),S219,15,9,77.8%,100.0%,9.61,B+(3.56),N/A
"Zimmerman-Liu,TeresaJean",WCWP100-AcademicWriting(A),S119,17,15,93.3%,100.0%,11.30,B(3.27),N/A
"Kolodezh,Samuel",WCWP100-AcademicWriting(B),S119,15,10,90.0%,100.0%,7.70,B+(3.30),N/A
"Young,MarkT",WCWP100-AcademicWriting(C),S119,8,3,66.7%,66.7%,8.50,C+(2.67),N/A
"Setoda,KayleighKumiko",WCWP10B-TheWritingCourseB(A),S119,17,12,83.3%,100.0%,6.50,B(3.18),N/A
"Tocki,JasmineRae",WCWP10B-TheWritingCourseB(B),S119,14,12,100.0%,100.0%,6.83,B+(3.33),N/A
"McCleary,KeithLong",WCWP100-AcademicWriting(A),SP19,19,18,83.3%,94.4%,8.06,B(3.06),B(3.17)
"Blomstedt,ElizabethAnn",WCWP100-AcademicWriting(B),SP19,20,6,100.0%,100.0%,4.50,B+(3.60),B+(3.42)
"McCleary,KeithLong",WCWP100-AcademicWriting(C),SP19,20,19,84.2%,94.4%,8.39,B-(2.95),B(3.17)
"Gagnon,JeffreyC",WCWP100-AcademicWriting(D),SP19,19,15,100.0%,100.0%,7.17,B-(2.93),N/A
"Young,MarkT",WCWP100-AcademicWriting(E),SP19,19,6,83.3%,100.0%,4.50,B(3.00),B+(3.34)
"Young,MarkT",WCWP100-AcademicWriting(F),SP19,20,8,75.0%,87.5%,8.00,B(3.13),B+(3.34)
"Gagnon,JeffreyC",WCWP10A-TheWritingCourseA(0),SP19,150,126,76.9%,91.5%,5.21,B(3.11),B(3.21)
"Gagnon,JeffreyC",WCWP10B-TheWritingCourseB(0),SP19,633,337,66.7%,84.9%,4.16,B+(3.34),B+(3.36)
"McCleary,KeithLong",WCWP100-AcademicWriting(A),WI19,18,18,66.7%,88.9%,7.06,B(3.11),N/A
"McCleary,KeithLong",WCWP100-AcademicWriting(B),WI19,19,18,66.7%,100.0%,7.39,B(3.00),N/A
"McCleary,KeithLong",WCWP100-AcademicWriting(C),WI19,13,13,92.3%,100.0%,8.04,B-(2.92),N/A
"Blomstedt,ElizabethAnn",WCWP100-AcademicWriting(D),WI19,17,9,100.0%,100.0%,5.39,B+(3.67),N/A
"Young,MarkT",WCWP100-AcademicWriting(E),WI19,19,11,90.0%,90.0%,10.10,B(3.20),N/A
"Young,MarkT",WCWP100-AcademicWriting(F),WI19,18,5,80.0%,100.0%,5.70,B(3.20),N/A
"Young,MarkT",WCWP100-AcademicWriting(G),WI19,19,7,66.7%,83.3%,10.50,B-(2.83),N/A
"Gagnon,JeffreyC",WCWP10A-TheWritingCourseA(0),WI19,357,264,72.1%,87.3%,4.12,B+(3.32),B(3.23)
"Gagnon,JeffreyC",WCWP10B-TheWritingCourseB(0),WI19,445,278,64.4%,83.6%,5.05,B+(3.30),B+(3.35)
"Blomstedt,ElizabethAnn",WCWP100-AcademicWriting(A),FA18,20,16,87.5%,100.0%,5.50,B+(3.69),B+(3.31)
"McCleary,KeithLong",WCWP100-AcademicWriting(B),FA18,18,18,100.0%,100.0%,5.06,B+(3.44),N/A
"McCleary,KeithLong",WCWP100-AcademicWriting(C),FA18,19,19,84.2%,94.7%,5.45,B(3.21),N/A
"McCleary,KeithLong",WCWP100-AcademicWriting(D),FA18,18,18,72.2%,100.0%,8.61,B+(3.33),N/A
"Young,MarkT",WCWP100-AcademicWriting(E),FA18,15,7,100.0%,100.0%,7.93,B(3.29),B(3.19)
"Young,MarkT",WCWP100-AcademicWriting(F),FA18,19,9,77.8%,88.9%,5.61,B+(3.33),B(3.19)
"Young,MarkT",WCWP100-AcademicWriting(G),FA18,20,8,71.4%,85.7%,8.79,B(3.29),B(3.19)
"Gagnon,JeffreyC",WCWP10A-TheWritingCourseA(0),FA18,650,494,75.7%,88.1%,4.57,B+(3.32),B(3.23)
"Gagnon,JeffreyC",WCWP10B-TheWritingCourseB(0),FA18,55,17,47.1%,76.5%,4.97,B(3.06),B(3.13)
"Pedler,JohnChristopher",WCWP100-AcademicWriting(A),S218,15,4,50.0%,100.0%,7.50,B-(2.75),N/A
"Veal,Adam",WCWP100-AcademicWriting(B),S218,15,13,92.3%,92.3%,7.12,B+(3.69),N/A
"Gagnon,JeffreyC",WCWP10B-TheWritingCourseB(A),S218,16,6,66.7%,100.0%,10.17,B(3.17),N/A
"Blomstedt,ElizabethAnn",WCWP10B-TheWritingCourseB(B),S218,16,3,100.0%,100.0%,8.50,B+(3.50),N/A
"Griffin,StephenEdward",WCWP100-AcademicWriting(A),S118,14,7,83.3%,100.0%,8.83,B(3.17),N/A
"Pesch,Katrin",WCWP10B-TheWritingCourseB(A),S118,16,15,60.0%,100.0%,8.50,B(3.07),N/A
"Ridlen,TimothyMichael",WCWP10B-TheWritingCourseB(B),S118,15,14,61.5%,100.0%,8.65,B+(3.36),N/A
"Blomstedt,ElizabethAnn",WCWP100-AcademicWriting(A),SP18,20,20,89.5%,100.0%,7.17,B+(3.31),B+(3.31)
"McCleary,KeithLong",WCWP100-AcademicWriting(B),SP18,20,17,76.5%,100.0%,7.79,B(3.12),B(3.08)
"Young,MarkT",WCWP100-AcademicWriting(C),SP18,18,6,66.7%,100.0%,3.50,B+(3.40),B+(3.47)
"Young,MarkT",WCWP100-AcademicWriting(D),SP18,20,5,100.0%,100.0%,5.00,B(3.25),B+(3.47)
"Gagnon,JeffreyC",WCWP10A-TheWritingCourseA(0),SP18,78,39,75.8%,87.1%,7.81,B-(2.86),B-(2.95)
"Gagnon,JeffreyC",WCWP10B-TheWritingCourseB(0),SP18,511,372,55.6%,77.8%,5.92,B(3.11),B(3.18)
"Blomstedt,ElizabethAnn",WCWP100-AcademicWriting(A),WI18,20,8,100.0%,100.0%,5.36,A-(3.86),B+(3.59)
"Young,MarkT",WCWP100-AcademicWriting(B),WI18,20,10,100.0%,100.0%,7.90,B+(3.30),B+(3.42)
"Young,MarkT",WCWP100-AcademicWriting(C),WI18,17,5,100.0%,100.0%,6.10,B+(3.40),B+(3.42)
"McCleary,KeithLong",WCWP100-AcademicWriting(D),WI18,18,18,100.0%,100.0%,6.94,B(3.28),B(3.17)
"McCleary,KeithLong",WCWP100-AcademicWriting(E),WI18,18,17,76.5%,100.0%,6.50,B+(3.41),B(3.17)
"McCleary,KeithLong",WCWP100-AcademicWriting(F),WI18,20,19,78.9%,100.0%,6.82,B(3.16),B(3.17)
"Young,MarkT",WCWP100-AcademicWriting(G),WI18,17,9,88.9%,100.0%,5.61,B+(3.33),B+(3.42)
"Gagnon,JeffreyC",WCWP10A-TheWritingCourseA(0),WI18,227,182,62.3%,78.9%,5.81,B(3.10),B(3.08)
"Gagnon,JeffreyC",WCWP10B-TheWritingCourseB(0),WI18,363,240,57.9%,70.7%,6.55,B(3.10),B(3.07)
"McCleary,KeithLong",WCWP100-AcademicWriting(A),FA17,19,18,61.1%,94.4%,6.72,B(3.11),B+(3.44)
"McCleary,KeithLong",WCWP100-AcademicWriting(B),FA17,20,18,100.0%,94.4%,8.39,B+(3.33),B+(3.44)
"McCleary,KeithLong",WCWP100-AcademicWriting(C),FA17,18,18,94.4%,100.0%,6.74,B+(3.33),B+(3.44)
"Blomstedt,ElizabethAnn",WCWP100-AcademicWriting(D),FA17,20,12,90.9%,100.0%,5.95,B+(3.55),B+(3.44)
"Young,MarkT",WCWP100-AcademicWriting(E),FA17,18,5,80.0%,100.0%,3.30,B+(3.40),N/A
"Young,MarkT",WCWP100-AcademicWriting(F),FA17,18,7,71.4%,71.4%,11.93,B+(3.43),N/A
"Young,MarkT",WCWP100-AcademicWriting(G),FA17,18,8,87.5%,87.5%,8.50,B(3.13),N/A
"Gagnon,JeffreyC",WCWP10A-TheWritingCourseA(0),FA17,597,509,65.9%,80.0%,5.59,B(3.18),B(3.12)
"Susi,Natalie",WCWP100-AcademicWriting(A),S217,12,3,66.7%,100.0%,11.83,A(4.00),N/A
"Coulter,JaneElisabeth",WCWP10B-TheWritingCourseB(A),S217,15,3,0.0%,100.0%,14.50,B+(3.50),N/A
"Veal,Adam",WCWP100-AcademicWriting(A),S117,15,4,100.0%,100.0%,12.50,B+(3.67),N/A
"McCleary,KeithLong",WCWP100-AcademicWriting(A),SP17,16,16,81.3%,93.8%,10.50,B+(3.44),N/A
"McCleary,KeithLong",WCWP100-AcademicWriting(B),SP17,17,16,43.8%,100.0%,7.88,B+(3.38),N/A
"Veal,Adam",WCWP100-AcademicWriting(C),SP17,20,6,60.0%,100.0%,8.90,A-(3.80),B+(3.66)
"Young,MarkT",WCWP100-AcademicWriting(D),SP17,14,7,100.0%,100.0%,7.17,B+(3.33),N/A
"Roxworthy,Emily",WCWP10A-TheWritingCourseA(0),SP17,80,45,70.6%,88.2%,7.00,B(3.00),B(3.03)
"Roxworthy,Emily",WCWP10B-TheWritingCourseB(0),SP17,470,218,61.8%,74.2%,6.98,B(3.19),B(3.18)
"Veal,Adam",WCWP100-AcademicWriting(A),WI17,20,9,87.5%,100.0%,6.25,B(3.25),B+(3.55)
"Veal,Adam",WCWP100-AcademicWriting(B),WI17,19,8,71.4%,100.0%,5.07,B+(3.60),B+(3.55)
