Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived,class_level_Freshman,class_level_Sophomore,class_level_Junior,class_level_Senior,class_level_Graduate,class_level_Extension,class_level_Visitor,reason_taking_class_Major,reason_taking_class_Minor,reason_taking_class_Gen_Ed,reason_taking_class_Elective,reason_taking_class_Interest,grade_expect_class_A,grade_expect_class_B,grade_expect_class_C,grade_expect_class_D,grade_expect_class_F,grade_expect_class_P,grade_expect_class_NP,learned_great_deal_course_Strongly_Disagree,learned_great_deal_course_Disagree,learned_great_deal_course_Neither_Agree_nor_Disagree,learned_great_deal_course_Agree,learned_great_deal_course_Strongly_Agree,learned_great_deal_course_Not_Applicable,many_hours_week_spend_studying_outside_class_average_01,many_hours_week_spend_studying_outside_class_average_23,many_hours_week_spend_studying_outside_class_average_45,many_hours_week_spend_studying_outside_class_average_67,many_hours_week_spend_studying_outside_class_average_89,many_hours_week_spend_studying_outside_class_average_1011,many_hours_week_spend_studying_outside_class_average_1213,many_hours_week_spend_studying_outside_class_average_1415,many_hours_week_spend_studying_outside_class_average_1617,many_hours_week_spend_studying_outside_class_average_1819,many_hours_week_spend_studying_outside_class_average_20_or_more,often_attend_course_Very_Rarely,often_attend_course_Some_of_the_Time,often_attend_course_Most_of_the_Time,course_material_intellectually_stimulating_Strongly_Disagree,course_material_intellectually_stimulating_Disagree,course_material_intellectually_stimulating_Neither_Agree_nor_Disagree,course_material_intellectually_stimulating_Agree,course_material_intellectually_stimulating_Strongly_Agree,course_material_intellectually_stimulating_Not_Applicable,assignments_promote_learning_Strongly_Disagree,assignments_promote_learning_Disagree,assignments_promote_learning_Neither_Agree_nor_Disagree,assignments_promote_learning_Agree,assignments_promote_learning_Strongly_Agree,assignments_promote_learning_Not_Applicable,required_reading_useful_Strongly_Disagree,required_reading_useful_Disagree,required_reading_useful_Neither_Agree_nor_Disagree,required_reading_useful_Agree,required_reading_useful_Strongly_Agree,required_reading_useful_Not_Applicable,course_difficult_relative_others_Strongly_Disagree,course_difficult_relative_others_Disagree,course_difficult_relative_others_Neither_Agree_nor_Disagree,course_difficult_relative_others_Agree,course_difficult_relative_others_Strongly_Agree,course_difficult_relative_others_Not_Applicable,exams_representative_course_material_Strongly_Disagree,exams_representative_course_material_Disagree,exams_representative_course_material_Neither_Agree_nor_Disagree,exams_representative_course_material_Agree,exams_representative_course_material_Strongly_Agree,exams_representative_course_material_Not_Applicable,recommend_course_overall_Yes,recommend_course_overall_No,instructor_displays_proficient_command_material_Strongly_Disagree,instructor_displays_proficient_command_material_Disagree,instructor_displays_proficient_command_material_Neither_Agree_nor_Disagree,instructor_displays_proficient_command_material_Agree,instructor_displays_proficient_command_material_Strongly_Agree,instructor_displays_proficient_command_material_Not_Applicable,instructor_well_prepared_classes_Strongly_Disagree,instructor_well_prepared_classes_Disagree,instructor_well_prepared_classes_Neither_Agree_nor_Disagree,instructor_well_prepared_classes_Agree,instructor_well_prepared_classes_Strongly_Agree,instructor_well_prepared_classes_Not_Applicable,instructors_speech_clear_audible_Strongly_Disagree,instructors_speech_clear_audible_Disagree,instructors_speech_clear_audible_Neither_Agree_nor_Disagree,instructors_speech_clear_audible_Agree,instructors_speech_clear_audible_Strongly_Agree,instructors_speech_clear_audible_Not_Applicable,instructor_explains_course_material_well_Strongly_Disagree,instructor_explains_course_material_well_Disagree,instructor_explains_course_material_well_Neither_Agree_nor_Disagree,instructor_explains_course_material_well_Agree,instructor_explains_course_material_well_Strongly_Agree,instructor_explains_course_material_well_Not_Applicable,lectures_hold_attention_Strongly_Disagree,lectures_hold_attention_Disagree,lectures_hold_attention_Neither_Agree_nor_Disagree,lectures_hold_attention_Agree,lectures_hold_attention_Strongly_Agree,lectures_hold_attention_Not_Applicable,instructor’s_lecture_style_facilitates_notetaking_Strongly_Disagree,instructor’s_lecture_style_facilitates_notetaking_Disagree,instructor’s_lecture_style_facilitates_notetaking_Neither_Agree_nor_Disagree,instructor’s_lecture_style_facilitates_notetaking_Agree,instructor’s_lecture_style_facilitates_notetaking_Strongly_Agree,instructor’s_lecture_style_facilitates_notetaking_Not_Applicable,instructor_shows_concern_students_learning_Strongly_Disagree,instructor_shows_concern_students_learning_Disagree,instructor_shows_concern_students_learning_Neither_Agree_nor_Disagree,instructor_shows_concern_students_learning_Agree,instructor_shows_concern_students_learning_Strongly_Agree,instructor_shows_concern_students_learning_Not_Applicable,instructor_promotes_appropriate_questionsdiscussion_Strongly_Disagree,instructor_promotes_appropriate_questionsdiscussion_Disagree,instructor_promotes_appropriate_questionsdiscussion_Neither_Agree_nor_Disagree,instructor_promotes_appropriate_questionsdiscussion_Agree,instructor_promotes_appropriate_questionsdiscussion_Strongly_Agree,instructor_promotes_appropriate_questionsdiscussion_Not_Applicable,instructor_accessible_outside_class_Strongly_Disagree,instructor_accessible_outside_class_Disagree,instructor_accessible_outside_class_Neither_Agree_nor_Disagree,instructor_accessible_outside_class_Agree,instructor_accessible_outside_class_Strongly_Agree,instructor_accessible_outside_class_Not_Applicable,instructor_starts_finishes_class_time_Strongly_Disagree,instructor_starts_finishes_class_time_Disagree,instructor_starts_finishes_class_time_Neither_Agree_nor_Disagree,instructor_starts_finishes_class_time_Agree,instructor_starts_finishes_class_time_Strongly_Agree,instructor_starts_finishes_class_time_Not_Applicable,instructor_effective_promoting_academic_integrity_Strongly_Disagree,instructor_effective_promoting_academic_integrity_Disagree,instructor_effective_promoting_academic_integrity_Neither_Agree_nor_Disagree,instructor_effective_promoting_academic_integrity_Agree,instructor_effective_promoting_academic_integrity_Strongly_Agree,instructor_effective_promoting_academic_integrity_Not_Applicable,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Strongly_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Neither_Agree_nor_Disagree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Agree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Strongly_Agree,instructor_practiced_effective_teaching_strategies_acknowledged_valued_differences_among_students_including_differences_race_gender_identity_Not_Applicable,recommend_professor_overall_Yes,recommend_professor_overall_No
"Johnston,EmilyRonay",DOC100D-Promises&Contradictions/USCult(A),S219,11,11,100.0%,100.0%,5.90,A-(3.70),N/A,0,18,0,82,0,0,0,0,0,91,9,0,64,27,0,0,0,9,0,20,0,0,50,30,0,0,30,30,10,10,10,10,0,0,0,0,0,0,100,11,0,0,33,56,0,11,0,0,33,56,0,10,0,0,40,50,0,10,40,30,10,10,0,0,0,0,10,30,60,100,0,11,0,0,22,67,0,11,0,0,22,67,0,11,0,0,11,78,0,11,0,0,22,67,0,11,0,0,44,44,0,11,0,33,22,33,0,11,0,0,22,67,0,11,0,0,22,67,0,11,11,0,22,56,0,11,0,0,22,67,0,11,0,0,44,44,0,11,0,0,0,89,0,100,0
"Pass,NatalyeJoann",DOC100D-Promises&Contradictions/USCult(A),SP19,26,11,100.0%,100.0%,7.77,A-(3.73),B(3.19),0,0,18,82,0,0,0,0,0,91,0,9,73,27,0,0,0,0,0,9,0,0,9,82,0,0,9,18,27,9,27,0,9,0,0,0,0,0,100,9,0,0,18,73,0,9,0,9,9,73,0,0,0,0,18,82,0,0,18,45,9,27,0,0,0,18,0,45,36,100,0,0,0,0,9,91,0,0,0,0,9,91,0,0,0,0,0,100,0,0,0,0,0,100,0,0,9,0,0,91,0,0,9,0,0,82,9,0,0,0,9,91,0,0,0,0,0,100,0,0,0,0,0,91,9,0,0,0,9,91,0,0,0,0,0,100,0,0,0,0,10,90,0,100,0
"Pass,NatalyeJoann",DOC100D-Promises&Contradictions/USCult(B),SP19,12,5,100.0%,100.0%,5.30,A(4.00),B(3.19),0,0,60,40,0,0,0,0,0,80,0,20,80,0,0,0,0,20,0,0,20,0,0,80,0,20,20,0,40,0,20,0,0,0,0,0,0,0,100,20,0,0,0,80,0,0,0,0,20,80,0,0,0,0,20,80,0,0,80,0,0,20,0,0,0,40,0,20,40,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,20,0,0,80,0,0,20,40,0,40,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,20,80,0,0,0,0,0,100,0,0,0,25,0,75,0,0,0,0,0,100,0,100,0
"Solomon,AmandaLeeAlbaniel",DOC3-Imagination(A),SP19,287,270,64.4%,93.3%,4.49,B(3.25),B+(3.44),4,58,33,5,0,0,0,1,0,99,0,0,35,57,8,0,0,0,0,6,13,24,40,16,0,12,31,32,11,6,5,1,1,0,0,1,1,7,92,5,8,22,47,18,0,7,13,21,44,15,0,15,23,22,26,12,1,3,18,26,38,14,0,2,4,17,32,15,30,64,36,0,1,4,30,65,0,0,0,3,28,68,0,0,0,2,27,71,0,0,3,5,36,55,0,5,11,20,36,28,0,5,10,21,36,26,1,1,1,6,36,55,0,1,2,5,41,50,0,0,3,13,37,43,4,0,0,2,40,57,0,0,1,3,40,55,0,1,2,3,31,61,1,93,7
"Johnston,EmilyRonay",DOC3-Imagination(B),SP19,276,253,65.6%,94.4%,3.79,B(3.28),B+(3.41),11,71,14,4,0,0,0,0,0,100,0,0,32,63,4,0,0,0,0,8,13,27,36,16,0,18,40,22,11,5,3,1,1,0,0,0,1,6,92,5,13,22,43,17,0,5,17,21,45,12,0,17,22,24,25,12,0,4,22,40,27,7,0,2,7,13,33,14,31,66,34,0,1,6,36,57,0,0,1,4,36,58,0,0,0,1,33,65,0,0,2,9,34,55,0,7,12,24,34,24,0,4,11,19,39,26,0,1,0,6,28,65,0,1,2,6,36,55,0,1,1,8,37,51,2,1,0,5,44,50,0,0,0,4,40,54,1,1,1,4,26,67,0,94,6
"Strom,MeganC.",DOC3-Imagination(C),SP19,249,216,60.5%,80.9%,4.30,B(3.22),B+(3.38),15,65,14,6,0,0,0,2,0,98,0,0,30,63,7,0,0,0,0,11,15,23,35,16,0,13,33,32,10,5,3,4,0,0,0,0,0,10,90,9,13,18,44,16,0,7,14,24,42,13,0,13,16,21,35,15,0,3,15,36,30,16,0,6,6,13,32,11,33,60,40,2,3,7,49,39,1,0,1,5,44,49,1,1,1,3,44,51,0,2,6,14,44,35,0,14,24,20,29,12,0,6,10,14,43,26,1,2,3,7,45,42,0,2,4,7,49,39,0,1,1,11,48,32,7,1,2,5,50,41,0,0,0,8,46,45,0,1,2,7,38,51,0,81,19
"Strom,MeganC.",DOC3-Imagination(D),SP19,237,215,57.5%,77.1%,3.91,B+(3.30),B+(3.38),9,66,21,4,0,0,0,2,0,97,0,0,34,62,4,0,0,0,0,7,16,27,38,12,0,16,35,29,11,7,2,0,0,0,0,0,3,10,87,6,16,22,45,11,0,5,16,22,46,10,0,15,25,20,32,7,0,4,17,34,31,14,0,4,5,17,33,10,30,57,43,2,2,11,53,30,0,2,0,7,55,35,0,2,1,4,51,41,0,3,7,16,50,24,0,17,31,19,26,8,0,6,15,16,47,15,0,3,4,14,53,26,0,4,5,10,55,26,0,1,1,13,54,23,7,1,2,6,60,31,0,1,0,6,52,40,0,3,1,9,41,46,0,77,23
"Pass,NatalyeJoann",DOC100D-Promises&Contradictions/USCult(A),WI19,22,13,84.6%,91.7%,7.42,B+(3.67),B+(3.44),0,0,46,54,0,0,0,8,0,85,8,0,62,31,0,0,0,8,0,8,8,8,15,62,0,8,8,31,15,8,8,0,23,0,0,0,8,0,92,15,15,0,15,54,0,15,0,8,23,54,0,8,15,0,23,54,0,23,31,23,0,23,0,8,0,8,15,23,46,85,15,8,0,8,15,69,0,8,8,0,15,69,0,8,0,0,23,69,0,8,8,0,15,69,0,8,8,0,15,69,0,23,15,0,8,54,0,15,0,0,15,69,0,8,8,0,15,69,0,8,0,15,15,62,0,8,0,8,15,69,0,8,8,0,15,69,0,15,8,0,15,62,0,92,8
"Pass,NatalyeJoann",DOC100D-Promises&Contradictions/USCult(B),WI19,16,7,100.0%,100.0%,4.17,A(4.00),B+(3.44),0,0,14,86,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,14,14,71,0,0,17,83,0,0,0,0,0,0,0,0,0,0,100,0,0,14,43,43,0,0,0,0,29,71,0,0,0,0,43,57,0,0,29,57,14,0,0,0,0,0,0,29,71,100,0,0,0,0,43,57,0,0,0,0,29,71,0,0,0,0,14,86,0,0,0,0,29,71,0,0,0,0,29,71,0,0,0,43,29,29,0,0,0,0,14,86,0,0,0,0,14,86,0,0,0,14,43,43,0,0,0,0,14,86,0,0,0,0,14,71,14,0,0,0,14,86,0,100,0
"Johnston,EmilyRonay",DOC2-Justice(A),WI19,269,259,72.1%,94.5%,4.66,B(3.11),B(3.21),39,53,5,2,0,0,0,2,0,98,0,0,19,74,6,0,0,0,0,5,8,16,42,30,0,10,34,29,12,7,4,3,0,0,0,1,1,8,91,3,7,14,45,31,0,2,10,16,51,21,0,2,9,13,46,30,0,3,12,33,38,13,0,1,3,12,37,24,23,72,28,0,2,4,35,58,0,0,0,3,35,61,0,0,0,2,29,69,0,1,2,6,37,54,0,4,11,18,33,35,0,3,13,15,36,33,0,0,0,3,31,65,0,0,0,4,34,61,0,0,1,9,37,48,4,0,4,5,42,49,0,0,0,4,30,64,1,0,0,4,28,67,0,95,5
