Title,CTO Name
ACADEMIC ADMINISTRATOR I,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR I NEX,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR II,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR II NEX,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR III,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR III NEX,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR IV,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR IV NEX,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR V,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR V NEX,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR VI,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR VI NEX,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR VII,ACADEMIC-ADMINISTRATOR
ACADEMIC ADMINISTRATOR VII NEX,ACADEMIC-ADMINISTRATOR
ACADEMIC ASST TO CHANC,MISCELLANEOUS TITLES-SINGLE TITLES
ACADEMIC ASST TO VICE CHANC,MISCELLANEOUS TITLES-SINGLE TITLES
ACADEMIC COORD I-AY,ACADEMIC COORDINATOR
ACADEMIC COORD I-AY NEX,ACADEMIC COORDINATOR
ACADEMIC COORD I-FY,ACADEMIC COORDINATOR
ACADEMIC COORD I-FY NEX,ACADEMIC COORDINATOR
ACADEMIC COORD II-AY,ACADEMIC COORDINATOR
ACADEMIC COORD II-AY NEX,ACADEMIC COORDINATOR
ACADEMIC COORD II-FY,ACADEMIC COORDINATOR
ACADEMIC COORD II-FY NEX,ACADEMIC COORDINATOR
ACADEMIC COORD III-AY,ACADEMIC COORDINATOR
ACADEMIC COORD III-AY NEX,ACADEMIC COORDINATOR
ACADEMIC COORD III-FY,ACADEMIC COORDINATOR
ACADEMIC COORD III-FY NEX,ACADEMIC COORDINATOR
ACT ACADEMIC COORD,ACTING ACADEMIC COORDINATOR
ACT ACADEMIC COORD NEX,ACTING ACADEMIC COORDINATOR
ACT AGRON AES,AGRONOMIST-ACTING
ACT AGRON AES-AY,AGRONOMIST-ACTING
ACT AGRON AES-B/E/E,AGRONOMIST-ACTING
ACT AGRON AES-B/E/E-AY,AGRONOMIST-ACTING
ACT AGRON AES-SFT-VM,AGRONOMIST-ACTING
ACT ASSOC AGRON AES,AGRONOMIST-ACTING
ACT ASSOC AGRON AES-AY,AGRONOMIST-ACTING
ACT ASSOC AGRON AES-B/E/E,AGRONOMIST-ACTING
ACT ASSOC AGRON AES-B/E/E-AY,AGRONOMIST-ACTING
ACT ASSOC AGRON AES-SFT-VM,AGRONOMIST-ACTING
ACT ASSOC PROF-AY,ACTING PROFESSOR-SENATE
ACT ASSOC PROF-AY-1/9,ACTING PROFESSOR-SENATE
ACT ASSOC PROF-AY-1/9-B/E/E,ACTING PROFESSOR-SENATE
ACT ASSOC PROF-AY-B/E/E,ACTING PROFESSOR-SENATE
ACT ASSOC PROF-FY,ACTING PROFESSOR-SENATE
ACT ASSOC PROF-FY-B/E/E,ACTING PROFESSOR-SENATE
ACT ASSOC PROF-HCOMP,ACTING PROFESSOR-SENATE
ACT ASSOC PROF-SFT-VM,ACTING PROFESSOR-SENATE
ACT ASST AGRON AES,AGRONOMIST-ACTING
ACT ASST AGRON AES-AY,AGRONOMIST-ACTING
ACT ASST AGRON AES-B/E/E,AGRONOMIST-ACTING
ACT ASST AGRON AES-B/E/E/-AY,AGRONOMIST-ACTING
ACT ASST AGRON AES-SFT-VM,AGRONOMIST-ACTING
ACT ASST PROF-AY,ACTING PROFESSOR-NON-SENATE
ACT ASST PROF-AY-1/9,ACTING PROFESSOR-NON-SENATE
ACT ASST PROF-AY-1/9-B/E/E,ACTING PROFESSOR-NON-SENATE
ACT ASST PROF-AY-B/E/E,ACTING PROFESSOR-NON-SENATE
ACT ASST PROF-FY,ACTING PROFESSOR-NON-SENATE
ACT ASST PROF-FY-B/E/E,ACTING PROFESSOR-NON-SENATE
ACT ASST PROF-HCOMP,ACTING PROFESSOR-NON-SENATE
ACT ASST PROF-SFT-VM,ACTING PROFESSOR-NON-SENATE
ACT INSTR-GRAD STDNT-GSHIP,OTHER STUDENT TITLES
ACT INSTR-GRAD STDNT-NON-GSHIP,OTHER STUDENT TITLES
ACT LECT PSOE-AY,ACTING LECTURER-PSOE
ACT LECT PSOE-AY-B/E/E,ACTING LECTURER-PSOE
ACT LECT PSOE-AY-LAW,ACTING LECTURER-PSOE
ACT LECT PSOE-FY,ACTING LECTURER-PSOE
ACT LECT PSOE-FY-B/E/E,ACTING LECTURER-PSOE
ACT LECT PSOE-HCOMP,ACTING LECTURER-PSOE
ACT LECT PSOE-SFT-VM,ACTING LECTURER-PSOE
ACT LECT SOE-AY,ACTING LECTURER-SOE
ACT LECT SOE-AY-B/E/E,ACTING LECTURER-SOE
ACT LECT SOE-FY,ACTING LECTURER-SOE
ACT LECT SOE-FY-B/E/E,ACTING LECTURER-SOE
ACT LECT SOE-HCOMP,ACTING LECTURER-SOE
ACT LECT SOE-SFT-VM,ACTING LECTURER-SOE
ACT PROF-AY,ACTING PROFESSOR-SENATE
ACT PROF-AY-1/9,ACTING PROFESSOR-SENATE
ACT PROF-AY-1/9-B/E/E,ACTING PROFESSOR-SENATE
ACT PROF-AY-1/9-LAW,ACTING PROFESSOR-SENATE
ACT PROF-AY-B/E/E,ACTING PROFESSOR-SENATE
ACT PROF-AY-LAW,ACTING PROFESSOR-SENATE
ACT PROF-FY,ACTING PROFESSOR-SENATE
ACT PROF-FY-B/E/E,ACTING PROFESSOR-SENATE
ACT PROF-HCOMP,ACTING PROFESSOR-SENATE
ACT PROF-SFT-VM,ACTING PROFESSOR-SENATE
ACT SR LECT SOE-AY,ACTING LECTURER-SOE
ACT SR LECT SOE-AY-B/E/E,ACTING LECTURER-SOE
ACT SR LECT SOE-AY-LAW,ACTING LECTURER-SOE
ACT SR LECT SOE-FY,ACTING LECTURER-SOE
ACT SR LECT SOE-FY-B/E/E,ACTING LECTURER-SOE
ACT SR LECT SOE-HCOMP,ACTING LECTURER-SOE
ACT SR LECT SOE-SFT-VM,ACTING LECTURER-SOE
ACT/INTERIM ASSISTANT DEAN,ACTING DEAN AND ACTING PROVOST
ACT/INTERIM ASSOC DEAN,ACTING DEAN AND ACTING PROVOST
ACT/INTERIM ASSOC DIRECTOR,ACTING DIRECTOR
ACT/INTERIM ASSOC VICE CHANC,MISCELLANEOUS TITLES-SINGLE TITLES
ACT/INTERIM ASSOC VICE PROVOST,ACTING DEAN AND ACTING PROVOST
ACT/INTERIM ASST DIRECTOR,ACTING DIRECTOR
ACT/INTERIM COLLEGE PROVOST,ACTING DEAN AND ACTING PROVOST
ACT/INTERIM DEAN,ACTING DEAN AND ACTING PROVOST
ACT/INTERIM DEPARTMENT CHAIR,ACTING DEPARTMENT CHAIRPERSON
ACT/INTERIM DIRECTOR,ACTING DIRECTOR
ACT/INTERIM DIVISIONAL DEAN,ACTING DEAN AND ACTING PROVOST
ACT/INTERIM VICE PROVOST,ACTING DEAN AND ACTING PROVOST
ADDL COMP-HGH&OLIVE VIEW MCS,SUPPLEMENTAL PAY CODES
ADJ INSTR-AY,ADJUNCT PROFESSOR
ADJ INSTR-FY,ADJUNCT PROFESSOR
ADJ INSTR-HCOMP,ADJUNCT PROFESSOR
ADJ PROF-AY,ADJUNCT PROFESSOR
ADJ PROF-AY-1/10,ADJUNCT PROFESSOR
ADJ PROF-AY-1/10-BEE,ADJUNCT PROFESSOR
ADJ PROF-AY-1/9,ADJUNCT PROFESSOR
ADJ PROF-AY-1/9-B/E/E,ADJUNCT PROFESSOR
ADJ PROF-AY-B/E/E,ADJUNCT PROFESSOR
ADJ PROF-FY,ADJUNCT PROFESSOR
ADJ PROF-FY-B/E/E,ADJUNCT PROFESSOR
ADJ PROF-HCOMP,ADJUNCT PROFESSOR
ADJ PROF-SFT-VM,ADJUNCT PROFESSOR
ADMIN STIPEND,SUPPLEMENTAL PAY CODES
AGRON AES,AGRONOMIST-TENURE
AGRON AES-AY,AGRONOMIST-TENURE
AGRON AES-B/E/E,AGRONOMIST-TENURE
AGRON AES-B/E/E-AY,AGRONOMIST-TENURE
AGRON AES-SFT-VM,AGRONOMIST-TENURE
ASSOC ADJ PROF-AY,ADJUNCT PROFESSOR
ASSOC ADJ PROF-AY-1/10,ADJUNCT PROFESSOR
ASSOC ADJ PROF-AY-1/10-BEE,ADJUNCT PROFESSOR
ASSOC ADJ PROF-AY-1/9,ADJUNCT PROFESSOR
ASSOC ADJ PROF-AY-1/9-B/E/E,ADJUNCT PROFESSOR
ASSOC ADJ PROF-AY-B/E/E,ADJUNCT PROFESSOR
ASSOC ADJ PROF-FY,ADJUNCT PROFESSOR
ASSOC ADJ PROF-FY-B/E/E,ADJUNCT PROFESSOR
ASSOC ADJ PROF-HCOMP,ADJUNCT PROFESSOR
ASSOC ADJ PROF-SFT-VM,ADJUNCT PROFESSOR
